Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,30.cn,47.90.82.159,CA,CANADA,,cn,
Character Omission,36.cn,61.144.244.51,CN,CHINA,qiye163mx02.mxmail.netease.com,cn,
Character Repeat,3360.cn,,?,,cn,
Character Repeat,3600.cn,,?,mxdomain.qq.com,cn,
Character Repeat,3660.cn,,?,,cn,
Character Swap,306.cn,59.108.36.186,CN,CHINA,,cn,
Character Swap,360.nc,,?,,nc,
Character Swap,630.cn,119.10.48.13,CN,CHINA,mxbiz2.qq.com,cn,
Character Replacement,260.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,350.cn,23.234.4.153,,,cn,
Character Replacement,36-.cn,,?,,cn,
Character Replacement,360.cm,47.88.136.144,CA,CANADA,,cm,
Character Replacement,360.vn,74.117.114.92,KY,CAYMAN ISLANDS,,vn,
Character Replacement,369.cn,,?,,cn,
Character Replacement,370.cn,,?,,cn,
Character Replacement,460.cn,,?,,cn,
Character Insertion,3260.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Insertion,3460.cn,203.78.142.12,IN,INDIA,,cn,
Character Insertion,360-.cn,,?,,cn,
Character Insertion,3609.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Insertion,3650.cn,116.255.212.198,CN,CHINA,,cn,
Character Insertion,3670.cn,203.78.142.12,IN,INDIA,,cn,
Missing Dot,360cn.com,54.221.207.100,US,UNITED STATES,mx94.mb1p.com,com,
Missing Dot,www360.cn,,?,,cn,
Singular or Pluralise,360s.cn,203.78.142.12,IN,INDIA,,cn,
Bit Flipping,160.cn,106.15.92.200,CN,CHINA,mx.ym.163.com,cn,
Bit Flipping,320.cn,210.83.225.174,CN,CHINA,mxdomain.qq.com,cn,
Bit Flipping,340.cn,23.95.33.166,,,cn,
Bit Flipping,360.an,,?,,an,
Bit Flipping,360.bn,,?,,bn,
Bit Flipping,360.cf,,?,,cf,
Bit Flipping,360.cl,72.52.4.121,US,UNITED STATES,localhost,cl,
Bit Flipping,360.kn,,?,,kn,
Bit Flipping,360.sn,,?,,sn,
Bit Flipping,361.cn,,?,,cn,
Bit Flipping,362.cn,59.188.9.44,HK,HONG KONG,,cn,
Bit Flipping,364.cn,103.80.25.102,,,cn,
Bit Flipping,368.cn,170.178.178.55,US,UNITED STATES,,cn,
Bit Flipping,36p.cn,118.212.233.170,CN,CHINA,,cn,
Bit Flipping,3v0.cn,23.234.27.209,,,cn,
Bit Flipping,760.cn,,?,,cn,
Bit Flipping,s60.cn,,?,,cn,
Homoglyphs,36o.cn,111.68.12.194,HK,HONG KONG,,cn,
Wrong TLD,360.ca,77.104.139.214,RO,ROMANIA,alt1.aspmx.l.google.com,ca,
Wrong TLD,360.ch,128.65.198.18,CH,SWITZERLAND,aspmx.l.google.com,ch,
Wrong TLD,360.com,180.163.251.93,CN,CHINA,mail.ex.360.cn,com,
Wrong TLD,360.de,185.26.230.129,,relay2.netnames.net,de,
Wrong TLD,360.edu,,?,,edu,
Wrong TLD,360.es,185.26.230.129,,relay1.netnames.net,es,
Wrong TLD,360.fr,185.26.230.129,,relay1.netnames.net,fr,
Wrong TLD,360.it,185.26.230.129,,relay2.netnames.net,it,
Wrong TLD,360.jp,154.34.46.100,JP,JAPAN,mail.360.jp,jp,
Wrong TLD,360.net,36.110.213.105,CN,CHINA,imsa.360.net,net,
Wrong TLD,360.nl,185.26.230.129,,relay1.netnames.net,nl,
Wrong TLD,360.no,213.128.162.4,NO,NORWAY,,no,
Wrong TLD,360.org,185.76.237.50,,smtp1.byte.nl,org,
Wrong TLD,360.ru,217.65.3.16,RU,RUSSIAN FEDERATION,mail.itsm.pw,ru,
Wrong TLD,360.se,93.90.145.102,SE,SWEDEN,mail.360.se,se,
Wrong TLD,360.us,,?,,us,

