Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,9ag.com,210.56.56.109,HK,HONG KONG,,com,
Character Omission,9ga.com,185.53.178.6,,,com,
Character Omission,9gag.cm,72.52.4.90,US,UNITED STATES,localhost,cm,
Character Omission,9gg.com,122.114.55.116,CN,CHINA,,com,
Character Repeat,99gag.com,103.224.182.240,,park-mx.above.com,com,
Character Repeat,9gaag.com,199.59.242.150,Æ3,,mx76.mb1p.com,com,
Character Repeat,9gagg.com,,?,,com,
Character Repeat,9ggag.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,9agg.com,,?,,com,
Character Swap,9gga.com,,?,,com,
Character Swap,g9ag.com,50.63.202.48,CN,CHINA,,com,
Character Replacement,0gag.com,141.8.226.22,CH,SWITZERLAND,,com,
Character Replacement,8gag.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,9fag.com,50.63.202.12,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,9gaf.com,199.59.242.150,CA,CANADA,mx76.m2bp.com,com,
Character Replacement,9gah.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,9gsg.com,68.178.213.61,US,UNITED STATES,,com,
Character Replacement,9hag.com,185.53.179.7,,mail.h-email.net,com,
Character Insertion,90gag.com,,?,,com,
Character Insertion,98gag.com,208.91.197.46,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,9gagf.com,103.224.212.222,,park-mx.above.com,com,
Character Insertion,9gagh.com,,?,,com,
Character Insertion,9gasg.com,,?,,com,
Character Insertion,9gfag.com,,?,,com,
Character Insertion,9ghag.com,,?,,com,
Missing Dot,9gagcom.com,198.46.87.45,US,UNITED STATES,9gagcom.com,com,
Missing Dot,www9gag.com,185.53.178.7,,mail.h-email.net,com,
Singular or Pluralise,9gags.com,,?,9gags.com,com,
Vowel Swap,9geg.com,,?,,com,
Vowel Swap,9gig.com,37.220.106.179,US,UNITED STATES,mail2.rollernet.us,com,
Vowel Swap,9gog.com,103.224.182.240,,mx92.m1bp.com,com,
Vowel Swap,9gug.com,103.224.212.222,,park-mx.above.com,com,
Bit Flipping,1gag.com,,?,,com,
Bit Flipping,9cag.com,103.224.212.230,,mx92.mb5p.com,com,
Bit Flipping,9eag.com,,?,,com,
Bit Flipping,9gac.com,136.243.7.32,DE,GERMANY,9gac.com,com,
Bit Flipping,9gae.com,,?,,com,
Bit Flipping,9gao.com,67.21.83.125,US,UNITED STATES,,com,
Bit Flipping,9gaw.com,,?,,com,
Bit Flipping,9gcg.com,,?,,com,
Bit Flipping,9gqg.com,,?,,com,
Bit Flipping,9oag.com,,?,,com,
Bit Flipping,9wag.com,,?,,com,
Bit Flipping,ygag.com,,?,aspmx.l.google.com,com,
Wrong TLD,9gag.ca,50.63.202.87,US,UNITED STATES,smtp.secureserver.net,ca,
Wrong TLD,9gag.ch,37.187.181.235,AT,AUSTRIA,mail.9gag.ch,ch,
Wrong TLD,9gag.de,185.53.178.9,,mail.h-email.net,de,
Wrong TLD,9gag.edu,,?,,edu,
Wrong TLD,9gag.es,62.75.170.175,DE,GERMANY,mail.9gag.es,es,
Wrong TLD,9gag.fr,46.166.189.98,GB,UNITED KINGDOM,,fr,
Wrong TLD,9gag.it,185.53.179.14,,,it,
Wrong TLD,9gag.jp,,?,,jp,
Wrong TLD,9gag.net,198.50.233.236,,,net,
Wrong TLD,9gag.nl,185.56.145.148,,mail.9gag.nl,nl,
Wrong TLD,9gag.no,194.63.248.47,NO,NORWAY,mx.domeneshop.no,no,
Wrong TLD,9gag.org,75.126.101.253,US,UNITED STATES,,org,
Wrong TLD,9gag.ru,104.28.5.89,,,ru,
Wrong TLD,9gag.se,185.53.179.15,,mail.h-email.net,se,
Wrong TLD,9gag.us,,?,,us,

