Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,abinc.com,64.207.149.71,US,UNITED STATES,mx2-us1.ppe-hosted.com,com,
Character Omission,ablic.com,184.168.221.104,US,UNITED STATES,,com,
Character Omission,ablin.com,72.22.205.14,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,ablinc.cm,,?,,cm,
Character Omission,ablnc.com,50.63.202.23,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,alinc.com,107.152.110.149,,alinc-com.mail.protection.outlook.com,com,
Character Repeat,aablinc.com,,?,,com,
Character Repeat,abblinc.com,,?,,com,
Character Repeat,abliinc.com,,?,,com,
Character Repeat,ablincc.com,,?,,com,
Character Repeat,ablinnc.com,,?,,com,
Character Repeat,abllinc.com,,?,,com,
Character Swap,abilnc.com,,?,,com,
Character Swap,ablicn.com,,?,,com,
Character Swap,ablnic.com,,?,,com,
Character Swap,albinc.com,207.148.248.143,US,UNITED STATES,,com,
Character Swap,balinc.com,52.73.71.92,US,UNITED STATES,,com,
Character Replacement,abkinc.com,64.69.36.2,¸©,,mail.abkmail.com,com,
Character Replacement,ablibc.com,,?,,com,
Character Replacement,ablimc.com,,?,,com,
Character Replacement,ablinv.com,,?,,com,
Character Replacement,ablinx.com,37.153.100.39,CN,CHINA,alt3.aspmx.l.google.com,com,
Character Replacement,ablonc.com,,?,,com,
Character Replacement,ablunc.com,,?,,com,
Character Replacement,anlinc.com,107.180.41.40,,anlinc.baremetal.com,com,
Character Replacement,avlinc.com,209.17.116.8,US,UNITED STATES,mx1.netsolmail.net,com,
Character Replacement,sblinc.com,72.52.218.197,2@,,d117706a.ess.barracudanetworks.com,com,
Character Insertion,ablinbc.com,,?,,com,
Character Insertion,ablincv.com,,?,,com,
Character Insertion,ablincx.com,,?,,com,
Character Insertion,ablinmc.com,,?,,com,
Character Insertion,ablionc.com,,?,,com,
Character Insertion,abliunc.com,,?,,com,
Character Insertion,ablkinc.com,,?,,com,
Character Insertion,abnlinc.com,,?,,com,
Character Insertion,abvlinc.com,,?,,com,
Character Insertion,asblinc.com,,?,,com,
Missing Dot,ablinccom.com,,?,,com,
Missing Dot,wwwablinc.com,,?,,com,
Singular or Pluralise,ablincs.com,,?,,com,
Vowel Swap,ablanc.com,52.71.185.125,US,UNITED STATES,,com,
Vowel Swap,ablenc.com,173.201.144.128,US,UNITED STATES,smtp.secureserver.net,com,
Homophones,ablayenc.com,,?,,com,
Homophones,ableyenc.com,,?,,com,
Bit Flipping,abdinc.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),mx1.netsolmail.net,com,
Bit Flipping,abhinc.com,185.53.178.6,,mail.h-email.net,com,
Bit Flipping,ablhnc.com,,?,,com,
Bit Flipping,abli.c.com,,?,,com,
Bit Flipping,ablifc.com,,?,,com,
Bit Flipping,ablijc.com,,?,,com,
Bit Flipping,ablilc.com,,?,,com,
Bit Flipping,ablina.com,,?,,com,
Bit Flipping,ablinb.com,,?,,com,
Bit Flipping,abling.com,217.160.217.175,DE,GERMANY,abling-com.mail.protection.outlook.com,com,
Bit Flipping,ablink.com,87.98.162.39,FR,FRANCE,mx2.ablinux.fr,com,
Bit Flipping,ablins.com,66.96.163.160,US,UNITED STATES,mx.ablins.com,com,
Bit Flipping,ablioc.com,,?,,com,
Bit Flipping,ablknc.com,,?,,com,
Bit Flipping,ablmnc.com,,?,,com,
Bit Flipping,ablync.com,,?,,com,
Bit Flipping,abminc.com,50.253.225.34,US,UNITED STATES,d52795b.ess.barracudanetworks.com,com,
Bit Flipping,abninc.com,,?,,com,
Bit Flipping,aclinc.com,50.63.202.63,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,aflinc.com,198.91.24.21,,aflinc.com,com,
Bit Flipping,ajlinc.com,,?,,com,
Bit Flipping,arlinc.com,35.197.89.234,US,UNITED STATES,arlinc-com.mail.protection.outlook.com,com,
Bit Flipping,cblinc.com,185.53.178.8,,mail.h-email.net,com,
Bit Flipping,eblinc.com,98.124.199.24,US,UNITED STATES,,com,
Bit Flipping,iblinc.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,qblinc.com,74.220.199.6,US,UNITED STATES,,com,
Homoglyphs,ab1inc.com,,?,,com,
Homoglyphs,abllnc.com,,?,,com,
Wrong TLD,ablinc.ca,,?,,ca,
Wrong TLD,ablinc.ch,,?,,ch,
Wrong TLD,ablinc.de,,?,,de,
Wrong TLD,ablinc.edu,,?,,edu,
Wrong TLD,ablinc.es,,?,,es,
Wrong TLD,ablinc.fr,,?,,fr,
Wrong TLD,ablinc.it,,?,,it,
Wrong TLD,ablinc.jp,,?,,jp,
Wrong TLD,ablinc.net,98.129.229.92,US,UNITED STATES,us-smtp-inbound-1.mimecast.com,net,
Wrong TLD,ablinc.nl,,?,,nl,
Wrong TLD,ablinc.no,,?,,no,
Wrong TLD,ablinc.org,107.178.255.126,,us2.mx2.mailhostbox.com,org,
Wrong TLD,ablinc.ru,,?,,ru,
Wrong TLD,ablinc.se,,?,,se,
Wrong TLD,ablinc.us,,?,,us,

