Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,aba.co.za,46.249.199.182,GB,UNITED KINGDOM,mx2.bokweb.com,co.za,
Character Omission,abs.co.za,197.242.144.223,ZA,SOUTH AFRICA,mx1818058.spe.ucebox.co.za,co.za,
Character Omission,asa.co.za,,?,,co.za,
Character Repeat,aabsa.co.za,,?,,co.za,
Character Repeat,abbsa.co.za,197.242.144.229,ZA,SOUTH AFRICA,mail.abbsa.co.za,co.za,
Character Repeat,absaa.co.za,,?,,co.za,
Character Repeat,abssa.co.za,104.27.158.21,,abssa-co-za.mail.protection.outlook.com,co.za,
Character Swap,abas.co.za,185.53.177.29,,,co.za,
Character Swap,absa.co.az,,?,,az,
Character Swap,asba.co.za,169.202.9.53,ZA,SOUTH AFRICA,,co.za,
Character Swap,basa.co.za,196.46.185.46,ZA,SOUTH AFRICA,alt1.aspmx.l.google.com,co.za,
Character Replacement,abaa.co.za,41.78.28.131,ZA,SOUTH AFRICA,default-mx.imaginet.co.za,co.za,
Character Replacement,abda.co.za,,?,mail-ctn-01.netcon.co.za,co.za,
Character Replacement,abss.co.za,,?,,co.za,
Character Replacement,ansa.co.za,196.25.69.13,ZA,SOUTH AFRICA,mail.cape.intekom.com,co.za,
Character Replacement,avsa.co.za,154.0.164.104,,mx3881260.spe.spambox.co.za,co.za,
Character Replacement,sbsa.co.za,,?,,co.za,
Character Insertion,abnsa.co.za,,?,,co.za,
Character Insertion,absas.co.za,,?,,co.za,
Character Insertion,absda.co.za,,?,,co.za,
Character Insertion,abvsa.co.za,,?,,co.za,
Character Insertion,asbsa.co.za,185.53.178.6,,mail.h-email.net,co.za,
Missing Dot,wwwabsa.co.za,,?,,co.za,
Bit Flipping,ab3a.co.za,,?,,co.za,
Bit Flipping,abca.co.za,144.217.226.87,US,UNITED STATES,mx-b.mailshok.com,co.za,
Bit Flipping,abqa.co.za,,?,,co.za,
Bit Flipping,abra.co.za,,?,,co.za,
Bit Flipping,absc.co.za,,?,mx5.b2e.co.za,co.za,
Bit Flipping,abse.co.za,,?,,co.za,
Bit Flipping,absi.co.za,41.215.232.82,RU,RUSSIAN FEDERATION,lb1-cpt.filter.rsaweb.co.za,co.za,
Bit Flipping,absq.co.za,,?,,co.za,
Bit Flipping,abwa.co.za,,?,,co.za,
Bit Flipping,acsa.co.za,196.11.11.115,ZA,SOUTH AFRICA,mail.acsa.co.za,co.za,
Bit Flipping,afsa.co.za,129.232.138.39,,mail.afsa.co.za,co.za,
Bit Flipping,ajsa.co.za,,?,,co.za,
Bit Flipping,arsa.co.za,,?,,co.za,
Bit Flipping,cbsa.co.za,,?,cbsa-co-za.mail.protection.outlook.com,co.za,
Bit Flipping,ebsa.co.za,41.185.26.241,ZA,SOUTH AFRICA,ebsa.co.za,co.za,
Bit Flipping,ibsa.co.za,41.203.18.177,ZA,SOUTH AFRICA,mail.ibsa.co.za,co.za,
Bit Flipping,qbsa.co.za,,?,,co.za,
Wrong TLD,absa.ca,206.75.249.172,CA,CANADA,mail.absa.ca,ca,
Wrong TLD,absa.ch,93.88.240.244,CH,SWITZERLAND,mailc02.evok.ch,ch,
Wrong TLD,absa.com,198.167.178.129,,mx2-us1.ppe-hosted.com,com,
Wrong TLD,absa.de,185.53.178.6,,,de,
Wrong TLD,absa.edu,,?,,edu,
Wrong TLD,absa.es,5.154.45.157,,alt2.aspmx.l.google.com,es,
Wrong TLD,absa.fr,95.141.115.50,FR,FRANCE,mx2.unimedia.fr,fr,
Wrong TLD,absa.it,72.52.4.122,US,UNITED STATES,localhost,it,
Wrong TLD,absa.jp,,?,,jp,
Wrong TLD,absa.net,47.49.12.169,CA,CANADA,mail.absa.net,net,
Wrong TLD,absa.nl,91.195.240.92,DE,GERMANY,,nl,
Wrong TLD,absa.no,,?,,no,
Wrong TLD,absa.org,104.24.127.164,,mx2.emailsrvr.com,org,
Wrong TLD,absa.ru,91.195.240.135,DE,GERMANY,,ru,
Wrong TLD,absa.se,45.32.232.250,,,se,
Wrong TLD,absa.us,72.52.4.122,US,UNITED STATES,localhost,us,
Wrong SLD,absa.ac.za,,?,,ac.za,
Wrong SLD,absa.agric.za,,?,,agric.za,
Wrong SLD,absa.alt.za,,?,,alt.za,
Wrong SLD,absa.bourse.za,,?,,bourse.za,
Wrong SLD,absa.city.za,,?,,city.za,
Wrong SLD,absa.cybernet.za,,?,,cybernet.za,
Wrong SLD,absa.db.za,,?,,db.za,
Wrong SLD,absa.edu.za,,?,,edu.za,
Wrong SLD,absa.gov.za,,?,,gov.za,
Wrong SLD,absa.grondar.za,,?,,grondar.za,
Wrong SLD,absa.iaccess.za,,?,,iaccess.za,
Wrong SLD,absa.imt.za,,?,,imt.za,
Wrong SLD,absa.inca.za,,?,,inca.za,
Wrong SLD,absa.law.za,,?,,law.za,
Wrong SLD,absa.mil.za,,?,,mil.za,
Wrong SLD,absa.net.za,41.185.8.232,ZA,SOUTH AFRICA,fw2a.absa.net.za,net.za,
Wrong SLD,absa.ngo.za,,?,,ngo.za,
Wrong SLD,absa.nis.za,,?,,nis.za,
Wrong SLD,absa.nom.za,78.31.111.139,GB,UNITED KINGDOM,,nom.za,
Wrong SLD,absa.olivetti.za,,?,,olivetti.za,
Wrong SLD,absa.org.za,,?,,org.za,
Wrong SLD,absa.pix.za,,?,,pix.za,
Wrong SLD,absa.school.za,,?,,school.za,
Wrong SLD,absa.tm.za,,?,,tm.za,
Wrong SLD,absa.web.za,,?,,web.za,

