Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,accrint.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,accuint.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,accurin.com,158.69.143.113,US,UNITED STATES,,com,
Character Omission,accurint.cm,,?,,cm,
Character Omission,accurit.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,accurnt.com,,?,,com,
Character Omission,acurint.com,138.12.4.174,US,UNITED STATES,,com,
Character Repeat,aaccurint.com,,?,,com,
Character Repeat,acccurint.com,138.12.4.174,US,UNITED STATES,,com,
Character Repeat,accuriint.com,,?,,com,
Character Repeat,accurinnt.com,138.12.4.174,US,UNITED STATES,,com,
Character Repeat,accurintt.com,,?,,com,
Character Repeat,accurrint.com,,?,,com,
Character Repeat,accuurint.com,50.63.202.17,GB,UNITED KINGDOM,mailstore1.secureserver.net,com,
Character Swap,accruint.com,50.63.202.4,US,UNITED STATES,accruint-com.mail.protection.outlook.com,com,
Character Swap,accuirnt.com,199.191.50.73,,,com,
Character Swap,accuritn.com,,?,,com,
Character Swap,accurnit.com,138.12.4.174,US,UNITED STATES,,com,
Character Swap,acucrint.com,,?,,com,
Character Swap,cacurint.com,,?,,com,
Character Replacement,accirint.com,,?,,com,
Character Replacement,accueint.com,,?,,com,
Character Replacement,accuribt.com,,?,,com,
Character Replacement,accurimt.com,,?,,com,
Character Replacement,accurinr.com,,?,,com,
Character Replacement,accuriny.com,,?,,com,
Character Replacement,accuront.com,,?,,com,
Character Replacement,accurunt.com,,?,,com,
Character Replacement,accutint.com,216.87.172.186,US,UNITED STATES,accutint-com.mail.protection.outlook.com,com,
Character Replacement,accyrint.com,,?,,com,
Character Replacement,acvurint.com,,?,,com,
Character Replacement,acxurint.com,,?,,com,
Character Replacement,avcurint.com,,?,,com,
Character Replacement,axcurint.com,,?,,com,
Character Replacement,sccurint.com,,?,,com,
Double Character Replacement,avvurint.com,,?,,com,
Double Character Replacement,axxurint.com,,?,,com,
Character Insertion,accuirint.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Insertion,accureint.com,,?,,com,
Character Insertion,accurinbt.com,,?,,com,
Character Insertion,accurinmt.com,,?,,com,
Character Insertion,accurintr.com,184.168.221.22,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,accurinty.com,184.168.221.15,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,accuriont.com,,?,,com,
Character Insertion,accuriunt.com,184.168.221.8,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,accurtint.com,,?,,com,
Character Insertion,accuyrint.com,,?,,com,
Character Insertion,accvurint.com,,?,,com,
Character Insertion,accxurint.com,,?,,com,
Character Insertion,acvcurint.com,,?,,com,
Character Insertion,acxcurint.com,,?,,com,
Character Insertion,asccurint.com,,?,,com,
Missing Dot,accurintcom.com,50.63.202.7,US,UNITED STATES,mailstore1.secureserver.net,com,
Missing Dot,wwwaccurint.com,138.12.4.174,US,UNITED STATES,,com,
Singular or Pluralise,accurints.com,50.63.202.21,US,UNITED STATES,smtp.secureserver.net,com,
Vowel Swap,accarint.com,,?,,com,
Vowel Swap,accerint.com,,?,,com,
Vowel Swap,accorint.com,,?,,com,
Vowel Swap,accurant.com,,?,,com,
Vowel Swap,accurent.com,208.91.196.42,VG,VIRGIN ISLANDS (BRITISH),,com,
Homophones,accurayent.com,,?,,com,
Homophones,accureyent.com,,?,,com,
Bit Flipping,aacurint.com,,?,,com,
Bit Flipping,abcurint.com,,?,,com,
Bit Flipping,acaurint.com,,?,,com,
Bit Flipping,acburint.com,,?,,com,
Bit Flipping,acc5rint.com,,?,,com,
Bit Flipping,accqrint.com,,?,,com,
Bit Flipping,acctrint.com,,?,,com,
Bit Flipping,accu2int.com,,?,,com,
Bit Flipping,accubint.com,,?,,com,
Bit Flipping,accupint.com,,?,,com,
Bit Flipping,accurhnt.com,,?,,com,
Bit Flipping,accuri.t.com,,?,,com,
Bit Flipping,accurift.com,,?,,com,
Bit Flipping,accurijt.com,,?,,com,
Bit Flipping,accurilt.com,,?,,com,
Bit Flipping,accurin4.com,,?,,com,
Bit Flipping,accurind.com,,?,,com,
Bit Flipping,accurinp.com,,?,,com,
Bit Flipping,accurinu.com,,?,,com,
Bit Flipping,accurinv.com,,?,,com,
