Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ad.com,64.12.79.57,CA,CANADA,,com,
Character Omission,adp.cm,185.53.178.6,,,cm,
Character Omission,ap.com,104.25.178.25,,ap-com.mail.protection.outlook.com,com,
Character Repeat,aadp.com,98.124.199.118,US,UNITED STATES,,com,
Character Repeat,addp.com,69.172.201.153,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,adpp.com,202.189.179.130,JP,JAPAN,wh03.wadax.ne.jp,com,
Character Swap,apd.com,54.88.160.213,US,UNITED STATES,d15380a.ess.barracudanetworks.com,com,
Character Swap,dap.com,12.156.76.32,US,UNITED STATES,mail.dap.com,com,
Character Replacement,ado.com,209.213.97.222,US,UNITED STATES,,com,
Character Replacement,afp.com,,?,pmx2.afp.com,com,
Character Replacement,asp.com,107.154.112.165,,eu-smtp-inbound-1.mimecast.com,com,
Character Replacement,sdp.com,72.52.4.119,US,UNITED STATES,mx1.netsolmail.net,com,
Character Insertion,adfp.com,68.178.213.61,US,UNITED STATES,,com,
Character Insertion,adpo.com,91.183.76.27,BE,BELGIUM,adpo-spam2.adpo.com,com,
Character Insertion,adsp.com,,?,,com,
Character Insertion,asdp.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,adpcom.com,,?,,com,
Missing Dot,wwwadp.com,52.8.195.0,US,UNITED STATES,,com,
Singular or Pluralise,adps.com,104.18.58.212,,aspmx2.googlemail.com,com,
Bit Flipping,ad0.com,104.160.185.133,,ad0.com,com,
Bit Flipping,adq.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,adr.com,209.234.225.253,US,UNITED STATES,ukmail1.markit.com,com,
Bit Flipping,adt.com,216.224.192.243,US,UNITED STATES,adt-com.mail.protection.outlook.com,com,
Bit Flipping,adx.com,173.203.22.5,US,UNITED STATES,adx-com.mail.protection.outlook.com,com,
Bit Flipping,aep.com,167.239.223.200,CA,CANADA,gateways1.aep.com,com,
Bit Flipping,alp.com,,?,smtp-mx.csp.it,com,
Bit Flipping,atp.com,40.118.243.133,US,UNITED STATES,m1.atp.com,com,
Bit Flipping,cdp.com,54.88.102.38,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Bit Flipping,edp.com,50.56.48.191,US,UNITED STATES,edp-com.mail.protection.outlook.com,com,
Bit Flipping,idp.com,192.132.253.42,AU,AUSTRALIA,au-smtp-inbound-1.mimecast.com,com,
Bit Flipping,qdp.com,178.162.208.163,DE,GERMANY,aspmx.l.google.com,com,
Homoglyphs,aclp.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),alt1.aspmx.l.google.com,com,
Wrong TLD,adp.ca,170.146.93.65,US,UNITED STATES,mail.uunet.ca,ca,
Wrong TLD,adp.ch,195.200.254.67,FR,FRANCE,,ch,
Wrong TLD,adp.de,80.69.32.28,DE,GERMANY,mx2.net-lab.net,de,
Wrong TLD,adp.edu,,?,,edu,
Wrong TLD,adp.es,37.59.114.67,FR,FRANCE,adp.es,es,
Wrong TLD,adp.fr,213.174.127.10,FR,FRANCE,mailgw12.adp.fr,fr,
Wrong TLD,adp.it,78.5.3.60,IT,ITALY,vmailhub.mclink.it,it,
Wrong TLD,adp.jp,27.96.16.152,JP,JAPAN,mail01.cloudpower.jp,jp,
Wrong TLD,adp.net,,?,,net,
Wrong TLD,adp.nl,195.200.254.91,FR,FRANCE,mail3.europe.adp.com,nl,
Wrong TLD,adp.no,31.24.132.52,NO,NORWAY,31.24.132.52,no,
Wrong TLD,adp.org,35.194.56.60,US,UNITED STATES,mx1.emailsrvr.com,org,
Wrong TLD,adp.ru,83.222.30.246,RU,RUSSIAN FEDERATION,mail1.adp.ru,ru,
Wrong TLD,adp.se,,?,,se,
Wrong TLD,adp.us,5.22.149.135,US,UNITED STATES,,us,

