Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,adltwork.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,adultork.com,185.53.179.6,,mail.h-email.net,com,
Character Omission,adultwok.com,67.55.92.183,CA,CANADA,mx7.adultwok.com,com,
Character Omission,adultwor.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,adultwork.cm,34.196.13.28,UA,UKRAINE,mail.happyisp.com,cm,
Character Omission,adultwrk.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,adulwork.com,216.87.184.109,US,UNITED STATES,,com,
Character Omission,adutwork.com,199.191.50.100,,,com,
Character Omission,aultwork.com,208.91.196.105,DO,DOMINICAN REPUBLIC,,com,
Character Repeat,aadultwork.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,addultwork.com,199.191.50.66,,,com,
Character Repeat,adulltwork.com,199.191.50.73,,,com,
Character Repeat,adulttwork.com,103.224.212.242,,park-mx.above.com,com,
Character Repeat,adultwoork.com,141.8.224.93,US,UNITED STATES,,com,
Character Repeat,adultworkk.com,192.64.147.176,,,com,
Character Repeat,adultworrk.com,192.64.147.176,,,com,
Character Repeat,adultwwork.com,103.224.212.228,,mx92.mb5p.com,com,
Character Repeat,aduultwork.com,,?,,com,
Character Swap,adlutwork.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,adultowrk.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,adultwokr.com,,?,,com,
Character Swap,adultwrok.com,192.64.147.206,,,com,
Character Swap,adulwtork.com,,?,,com,
Character Swap,adutlwork.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,audltwork.com,185.53.179.6,,mail.h-email.net,com,
Character Swap,daultwork.com,,?,,com,
Character Replacement,adiltwork.com,216.157.88.22,US,UNITED STATES,,com,
Character Replacement,aduktwork.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,adulrwork.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,adulteork.com,185.53.178.7,,,com,
Character Replacement,adultqork.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,adultwirk.com,185.53.178.15,,,com,
Character Replacement,adultwoek.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,adultworj.com,,?,,com,
Character Replacement,adultworl.com,199.191.50.73,,,com,
Character Replacement,adultwotk.com,199.191.50.73,,,com,
Character Replacement,adultwprk.com,185.53.178.15,,mail.h-email.net,com,
Character Replacement,adulywork.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,adyltwork.com,192.64.147.176,,,com,
Character Replacement,afultwork.com,209.126.123.12,GB,UNITED KINGDOM,,com,
Character Replacement,asultwork.com,103.224.182.207,,mx92.m1bp.com,com,
Character Replacement,sdultwork.com,185.53.178.7,,mail.h-email.net,com,
Character Insertion,adfultwork.com,,?,,com,
Character Insertion,adsultwork.com,,?,,com,
Character Insertion,aduiltwork.com,103.224.212.235,,park-mx.above.com,com,
Character Insertion,adulktwork.com,,?,,com,
Character Insertion,adultrwork.com,,?,,com,
Character Insertion,adultweork.com,,?,,com,
Character Insertion,adultwoirk.com,,?,,com,
Character Insertion,adultwoprk.com,,?,,com,
Character Insertion,adultworek.com,,?,,com,
Character Insertion,adultworkj.com,,?,,com,
Character Insertion,adultworkl.com,,?,,com,
Character Insertion,adultwortk.com,68.178.213.61,US,UNITED STATES,,com,
Character Insertion,adultwqork.com,,?,,com,
Character Insertion,adultywork.com,,?,,com,
Character Insertion,aduyltwork.com,,?,,com,
Character Insertion,asdultwork.com,,?,,com,
Missing Dot,adultworkcom.com,,?,,com,
Missing Dot,wwwadultwork.com,67.55.92.182,US,UNITED STATES,mx7.wwwadultwork.com,com,
Singular or Pluralise,adultworks.com,184.168.221.104,US,UNITED STATES,,com,
Common Misspelling,adultwpork.com,,?,,com,
Vowel Swap,adaltwork.com,,?,,com,
Vowel Swap,adeltwork.com,,?,,com,
Vowel Swap,adoltwork.com,185.53.178.14,,,com,
Homophones,adultoork.com,,?,,com,
Homophones,adultwoark.com,,?,,com,
Bit Flipping,ad5ltwork.com,,?,,com,
Bit Flipping,adqltwork.com,,?,,com,
Bit Flipping,adtltwork.com,,?,,com,
Bit Flipping,adudtwork.com,,?,,com,
Bit Flipping,aduhtwork.com,,?,,com,
Bit Flipping,adul4work.com,,?,,com,
Bit Flipping,aduldwork.com,72.52.179.175,RO,ROMANIA,mx156.hostedmxserver.com,com,
Bit Flipping,adulpwork.com,,?,,com,
Bit Flipping,adult7ork.com,,?,,com,
Bit Flipping,adultgork.com,,?,,com,
Bit Flipping,adultsork.com,103.224.182.251,,park-mx.above.com,com,
Bit Flipping,adultuork.com,,?,,com,
Bit Flipping,adultvork.com,,?,,com,
Bit Flipping,adultwgrk.com,,?,,com,
Bit Flipping,adultwkrk.com,,?,,com,
Bit Flipping,adultwmrk.com,,?,,com,
Bit Flipping,adultwnrk.com,,?,,com,
Bit Flipping,adultwo2k.com,,?,,com,
Bit Flipping,adultwobk.com,,?,,com,
Bit Flipping,adultwopk.com,,?,,com,
Bit Flipping,adultworc.com,192.184.12.62,,mx92.mb5p.com,com,
Bit Flipping,adultwori.com,,?,,com,
Bit Flipping,adultworo.com,,?,,com,
Bit Flipping,adultwosk.com,,?,,com,
Bit Flipping,adultwovk.com,,?,,com,
Bit Flipping,adultwozk.com,,?,,com,
Bit Flipping,aduluwork.com,,?,,com,
Bit Flipping,adulvwork.com,,?,,com,
Bit Flipping,adumtwork.com,,?,,com,
Bit Flipping,aduntwork.com,,?,,com,
Bit Flipping,adwltwork.com,,?,,com,
Bit Flipping,aeultwork.com,,?,,com,
Bit Flipping,alultwork.com,,?,,com,
Bit Flipping,atultwork.com,,?,,com,
Bit Flipping,cdultwork.com,,?,,com,
Bit Flipping,edultwork.com,,?,,com,
Bit Flipping,idultwork.com,,?,,com,
Bit Flipping,qdultwork.com,,?,,com,
Homoglyphs,aclultwork.com,,?,,com,
Homoglyphs,adu1twork.com,,?,,com,
Homoglyphs,adultvvork.com,84.244.135.70,NL,NETHERLANDS,,com,
Homoglyphs,adultw0rk.com,,?,,com,
Wrong TLD,adultwork.ca,184.168.221.36,US,UNITED STATES,mailstore1.secureserver.net,ca,
Wrong TLD,adultwork.ch,,?,,ch,
Wrong TLD,adultwork.de,185.53.179.8,,mail.h-email.net,de,
Wrong TLD,adultwork.edu,,?,,edu,
Wrong TLD,adultwork.es,,?,,es,
Wrong TLD,adultwork.fr,,?,,fr,
Wrong TLD,adultwork.it,,?,,it,
Wrong TLD,adultwork.jp,,?,,jp,
Wrong TLD,adultwork.net,,?,1044678322.pamx1.hotmail.com,net,
Wrong TLD,adultwork.nl,,?,,nl,
Wrong TLD,adultwork.no,,?,,no,
Wrong TLD,adultwork.org,108.161.135.173,US,UNITED STATES,adultwork.org,org,
Wrong TLD,adultwork.ru,,?,,ru,
Wrong TLD,adultwork.se,,?,,se,
Wrong TLD,adultwork.us,,?,,us,

