Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,aliancebank.com,208.73.210.217,US,UNITED STATES,,com,
Character Omission,allancebank.com,,?,,com,
Character Omission,alliacebank.com,,?,,com,
Character Omission,alliancbank.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,allianceank.com,,?,,com,
Character Omission,alliancebak.com,,?,,com,
Character Omission,allianceban.com,,?,,com,
Character Omission,alliancebank.cm,,?,,cm,
Character Omission,alliancebnk.com,52.73.71.92,US,UNITED STATES,,com,
Character Omission,allianebank.com,,?,,com,
Character Omission,allincebank.com,,?,,com,
Character Repeat,aalliancebank.com,,?,,com,
Character Repeat,alliaancebank.com,,?,,com,
Character Repeat,allianccebank.com,,?,,com,
Character Repeat,alliancebaank.com,,?,,com,
Character Repeat,alliancebankk.com,,?,,com,
Character Repeat,alliancebannk.com,,?,,com,
Character Repeat,alliancebbank.com,,?,,com,
Character Repeat,allianceebank.com,,?,,com,
Character Repeat,allianncebank.com,,?,,com,
Character Repeat,alliiancebank.com,,?,us2.mx3.mailhostbox.com,com,
Character Repeat,allliancebank.com,,?,,com,
Character Swap,alilancebank.com,,?,,com,
Character Swap,allaincebank.com,,?,,com,
Character Swap,alliacnebank.com,,?,,com,
Character Swap,alliancbeank.com,,?,,com,
Character Swap,allianceabnk.com,,?,,com,
Character Swap,alliancebakn.com,,?,,com,
Character Swap,alliancebnak.com,,?,,com,
Character Swap,allianecbank.com,,?,,com,
Character Swap,allinacebank.com,,?,,com,
Character Swap,laliancebank.com,,?,,com,
Character Replacement,akliancebank.com,,?,,com,
Character Replacement,alkiancebank.com,,?,,com,
Character Replacement,alliabcebank.com,,?,,com,
Character Replacement,alliamcebank.com,,?,,com,
Character Replacement,alliancebabk.com,,?,,com,
Character Replacement,alliancebamk.com,,?,,com,
Character Replacement,alliancebanj.com,,?,,com,
Character Replacement,alliancebanl.com,,?,,com,
Character Replacement,alliancebsnk.com,,?,,com,
Character Replacement,alliancenank.com,,?,,com,
Character Replacement,alliancevank.com,,?,,com,
Character Replacement,alliancrbank.com,,?,,com,
Character Replacement,alliancwbank.com,,?,,com,
Character Replacement,allianvebank.com,,?,,com,
Character Replacement,allianxebank.com,,?,,com,
Character Replacement,allisncebank.com,,?,,com,
Character Replacement,alloancebank.com,,?,,com,
Character Replacement,alluancebank.com,,?,,com,
Character Replacement,slliancebank.com,,?,,com,
Double Character Replacement,akkiancebank.com,,?,,com,
Character Insertion,alkliancebank.com,,?,,com,
Character Insertion,allianbcebank.com,,?,,com,
Character Insertion,alliancebanbk.com,,?,,com,
Character Insertion,alliancebankj.com,,?,,com,
Character Insertion,alliancebankl.com,,?,,com,
Character Insertion,alliancebanmk.com,,?,,com,
Character Insertion,alliancebasnk.com,,?,,com,
Character Insertion,alliancebnank.com,,?,,com,
Character Insertion,alliancebvank.com,,?,,com,
Character Insertion,alliancerbank.com,,?,,com,
Character Insertion,alliancewbank.com,,?,,com,
Character Insertion,alliancvebank.com,,?,,com,
Character Insertion,alliancxebank.com,,?,,com,
Character Insertion,allianmcebank.com,,?,,com,
Character Insertion,alliasncebank.com,,?,,com,
Character Insertion,allioancebank.com,,?,,com,
Character Insertion,alliuancebank.com,,?,,com,
Character Insertion,allkiancebank.com,,?,,com,
Character Insertion,aslliancebank.com,,?,,com,
Missing Dot,alliancebankcom.com,,?,,com,
Missing Dot,wwwalliancebank.com,185.53.178.22,,mail.h-email.net,com,
Singular or Pluralise,alliancebanks.com,12.191.21.94,US,UNITED STATES,smtp1.mke.securence.com,com,
Vowel Swap,allaancebank.com,,?,,com,
Vowel Swap,alleancebank.com,,?,,com,
Vowel Swap,alliancabank.com,,?,,com,
Vowel Swap,alliancibank.com,,?,,com,
Vowel Swap,alliancobank.com,,?,,com,
Vowel Swap,alliancubank.com,,?,,com,
Vowel Swap,alliencebenk.com,,?,,com,
Vowel Swap,alliincebink.com,,?,,com,
Vowel Swap,allioncebonk.com,,?,,com,
Vowel Swap,alliuncebunk.com,,?,,com,
Homophones,allayeancebank.com,,?,,com,
Homophones,alleyeancebank.com,,?,,com,
Homophones,awliancebank.com,,?,,com,
Bit Flipping,adliancebank.com,,?,,com,
Bit Flipping,ahliancebank.com,,?,,com,
Bit Flipping,aldiancebank.com,,?,,com,
Bit Flipping,alhiancebank.com,,?,,com,
Bit Flipping,allhancebank.com,,?,,com,
Bit Flipping,allia.cebank.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,alliafcebank.com,,?,,com,
Bit Flipping,alliajcebank.com,,?,,com,
Bit Flipping,allialcebank.com,,?,,com,
Bit Flipping,allianaebank.com,,?,,com,
Bit Flipping,allianbebank.com,,?,,com,
Bit Flipping,alliancdbank.com,,?,,com,
Bit Flipping,allianceba.k.com,,?,,com,
