Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,allecipes.com,199.191.50.73,,,com,
Character Omission,allrcipes.com,199.191.50.73,,,com,
Character Omission,allrecies.com,199.191.50.73,,,com,
Character Omission,allrecipe.com,13.93.202.50,US,UNITED STATES,allrecipe-com.mail.protection.outlook.com,com,
Character Omission,allrecipes.cm,185.53.179.8,,mail.h-email.net,cm,
Character Omission,allrecips.com,199.191.50.73,,,com,
Character Omission,allrecpes.com,199.191.50.73,,,com,
Character Omission,allreipes.com,199.191.50.73,,,com,
Character Omission,alrecipes.com,144.76.0.242,CA,CANADA,,com,
Character Repeat,aallrecipes.com,103.224.182.220,,mx92.m1bp.com,com,
Character Repeat,alllrecipes.com,199.115.115.116,US,UNITED STATES,,com,
Character Repeat,allreccipes.com,103.224.182.246,,mx92.m1bp.com,com,
Character Repeat,allreciipes.com,185.53.178.8,,mail.h-email.net,com,
Character Repeat,allrecipees.com,103.224.182.210,,mx92.m1bp.com,com,
Character Repeat,allrecipess.com,69.162.80.59,US,UNITED STATES,,com,
Character Repeat,allrecippes.com,192.64.147.196,,,com,
Character Repeat,allreecipes.com,67.227.226.241,ID,INDONESIA,mx156.hostedmxserver.com,com,
Character Repeat,allrrecipes.com,199.191.50.73,,,com,
Character Swap,allercipes.com,103.224.212.224,,mx92.mb5p.com,com,
Character Swap,allrceipes.com,67.55.121.97,US,UNITED STATES,,com,
Character Swap,allrecieps.com,103.224.182.220,,park-mx.above.com,com,
Character Swap,allrecipse.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,allrecpies.com,198.186.175.11,US,UNITED STATES,,com,
Character Swap,allreicpes.com,69.162.80.53,US,UNITED STATES,,com,
Character Swap,alrlecipes.com,,?,,com,
Character Swap,lalrecipes.com,,?,,com,
Character Replacement,aklrecipes.com,,?,,com,
Character Replacement,alkrecipes.com,74.208.236.226,US,UNITED STATES,mx00.1and1.com,com,
Character Replacement,alleecipes.com,103.224.182.248,,mx92.mb5p.com,com,
Character Replacement,allrecioes.com,199.191.50.17,,,com,
Character Replacement,allrecipea.com,199.191.50.73,,,com,
Character Replacement,allreciped.com,208.91.196.105,US,UNITED STATES,,com,
Character Replacement,allreciprs.com,208.91.196.105,RO,ROMANIA,,com,
Character Replacement,allrecipws.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,allrecopes.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,allrecupes.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,allrevipes.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,allrexipes.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,allrrcipes.com,72.52.4.122,RO,ROMANIA,localhost,com,
Character Replacement,allrwcipes.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,alltecipes.com,103.224.182.243,,mx92.m1bp.com,com,
Character Replacement,sllrecipes.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Double Character Replacement,akkrecipes.com,,?,,com,
Character Insertion,alklrecipes.com,,?,,com,
Character Insertion,allkrecipes.com,,?,,com,
Character Insertion,allreciopes.com,103.224.212.246,,mx92.m1bp.com,com,
Character Insertion,allrecipers.com,207.244.67.138,US,UNITED STATES,,com,
Character Insertion,allrecipesa.com,,?,,com,
Character Insertion,allrecipesd.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,allrecipews.com,,?,,com,
Character Insertion,allrecipoes.com,103.224.182.245,,mx92.mb5p.com,com,
Character Insertion,allreciupes.com,,?,,com,
Character Insertion,allrecvipes.com,,?,,com,
Character Insertion,allrecxipes.com,,?,,com,
Character Insertion,allrercipes.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,allrewcipes.com,,?,,com,
Character Insertion,allrtecipes.com,,?,,com,
Character Insertion,asllrecipes.com,,?,,com,
Missing Dot,allrecipescom.com,103.224.182.216,,mx92.mb5p.com,com,
Missing Dot,wwwallrecipes.com,98.124.199.117,US,UNITED STATES,,com,
Vowel Swap,allracipas.com,,?,,com,
Vowel Swap,allrecapes.com,,?,,com,
Vowel Swap,allrecepes.com,103.224.182.218,,mx92.m1bp.com,com,
Vowel Swap,allricipis.com,,?,,com,
Vowel Swap,allrocipos.com,,?,,com,
Vowel Swap,allrucipus.com,,?,,com,
Homophones,allrecayepes.com,,?,,com,
Homophones,allreceyepes.com,,?,,com,
Homophones,awlrecipes.com,,?,,com,
Bit Flipping,adlrecipes.com,,?,,com,
Bit Flipping,ahlrecipes.com,,?,,com,
Bit Flipping,aldrecipes.com,,?,,com,
Bit Flipping,alhrecipes.com,,?,,com,
Bit Flipping,all2ecipes.com,,?,,com,
Bit Flipping,allbecipes.com,,?,,com,
Bit Flipping,allpecipes.com,67.55.92.187,US,UNITED STATES,mx7.allpecipes.com,com,
Bit Flipping,allracipes.com,,?,,com,
Bit Flipping,allrdcipes.com,,?,,com,
Bit Flipping,allreaipes.com,,?,,com,
Bit Flipping,allrebipes.com,,?,,com,
Bit Flipping,allrechpes.com,,?,,com,
Bit Flipping,allreci0es.com,,?,,com,
Bit Flipping,allrecipas.com,,?,,com,
Bit Flipping,allrecipds.com,,?,,com,
Bit Flipping,allrecipe3.com,,?,,com,
Bit Flipping,allrecipec.com,35.165.255.15,@D,,,com,
Bit Flipping,allrecipeq.com,,?,,com,
Bit Flipping,allreciper.com,,?,,com,
Bit Flipping,allrecipew.com,64.68.200.44,CA,CANADA,mx-caprica.easydns.com,com,
Bit Flipping,allrecipgs.com,,?,,com,
Bit Flipping,allrecipms.com,,?,,com,
Bit Flipping,allrecipus.com,,?,,com,
Bit Flipping,allreciqes.com,,?,,com,
Bit Flipping,allrecires.com,,?,,com,
Bit Flipping,allrecites.com,,?,,com,
Bit Flipping,allrecixes.com,,?,,com,
Bit Flipping,allreckpes.com,,?,,com,
Bit Flipping,allrecmpes.com,,?,,com,
Bit Flipping,allrecypes.com,,?,,com,
Bit Flipping,allregipes.com,,?,,com,
Bit Flipping,allrekipes.com,,?,,com,
Bit Flipping,allresipes.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,allrgcipes.com,,?,,com,
Bit Flipping,allrmcipes.com,,?,,com,
Bit Flipping,allrucipes.com,,?,,com,
Bit Flipping,allsecipes.com,,?,,com,
Bit Flipping,allvecipes.com,,?,,com,
Bit Flipping,allzecipes.com,,?,,com,
Bit Flipping,almrecipes.com,208.91.197.13,VG,VIRGIN ISLANDS (BRITISH),,com,
Bit Flipping,alnrecipes.com,,?,,com,
Bit Flipping,amlrecipes.com,,?,,com,
Bit Flipping,anlrecipes.com,,?,,com,
Bit Flipping,cllrecipes.com,,?,,com,
Bit Flipping,ellrecipes.com,,?,,com,
