Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,aloporn.com,103.224.212.222,,park-mx.above.com,com,
Character Omission,alotorn.com,,?,,com,
Character Omission,alotpon.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,alotpor.com,103.224.212.222,,park-mx.above.com,com,
Character Omission,alotporn.cm,,?,,cm,
Character Omission,alotprn.com,72.52.4.122,CA,CANADA,localhost,com,
Character Omission,altporn.com,23.23.174.132,US,UNITED STATES,,com,
Character Omission,aotporn.com,,?,,com,
Character Repeat,aalotporn.com,,?,,com,
Character Repeat,allotporn.com,,?,,com,
Character Repeat,alootporn.com,,?,,com,
Character Repeat,alotpoorn.com,,?,,com,
Character Repeat,alotpornn.com,,?,,com,
Character Repeat,alotporrn.com,,?,,com,
Character Repeat,alotpporn.com,,?,,com,
Character Repeat,alottporn.com,,?,,com,
Character Swap,aloptorn.com,,?,,com,
Character Swap,alotoprn.com,,?,,com,
Character Swap,alotponr.com,,?,,com,
Character Swap,alotpron.com,185.53.178.6,,mail.h-email.net,com,
Character Swap,altoporn.com,,?,,com,
Character Swap,aoltporn.com,,?,,com,
Character Swap,laotporn.com,,?,,com,
Character Replacement,akotporn.com,,?,,com,
Character Replacement,alitporn.com,,?,,com,
Character Replacement,alorporn.com,,?,,com,
Character Replacement,alotoorn.com,,?,,com,
Character Replacement,alotpirn.com,,?,,com,
Character Replacement,alotpoen.com,,?,,com,
Character Replacement,alotporb.com,,?,,com,
Character Replacement,alotporm.com,,?,,com,
Character Replacement,alotpotn.com,,?,,com,
Character Replacement,alotpprn.com,,?,,com,
Character Replacement,aloyporn.com,,?,,com,
Character Replacement,alptporn.com,,?,,com,
Character Replacement,slotporn.com,184.168.221.63,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,alkotporn.com,,?,,com,
Character Insertion,aloitporn.com,,?,,com,
Character Insertion,aloptporn.com,,?,,com,
Character Insertion,alotpoirn.com,,?,,com,
Character Insertion,alotpoprn.com,,?,,com,
Character Insertion,alotporen.com,,?,,com,
Character Insertion,alotpornb.com,,?,,com,
Character Insertion,alotpornm.com,,?,,com,
Character Insertion,alotportn.com,,?,,com,
Character Insertion,alotrporn.com,,?,,com,
Character Insertion,alotyporn.com,,?,,com,
Character Insertion,aslotporn.com,,?,,com,
Missing Dot,alotporncom.com,,?,,com,
Missing Dot,wwwalotporn.com,,?,,com,
Singular or Pluralise,alotporns.com,,?,,com,
Homophones,alotpoarn.com,,?,,com,
Homophones,alowtporn.com,,?,,com,
Bit Flipping,adotporn.com,,?,,com,
Bit Flipping,ahotporn.com,,?,,com,
Bit Flipping,algtporn.com,,?,,com,
Bit Flipping,alktporn.com,,?,,com,
Bit Flipping,almtporn.com,,?,,com,
Bit Flipping,alntporn.com,,?,,com,
Bit Flipping,alo4porn.com,,?,,com,
Bit Flipping,alodporn.com,,?,,com,
Bit Flipping,alopporn.com,,?,,com,
Bit Flipping,alot0orn.com,,?,,com,
Bit Flipping,alotpgrn.com,,?,,com,
Bit Flipping,alotpkrn.com,,?,,com,
Bit Flipping,alotpmrn.com,,?,,com,
Bit Flipping,alotpnrn.com,,?,,com,
Bit Flipping,alotpo2n.com,,?,,com,
Bit Flipping,alotpobn.com,,?,,com,
Bit Flipping,alotpopn.com,,?,,com,
Bit Flipping,alotporf.com,,?,,com,
Bit Flipping,alotporj.com,,?,,com,
Bit Flipping,alotporl.com,,?,,com,
Bit Flipping,alotporo.com,,?,,com,
Bit Flipping,alotposn.com,,?,,com,
Bit Flipping,alotpovn.com,,?,,com,
Bit Flipping,alotpozn.com,,?,,com,
Bit Flipping,alotqorn.com,,?,,com,
Bit Flipping,alotrorn.com,,?,,com,
Bit Flipping,alottorn.com,,?,,com,
Bit Flipping,alotxorn.com,,?,,com,
Bit Flipping,alouporn.com,,?,,com,
Bit Flipping,alovporn.com,,?,,com,
Bit Flipping,amotporn.com,,?,,com,
Bit Flipping,anotporn.com,,?,,com,
Bit Flipping,clotporn.com,,?,,com,
Bit Flipping,elotporn.com,,?,,com,
Bit Flipping,ilotporn.com,,?,,com,
Bit Flipping,qlotporn.com,,?,,com,
Homoglyphs,a1otporn.com,,?,,com,
Homoglyphs,al0tp0rn.com,,?,,com,
Homoglyphs,al0tporn.com,,?,,com,
Homoglyphs,alotp0rn.com,,?,,com,
Homoglyphs,alotpom.com,,?,,com,
Wrong TLD,alotporn.ca,,?,,ca,
Wrong TLD,alotporn.ch,,?,,ch,
Wrong TLD,alotporn.de,,?,,de,
Wrong TLD,alotporn.edu,,?,,edu,
Wrong TLD,alotporn.es,,?,,es,
Wrong TLD,alotporn.fr,,?,,fr,
Wrong TLD,alotporn.it,,?,,it,
Wrong TLD,alotporn.jp,,?,,jp,
Wrong TLD,alotporn.net,192.99.148.82,,,net,
Wrong TLD,alotporn.nl,,?,,nl,
Wrong TLD,alotporn.no,,?,,no,
Wrong TLD,alotporn.org,,?,,org,
Wrong TLD,alotporn.ru,,?,,ru,
Wrong TLD,alotporn.se,,?,,se,
Wrong TLD,alotporn.us,,?,,us,

