Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,aarillo.gov,,?,,gov,
Character Omission,amaillo.gov,,?,,gov,
Character Omission,amarill.gov,,?,,gov,
Character Omission,amarilo.gov,,?,,gov,
Character Omission,amarllo.gov,,?,,gov,
Character Omission,amrillo.gov,,?,,gov,
Character Repeat,aamarillo.gov,,?,,gov,
Character Repeat,amaarillo.gov,,?,,gov,
Character Repeat,amariillo.gov,,?,,gov,
Character Repeat,amarilllo.gov,,?,,gov,
Character Repeat,amarilloo.gov,,?,,gov,
Character Repeat,amarrillo.gov,,?,,gov,
Character Repeat,ammarillo.gov,,?,,gov,
Character Swap,aamrillo.gov,,?,,gov,
Character Swap,amairllo.gov,,?,,gov,
Character Swap,amarilol.gov,,?,,gov,
Character Swap,amarlilo.gov,,?,,gov,
Character Swap,amraillo.gov,,?,,gov,
Character Swap,maarillo.gov,,?,,gov,
Character Replacement,amaeillo.gov,,?,,gov,
Character Replacement,amariklo.gov,,?,,gov,
Character Replacement,amarilko.gov,,?,,gov,
Character Replacement,amarilli.gov,,?,,gov,
Character Replacement,amarillp.gov,,?,,gov,
Character Replacement,amarollo.gov,,?,,gov,
Character Replacement,amarullo.gov,,?,,gov,
Character Replacement,amatillo.gov,,?,,gov,
Character Replacement,amsrillo.gov,,?,,gov,
Character Replacement,anarillo.gov,,?,,gov,
Character Replacement,smarillo.gov,,?,,gov,
Double Character Replacement,amarikko.gov,,?,,gov,
Character Insertion,amareillo.gov,,?,,gov,
Character Insertion,amarilklo.gov,,?,,gov,
Character Insertion,amarillko.gov,,?,,gov,
Character Insertion,amarilloi.gov,,?,,gov,
Character Insertion,amarillop.gov,,?,,gov,
Character Insertion,amariollo.gov,,?,,gov,
Character Insertion,amariullo.gov,,?,,gov,
Character Insertion,amartillo.gov,,?,,gov,
Character Insertion,amasrillo.gov,,?,,gov,
Character Insertion,amnarillo.gov,,?,,gov,
Character Insertion,asmarillo.gov,,?,,gov,
Missing Dot,amarillogov.com,185.53.178.8,,mail.h-email.net,com,
Missing Dot,wwwamarillo.gov,,?,,gov,
Singular or Pluralise,amarillos.gov,,?,,gov,
Vowel Swap,amarallo.gov,,?,,gov,
Vowel Swap,amarello.gov,,?,,gov,
Vowel Swap,amerillo.gov,,?,,gov,
Vowel Swap,amirillo.gov,,?,,gov,
Vowel Swap,amorillo.gov,,?,,gov,
Vowel Swap,amurillo.gov,,?,,gov,
Homophones,amarayello.gov,,?,,gov,
Homophones,amareyello.gov,,?,,gov,
Homophones,amarillow.gov,,?,,gov,
Bit Flipping,a-arillo.gov,,?,,gov,
Bit Flipping,aearillo.gov,,?,,gov,
Bit Flipping,aiarillo.gov,,?,,gov,
Bit Flipping,alarillo.gov,,?,,gov,
Bit Flipping,ama2illo.gov,,?,,gov,
