Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,aericanexpress.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,ameicanexpress.com,148.173.91.85,US,UNITED STATES,,com,
Character Omission,amercanexpress.com,148.173.91.85,US,UNITED STATES,,com,
Character Omission,amerianexpress.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,americaexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Omission,americanepress.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,americanexpess.com,,?,,com,
Character Omission,americanexpres.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Omission,americanexpress.cm,,?,,cm,
Character Omission,americanexprss.com,66.96.149.21,US,UNITED STATES,,com,
Character Omission,americanexress.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,americanxpress.com,103.224.182.209,,mx92.mb5p.com,com,
Character Omission,americnexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Omission,amricanexpress.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,aamericanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,ameericanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,americaanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,americaneexpress.com,148.173.96.148,US,UNITED STATES,,com,
Character Repeat,americanexppress.com,,?,,com,
Character Repeat,americanexpreess.com,127.0.0.1,PH,PHILIPPINES,,com,
Character Repeat,americanexpresss.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,americanexprress.com,72.52.4.122,žK,,localhost,com,
Character Repeat,americanexxpress.com,148.173.91.85,US,UNITED STATES,,com,
Character Repeat,americannexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,americcanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,ameriicanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,amerricanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Repeat,ammericanexpress.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,aemricanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Swap,ameircanexpress.com,184.168.221.51,ID,INDONESIA,smtp.secureserver.net,com,
Character Swap,amercianexpress.com,,?,,com,
Character Swap,ameriacnexpress.com,103.224.182.246,,mx92.m1bp.com,com,
Character Swap,americaenxpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Swap,americanepxress.com,98.124.199.93,US,UNITED STATES,,com,
Character Swap,americanexperss.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Swap,americanexprses.com,103.224.182.251,,mx92.mb5p.com,com,
Character Swap,americanexrpess.com,5.22.149.135,DE,GERMANY,,com,
Character Swap,americanxepress.com,198.50.233.234,,,com,
Character Swap,americnaexpress.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Swap,amreicanexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Swap,maericanexpress.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,ameeicanexpress.com,5.22.149.135,CN,CHINA,,com,
Character Replacement,americabexpress.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,americamexpress.com,148.173.91.85,US,UNITED STATES,wppim001.aexp.com,com,
Character Replacement,americanecpress.com,5.22.149.135,DE,GERMANY,,com,
Character Replacement,americanexoress.com,103.224.182.212,,,com,
Character Replacement,americanexpeess.com,199.59.242.150,US,UNITED STATES,mx76.mb1p.com,com,
Character Replacement,americanexpreas.com,148.173.91.85,US,UNITED STATES,,com,
Character Replacement,americanexpreds.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,americanexpresa.com,69.16.230.43,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,americanexpresd.com,103.224.182.214,,park-mx.above.com,com,
Character Replacement,americanexprrss.com,98.124.199.1,CZ,CZECH REPUBLIC,,com,
Character Replacement,americanexprwss.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
