Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,aa.co.jp,,?,,jp,
Character Omission,an.co.jp,,?,,jp,
Character Omission,ana.c.jp,,?,,jp,
Character Omission,ana.o.jp,,?,,jp,
Character Omission,anaco.jp,185.53.179.7,,mail.h-email.net,jp,
Character Repeat,aana.co.jp,,?,,jp,
Character Repeat,ana.cco.jp,,?,,jp,
Character Repeat,ana.coo.jp,,?,,jp,
Character Repeat,anaa.co.jp,,?,,jp,
Character Repeat,anna.co.jp,210.188.240.4,JP,JAPAN,fs01.futurismworks.jp,jp,
Character Swap,aan.co.jp,61.126.48.155,US,UNITED STATES,aan.co.jp,jp,
Character Swap,an.aco.jp,,?,,jp,
Character Swap,ana.oc.jp,,?,,jp,
Character Swap,anac.o.jp,,?,,jp,
Character Swap,naa.co.jp,59.106.141.165,JP,JAPAN,smtp.naa.co.jp,jp,
Character Replacement,aba.co.jp,,?,,jp,
Character Replacement,ama.co.jp,203.138.223.102,JP,JAPAN,mail.ama.co.jp,jp,
Character Replacement,ana.ci.jp,,?,,jp,
Character Replacement,ana.co.jo,,?,,jo,
Character Replacement,ana.co.kp,,?,,kp,
Character Replacement,ana.cp.jp,,?,,jp,
Character Replacement,ana.vo.jp,,?,,jp,
Character Replacement,ana.xo.jp,,?,,jp,
Character Replacement,ans.co.jp,,?,gmo.ans.co.jp,jp,
Character Replacement,sna.co.jp,,?,,jp,
Character Insertion,ana.coi.jp,192.64.147.169,,,jp,
Character Insertion,ana.cop.jp,210.188.201.188,JP,JAPAN,,jp,
Character Insertion,ana.cvo.jp,,?,,jp,
Character Insertion,ana.cxo.jp,,?,,jp,
Character Insertion,anas.co.jp,,?,jt.ana.co.jp,jp,
Character Insertion,anba.co.jp,,?,,jp,
Character Insertion,anma.co.jp,157.205.46.201,Ùv,,mxi.alpha-prm.jp,jp,
Character Insertion,asna.co.jp,157.7.107.148,JP,JAPAN,mx01.lolipop.jp,jp,
Missing Dot,wwwana.co.jp,,?,,jp,
Singular or Pluralise,co.jp,,?,,jp,
Singular or Pluralise,cos.jp,121.117.82.31,JP,JAPAN,aspmx.l.google.com,jp,
Vowel Swap,ana.ca.jp,,?,,jp,
Vowel Swap,ana.ce.jp,,?,,jp,
Vowel Swap,ana.cu.jp,,?,,jp,
Vowel Swap,ane.co.jp,125.206.179.79,VN,VIET NAM,ane.co.jp,jp,
Vowel Swap,ani.co.jp,,?,,jp,
Vowel Swap,ano.co.jp,112.78.125.185,JP,JAPAN,mx01.muumuu-mail.com,jp,
Vowel Swap,anu.co.jp,,?,,jp,
Bit Flipping,a.a.co.jp,,?,,jp,
Bit Flipping,afa.co.jp,,?,,jp,
Bit Flipping,aja.co.jp,211.13.196.151,JP,JAPAN,mx.aja.co.jp,jp,
Bit Flipping,ala.co.jp,150.95.255.38,JP,JAPAN,,jp,
Bit Flipping,ana.ao.jp,,?,,jp,
Bit Flipping,ana.bo.jp,,?,,jp,
Bit Flipping,ana.cg.jp,,?,,jp,
Bit Flipping,ana.ck.jp,,?,,jp,
Bit Flipping,ana.cm.jp,,?,,jp,
Bit Flipping,ana.cn.jp,,?,,jp,
Bit Flipping,ana.go.jp,,?,,jp,
Bit Flipping,ana.ko.jp,,?,,jp,
Bit Flipping,ana.so.jp,,?,,jp,
Bit Flipping,ananco.jp,,?,,jp,
Bit Flipping,anc.co.jp,153.122.139.125,JP,JAPAN,anc.co.jp,jp,
Bit Flipping,anq.co.jp,,?,www.anq.co.jp,jp,
Bit Flipping,aoa.co.jp,210.152.151.93,CN,CHINA,mxjp1.nospamcloud.com,jp,
Bit Flipping,cna.co.jp,150.60.178.187,JP,JAPAN,vlmx21.secure.ne.jp,jp,
Bit Flipping,ena.co.jp,52.192.159.20,US,UNITED STATES,aspmx2.googlemail.com,jp,
Bit Flipping,ina.co.jp,157.7.183.138,JP,JAPAN,mail.ina.co.jp,jp,
Bit Flipping,qna.co.jp,,?,,jp,
Homoglyphs,ana.c0.jp,,?,,jp,
Wrong TLD,co.ca,,?,,ca,
Wrong TLD,co.ch,,?,,ch,
Wrong TLD,co.com,173.192.76.171,US,UNITED STATES,mx.spamexperts.com,com,
Wrong TLD,co.de,144.76.162.245,US,UNITED STATES,aspmx3.googlemail.com,de,
Wrong TLD,co.edu,,?,,edu,
Wrong TLD,co.es,,?,,es,
Wrong TLD,co.fr,,?,,fr,
Wrong TLD,co.it,,?,,it,
Wrong TLD,co.net,188.166.216.219,RU,RUSSIAN FEDERATION,aspmx3.googlemail.com,net,
Wrong TLD,co.nl,185.56.145.9,,,nl,
Wrong TLD,co.no,94.124.120.153,NL,NETHERLANDS,,no,
Wrong TLD,co.org,69.89.18.21,US,UNITED STATES,co.org,org,
Wrong TLD,co.ru,217.118.86.73,RU,RUSSIAN FEDERATION,mail.co.ru,ru,
Wrong TLD,co.se,,?,,se,
Wrong TLD,co.uk,,?,,co.uk,
Wrong TLD,co.us,,?,,us,

