Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,acestry.com,81.171.22.6,NL,NETHERLANDS,,com,
Character Omission,ancesry.com,69.64.147.243,Ð[,,,com,
Character Omission,ancestr.com,72.52.4.122,DE,GERMANY,localhost,com,
Character Omission,ancestry.cm,85.25.199.30,DE,GERMANY,104.236.59.57,cm,
Character Omission,ancesty.com,69.64.147.243,US,UNITED STATES,,com,
Character Omission,ancetry.com,158.69.143.112,US,UNITED STATES,,com,
Character Omission,ancstry.com,69.64.147.35,US,UNITED STATES,,com,
Character Omission,anestry.com,69.64.147.32,US,UNITED STATES,,com,
Character Repeat,aancestry.com,76.74.212.106,US,UNITED STATES,,com,
Character Repeat,anccestry.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,anceestry.com,67.227.226.241,PL,POLAND,mx156.hostedmxserver.com,com,
Character Repeat,ancesstry.com,198.50.233.234,,,com,
Character Repeat,ancestrry.com,103.224.182.246,,mx92.m1bp.com,com,
Character Repeat,ancestryy.com,192.64.147.196,,,com,
Character Repeat,ancesttry.com,72.3.202.136,EC,ECUADOR,mx94.mb1p.com,com,
Character Repeat,anncestry.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,acnestry.com,23.22.216.234,B+,,,com,
Character Swap,ancesrty.com,198.50.233.231,,,com,
Character Swap,ancestyr.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,ancetsry.com,67.227.226.241,IN,INDIA,mx156.hostedmxserver.com,com,
Character Swap,ancsetry.com,23.22.216.234,US,UNITED STATES,,com,
Character Swap,anecstry.com,103.224.182.246,,mx92.m1bp.com,com,
Character Swap,nacestry.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,abcestry.com,103.224.182.246,,mx92.mb5p.com,com,
Character Replacement,amcestry.com,174.137.132.42,US,UNITED STATES,mx7.amcestry.com,com,
Character Replacement,anceatry.com,81.171.22.6,US,UNITED STATES,,com,
Character Replacement,ancedtry.com,208.73.211.177,US,UNITED STATES,,com,
Character Replacement,ancesrry.com,158.69.143.112,US,UNITED STATES,,com,
Character Replacement,ancestey.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,ancestrt.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,ancestru.com,158.69.143.113,RU,RUSSIAN FEDERATION,,com,
Character Replacement,ancestty.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,ancesyry.com,208.73.211.165,VN,VIET NAM,,com,
Character Replacement,ancrstry.com,103.224.182.246,,mx92.m1bp.com,com,
Character Replacement,ancwstry.com,199.59.242.150,US,UNITED STATES,mx76.m2bp.com,com,
Character Replacement,anvestry.com,208.73.211.177,US,UNITED STATES,,com,
Character Replacement,anxestry.com,208.73.210.217,US,UNITED STATES,,com,
Character Replacement,sncestry.com,23.22.216.234,VN,VIET NAM,,com,
Character Insertion,anbcestry.com,52.86.163.26,CA,CANADA,,com,
Character Insertion,ancerstry.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,ancesatry.com,81.171.22.5,ÐW,,,com,
Character Insertion,ancesdtry.com,52.86.163.26,US,UNITED STATES,,com,
Character Insertion,ancestrey.com,185.53.179.6,,mail.h-email.net,com,
Character Insertion,ancestrty.com,208.87.150.50,US,UNITED STATES,,com,
Character Insertion,ancestryt.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Insertion,ancestryu.com,66.43.22.170,US,UNITED STATES,,com,
Character Insertion,ancestyry.com,52.0.7.30,US,UNITED STATES,,com,
Character Insertion,ancewstry.com,68.178.213.61,US,UNITED STATES,,com,
Character Insertion,ancvestry.com,103.224.182.245,,mx92.mb5p.com,com,
Character Insertion,ancxestry.com,52.0.7.30,AR,ARGENTINA,,com,
Character Insertion,anmcestry.com,81.171.22.4,NL,NETHERLANDS,,com,
Character Insertion,asncestry.com,185.53.178.6,,mail.h-email.net,com,
Missing Dot,ancestrycom.com,216.157.88.26,US,UNITED STATES,,com,
Missing Dot,wwwancestry.com,,?,,com,
Singular or Pluralise,ancestries.com,69.172.201.153,US,UNITED STATES,,com,
Common Misspelling,ancestory.com,66.43.22.183,US,UNITED STATES,,com,
Vowel Swap,ancastry.com,52.73.71.92,VN,VIET NAM,,com,
Vowel Swap,ancistry.com,72.52.4.122,US,UNITED STATES,localhost,com,
Vowel Swap,ancostry.com,,?,,com,
Vowel Swap,ancustry.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,a.cestry.com,207.244.67.139,US,UNITED STATES,,com,
Bit Flipping,afcestry.com,,?,,com,
Bit Flipping,ajcestry.com,66.43.22.183,US,UNITED STATES,,com,
Bit Flipping,alcestry.com,,?,,com,
Bit Flipping,anaestry.com,,?,,com,
Bit Flipping,anbestry.com,,?,,com,
Bit Flipping,ancdstry.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,ance3try.com,,?,,com,
Bit Flipping,ancectry.com,72.52.4.122,CA,CANADA,localhost,com,
Bit Flipping,anceqtry.com,,?,,com,
Bit Flipping,ancertry.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Bit Flipping,ances4ry.com,,?,,com,
Bit Flipping,ancesdry.com,23.22.216.234,US,UNITED STATES,,com,
Bit Flipping,ancespry.com,,?,,com,
Bit Flipping,ancest2y.com,,?,,com,
Bit Flipping,ancestby.com,,?,,com,
Bit Flipping,ancestpy.com,,?,,com,
Bit Flipping,ancestr9.com,,?,,com,
Bit Flipping,ancestri.com,185.53.179.8,,mail.h-email.net,com,
Bit Flipping,ancestrq.com,,?,,com,
Bit Flipping,ancestrx.com,,?,,com,
Bit Flipping,ancestsy.com,,?,,com,
Bit Flipping,ancestvy.com,,?,,com,
Bit Flipping,ancestzy.com,,?,,com,
Bit Flipping,ancesury.com,,?,,com,
Bit Flipping,ancesvry.com,,?,,com,
Bit Flipping,ancewtry.com,103.224.182.245,,mx92.m1bp.com,com,
Bit Flipping,ancgstry.com,,?,,com,
Bit Flipping,ancmstry.com,,?,,com,
Bit Flipping,angestry.com,23.22.216.234,US,UNITED STATES,,com,
Bit Flipping,ankestry.com,,?,,com,
Bit Flipping,ansestry.com,158.69.143.113,US,UNITED STATES,,com,
Bit Flipping,aocestry.com,,?,,com,
Bit Flipping,cncestry.com,,?,,com,
Bit Flipping,encestry.com,208.91.196.126,VG,VIRGIN ISLANDS (BRITISH),,com,
Bit Flipping,incestry.com,185.53.178.6,,mail.h-email.net,com,
Bit Flipping,qncestry.com,23.22.216.234,UA,UKRAINE,,com,
Wrong TLD,ancestry.ca,66.43.22.183,PH,PHILIPPINES,ancestry-ca.mail.protection.outlook.com,ca,
Wrong TLD,ancestry.ch,66.43.22.183,CA,CANADA,,ch,
Wrong TLD,ancestry.de,66.43.22.183,US,UNITED STATES,ancestry-de.mail.protection.outlook.com,de,
Wrong TLD,ancestry.edu,,?,,edu,
Wrong TLD,ancestry.es,66.43.22.183,ES,SPAIN,ancestry-es.mail.protection.outlook.com,es,
Wrong TLD,ancestry.fr,66.43.22.183,US,UNITED STATES,ancestry-fr.mail.protection.outlook.com,fr,
Wrong TLD,ancestry.it,66.43.22.183,US,UNITED STATES,ancestry-it.mail.protection.outlook.com,it,
Wrong TLD,ancestry.jp,66.43.22.183,H5,,,jp,
Wrong TLD,ancestry.net,209.197.114.240,PH,PHILIPPINES,mailwash38.pair.com,net,
Wrong TLD,ancestry.nl,66.43.22.183,US,UNITED STATES,,nl,
Wrong TLD,ancestry.no,66.43.22.183,IN,INDIA,ancestry-no.mail.protection.outlook.com,no,
Wrong TLD,ancestry.org,,?,,org,
Wrong TLD,ancestry.ru,5.101.125.106,RU,RUSSIAN FEDERATION,mail.ancestry.ru,ru,
Wrong TLD,ancestry.se,66.43.22.183,US,UNITED STATES,ancestry-se.mail.protection.outlook.com,se,
Wrong TLD,ancestry.us,98.124.199.114,GB,UNITED KINGDOM,,us,

