Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,an.com.au,,?,mxa.corphosts.com,com.au,
Character Omission,az.com.au,203.56.204.24,AU,AUSTRALIA,azmail1.az.com.au,com.au,
Character Repeat,aanz.com.au,,?,,com.au,
Character Repeat,annz.com.au,,?,,com.au,
Character Repeat,anzz.com.au,,?,,com.au,
Character Swap,anz.com.ua,185.53.177.29,,,com.ua,
Character Swap,azn.com.au,,?,,com.au,
Character Swap,naz.com.au,,?,,com.au,
Character Replacement,abz.com.au,116.0.21.1,AU,AUSTRALIA,mx1.instanthosting.com.au,com.au,
Character Replacement,amz.com.au,75.119.214.155,US,UNITED STATES,mx2.sub4.homie.mail.dreamhost.com,com.au,
Character Replacement,anx.com.au,69.172.201.153,US,UNITED STATES,,com.au,
Character Replacement,anz.com.ai,,?,,ai,
Character Replacement,anz.com.su,,?,,su,
Character Replacement,snz.com.au,69.172.201.153,US,UNITED STATES,,com.au,
Character Insertion,anbz.com.au,,?,,com.au,
Character Insertion,anmz.com.au,,?,,com.au,
Character Insertion,anzx.com.au,,?,,com.au,
Character Insertion,asnz.com.au,,?,,com.au,
Missing Dot,wwwanz.com.au,,?,,com.au,
Singular or Pluralise,anzs.com.au,,?,,com.au,
Vowel Swap,anz.com.ae,,?,,ae,
Vowel Swap,anz.com.eu,,?,,eu,
Bit Flipping,a.z.com.au,,?,,com.au,
Bit Flipping,afz.com.au,203.170.80.250,AU,AUSTRALIA,,com.au,
Bit Flipping,ajz.com.au,141.8.224.183,CH,SWITZERLAND,,com.au,
Bit Flipping,alz.com.au,103.9.171.51,AU,AUSTRALIA,alz.com.au,com.au,
Bit Flipping,anj.com.au,122.201.80.130,AU,AUSTRALIA,anj-com-au.mail.protection.outlook.com,com.au,
Bit Flipping,anr.com.au,125.253.94.74,AU,AUSTRALIA,mail.anr.com.au,com.au,
Bit Flipping,anz.com.aq,,?,,aq,
Bit Flipping,anz.com.at,,?,,at,
Bit Flipping,anz.com.aw,,?,,aw,
Bit Flipping,anz.com.cu,,?,,cu,
Bit Flipping,aoz.com.au,112.140.180.152,AU,AUSTRALIA,xenon.tac.com.au,com.au,
Bit Flipping,cnz.com.au,,?,,com.au,
Bit Flipping,enz.com.au,66.154.72.3,US,UNITED STATES,cwmail2.conepuppy.com,com.au,
Bit Flipping,inz.com.au,98.124.245.24,US,UNITED STATES,mail.b-io.co,com.au,
Bit Flipping,qnz.com.au,,?,,com.au,
Wrong TLD,anz.ca,158.85.87.76,US,UNITED STATES,mail.anz.ca,ca,
Wrong TLD,anz.ch,82.220.34.67,CH,SWITZERLAND,mail.anz.ch,ch,
Wrong TLD,anz.com,202.2.59.40,AU,AUSTRALIA,cluster3vk.eu.messagelabs.com,com,
Wrong TLD,anz.de,81.169.145.68,DE,GERMANY,smtp.rzone.de,de,
Wrong TLD,anz.edu,,?,,edu,
Wrong TLD,anz.es,185.37.228.107,,anz.es,es,
Wrong TLD,anz.fr,46.166.189.98,GB,UNITED KINGDOM,,fr,
Wrong TLD,anz.it,185.53.178.6,,mail.h-email.net,it,
Wrong TLD,anz.jp,202.2.59.40,AU,AUSTRALIA,,jp,
Wrong TLD,anz.net,68.178.213.61,US,UNITED STATES,,net,
Wrong TLD,anz.nl,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,nl,
Wrong TLD,anz.no,91.207.158.13,NO,NORWAY,mx01.uniweb.no,no,
Wrong TLD,anz.org,23.236.62.147,,,org,
Wrong TLD,anz.ru,46.61.199.125,RU,RUSSIAN FEDERATION,mail.anz.ru,ru,
Wrong TLD,anz.se,,?,,se,
Wrong TLD,anz.us,,?,,us,
Wrong SLD,anz.act.au,,?,,act.au,
Wrong SLD,anz.asn.au,,?,,asn.au,
Wrong SLD,anz.csiro.au,,?,,csiro.au,
Wrong SLD,anz.edu.au,,?,,edu.au,
Wrong SLD,anz.gov.au,,?,,gov.au,
Wrong SLD,anz.id.au,168.1.112.103,CH,SWITZERLAND,mail.anz.id.au,id.au,
Wrong SLD,anz.net.au,,?,,net.au,
Wrong SLD,anz.nsw.au,,?,,nsw.au,
Wrong SLD,anz.nt.au,,?,,nt.au,
Wrong SLD,anz.org.au,,?,,org.au,
Wrong SLD,anz.qld.au,,?,,qld.au,
Wrong SLD,anz.sa.au,,?,,sa.au,
Wrong SLD,anz.tas.au,,?,,tas.au,
Wrong SLD,anz.vic.au,,?,,vic.au,
Wrong SLD,anz.wa.au,,?,,wa.au,

