Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,al.com,216.146.46.10,SG,SINGAPORE,mxa-001afd01.gslb.pphosted.com,com,
Character Omission,ao.com,23.55.14.225,US,UNITED STATES,eu-smtp-inbound-1.mimecast.com,com,
Character Omission,aol.cm,85.25.199.30,DE,GERMANY,,cm,
Character Repeat,aaol.com,165.160.15.20,US,UNITED STATES,,com,
Character Repeat,aoll.com,66.63.171.125,US,UNITED STATES,,com,
Character Repeat,aool.com,149.174.107.98,US,UNITED STATES,,com,
Character Swap,alo.com,69.172.201.153,@,,,com,
Character Swap,oal.com,,?,,com,
Character Replacement,ail.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Character Replacement,aok.com,184.168.221.2,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,apl.com,216.87.148.114,US,UNITED STATES,cluster6.us.messagelabs.com,com,
Character Replacement,sol.com,82.192.93.136,NL,NETHERLANDS,alt3.aspmx.l.google.com,com,
Character Insertion,aoil.com,149.174.110.103,US,UNITED STATES,,com,
Character Insertion,aolk.com,207.200.74.30,RU,RUSSIAN FEDERATION,,com,
Character Insertion,aopl.com,23.23.174.132,US,UNITED STATES,,com,
Character Insertion,asol.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Missing Dot,aolcom.com,165.160.13.20,US,UNITED STATES,,com,
Missing Dot,wwwaol.com,64.12.79.10,US,UNITED STATES,,com,
Singular or Pluralise,aols.com,,?,,com,
Bit Flipping,agl.com,46.37.16.64,IT,ITALY,alt4.aspmx.l.google.com,com,
Bit Flipping,akl.com,184.168.221.29,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,aml.com,216.203.83.154,US,UNITED STATES,,com,
Bit Flipping,anl.com,216.251.43.11,US,UNITED STATES,mx3.megamailservers.com,com,
Bit Flipping,aod.com,70.32.66.129,US,UNITED STATES,mail.aod.com,com,
Bit Flipping,aoh.com,108.179.223.235,US,UNITED STATES,aoh.com,com,
Bit Flipping,aom.com,216.92.199.210,US,UNITED STATES,mailwash42.pair.com,com,
Bit Flipping,aon.com,168.87.112.151,US,UNITED STATES,aon-com.mail.protection.outlook.com,com,
Bit Flipping,col.com,64.40.115.5,CA,CANADA,,com,
Bit Flipping,eol.com,118.193.206.182,CN,CHINA,,com,
Bit Flipping,iol.com,194.125.2.243,IE,IRELAND,hub.mail.esat.net,com,
Bit Flipping,qol.com,104.31.94.99,,alt2.aspmx.l.google.com,com,
Homoglyphs,a0l.com,64.12.79.10,US,UNITED STATES,,com,
Homoglyphs,ao1.com,69.156.240.29,CA,CANADA,mx1c9.bellcanadahosting.com,com,
Wrong TLD,aol.ca,64.12.79.57,US,UNITED STATES,,ca,
Wrong TLD,aol.ch,,?,mailin-02.mx.aol.com,ch,
Wrong TLD,aol.de,149.174.110.102,US,UNITED STATES,mailin-03.mx.aol.com,de,
Wrong TLD,aol.edu,,?,,edu,
Wrong TLD,aol.es,,?,mailin-02.mx.aol.com,es,
Wrong TLD,aol.fr,149.174.107.97,US,UNITED STATES,mailin-02.mx.aol.com,fr,
Wrong TLD,aol.it,67.199.248.12,US,UNITED STATES,mailin-04.mx.aol.com,it,
Wrong TLD,aol.jp,149.174.107.97,US,UNITED STATES,mailin-02.mx.aol.com,jp,
Wrong TLD,aol.net,,?,postman2.mx.aol.com,net,
Wrong TLD,aol.nl,,?,mailin-02.mx.aol.com,nl,
Wrong TLD,aol.no,23.236.62.147,,aol-no.mail.protection.outlook.com,no,
Wrong TLD,aol.org,207.200.74.38,US,UNITED STATES,mailin-02.mx.aol.com,org,
Wrong TLD,aol.ru,,?,mailin-04.mx.aol.com,ru,
Wrong TLD,aol.se,,?,mailin-01.mx.aol.com,se,
Wrong TLD,aol.us,64.12.79.57,US,UNITED STATES,,us,

