Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ak.com,45.126.120.68,,mxbiz2.qq.com,com,
Character Omission,as.com,23.204.143.9,,,com,
Character Omission,ask.cm,85.25.199.30,DE,GERMANY,,cm,
Character Repeat,aask.com,40.117.188.126,US,UNITED STATES,aask-com.mail.protection.outlook.com,com,
Character Repeat,askk.com,216.113.194.65,CA,CANADA,alt1.aspmx.l.google.com,com,
Character Repeat,assk.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,aks.com,104.198.108.97,,smtp01.aks.com,com,
Character Swap,sak.com,205.186.137.189,US,UNITED STATES,mail.sak.com,com,
Character Replacement,aak.com,80.167.238.220,DK,DENMARK,eu-smtp-inbound-2.mimecast.com,com,
Character Replacement,adk.com,192.237.224.60,,mx2.emailsrvr.com,com,
Character Replacement,asj.com,222.174.24.126,CN,CHINA,mxbiz2.qq.com,com,
Character Replacement,asl.com,159.50.194.164,US,UNITED STATES,mxb-00176a02.gslb.pphosted.com,com,
Character Replacement,ssk.com,104.24.16.71,,aspmx.l.google.com,com,
Character Insertion,asak.com,141.8.224.25,CH,SWITZERLAND,,com,
Character Insertion,asdk.com,80.150.6.143,DE,GERMANY,smtp-01.tld.t-online.de,com,
Character Insertion,askj.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Insertion,askl.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,askcom.com,69.162.80.51,US,UNITED STATES,,com,
Missing Dot,wwwask.com,141.8.224.183,CH,SWITZERLAND,,com,
Singular or Pluralise,asks.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,a3k.com,50.63.126.106,US,UNITED STATES,,com,
Bit Flipping,ack.com,72.32.34.186,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Bit Flipping,aqk.com,76.74.212.106,US,UNITED STATES,,com,
Bit Flipping,ark.com,34.197.84.252,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Bit Flipping,asc.com,206.188.192.248,US,UNITED STATES,p.webcom.ctmail.com,com,
Bit Flipping,asi.com,139.146.138.201,CA,CANADA,us-smtp-inbound-2.mimecast.com,com,
Bit Flipping,aso.com,207.207.49.83,US,UNITED STATES,d27736a.ess.barracudanetworks.com,com,
Bit Flipping,awk.com,178.16.57.13,DE,GERMANY,mx-a.ktk.de,com,
Bit Flipping,csk.com,203.179.35.205,JP,JAPAN,,com,
Bit Flipping,esk.com,192.28.34.17,US,UNITED STATES,leslie.esk.com,com,
Bit Flipping,isk.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,qsk.com,103.224.182.212,,,com,
Wrong TLD,ask.ca,52.0.137.151,US,UNITED STATES,sm1abv.directhit.com,ca,
Wrong TLD,ask.ch,,?,,ch,
Wrong TLD,ask.de,52.0.137.151,US,UNITED STATES,blackhole.directhit.com,de,
Wrong TLD,ask.edu,,?,,edu,
Wrong TLD,ask.es,,?,,es,
Wrong TLD,ask.fr,217.182.88.157,GB,UNITED KINGDOM,mailgateway.paragon-europe.net,fr,
Wrong TLD,ask.it,52.44.168.246,US,UNITED STATES,,it,
Wrong TLD,ask.jp,52.44.168.246,US,UNITED STATES,,jp,
Wrong TLD,ask.net,23.254.144.162,,ask-net.mail.protection.outlook.com,net,
Wrong TLD,ask.nl,,?,ask-nl.mail.protection.outlook.com,nl,
Wrong TLD,ask.no,89.221.243.251,SE,SWEDEN,ask.no,no,
Wrong TLD,ask.org,,?,,org,
Wrong TLD,ask.ru,176.9.46.101,DE,GERMANY,aspmx3.googlemail.com,ru,
Wrong TLD,ask.se,89.221.250.10,SE,SWEDEN,mail-gw01.fsdata.se,se,
Wrong TLD,ask.us,72.52.10.14,US,UNITED STATES,,us,

