Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,asociatedbank.com,12.192.9.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Omission,assciatedbank.com,209.126.123.11,CH,SWITZERLAND,,com,
Character Omission,assocatedbank.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,associaedbank.com,12.192.9.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Omission,associatdbank.com,199.191.50.73,,,com,
Character Omission,associatebank.com,103.224.182.210,,mx92.mb5p.com,com,
Character Omission,associatedank.com,185.53.179.7,,mail.h-email.net,com,
Character Omission,associatedbak.com,12.192.9.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Omission,associatedban.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Omission,associatedbank.cm,,?,,cm,
Character Omission,associatedbnk.com,199.191.50.73,,,com,
Character Omission,associtedbank.com,12.180.184.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Omission,assoiatedbank.com,69.162.80.51,US,UNITED STATES,,com,
Character Repeat,aassociatedbank.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,assocciatedbank.com,216.157.88.21,US,UNITED STATES,,com,
Character Repeat,associaatedbank.com,12.180.184.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Repeat,associatedbaank.com,172.107.8.216,,,com,
Character Repeat,associatedbankk.com,,?,,com,
Character Repeat,associatedbannk.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,associatedbbank.com,12.192.9.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Repeat,associateddbank.com,172.107.8.215,,,com,
Character Repeat,associateedbank.com,185.53.178.9,,mail.h-email.net,com,
Character Repeat,associattedbank.com,185.53.179.6,,mail.h-email.net,com,
Character Repeat,associiatedbank.com,172.107.8.214,,,com,
Character Repeat,assoociatedbank.com,103.224.212.239,,park-mx.above.com,com,
Character Repeat,asssociatedbank.com,12.192.9.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Swap,asosciatedbank.com,,?,,com,
Character Swap,asscoiatedbank.com,103.224.182.245,,mx92.mb5p.com,com,
Character Swap,assocaitedbank.com,103.224.182.210,,mx92.mb5p.com,com,
Character Swap,associaetdbank.com,,?,,com,
Character Swap,associatdebank.com,,?,,com,
Character Swap,associatebdank.com,,?,,com,
Character Swap,associatedabnk.com,,?,,com,
Character Swap,associatedbakn.com,,?,,com,
Character Swap,associatedbnak.com,67.55.121.97,US,UNITED STATES,,com,
Character Swap,associtaedbank.com,,?,,com,
Character Swap,assoicatedbank.com,12.192.9.143,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Swap,sasociatedbank.com,,?,,com,
Character Replacement,aasociatedbank.com,,?,,com,
Character Replacement,adsociatedbank.com,,?,,com,
Character Replacement,asaociatedbank.com,,?,,com,
