Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,aclub.com,35.190.16.47,BD,BANGLADESH,mx3.volusion.com,com,
Character Omission,avclb.com,,?,,com,
Character Omission,avclu.com,,?,,com,
Character Omission,avclub.cm,,?,,cm,
Character Omission,avcub.com,103.224.182.243,,park-mx.above.com,com,
Character Omission,avlub.com,103.224.182.247,,mx92.mb5p.com,com,
Character Repeat,aavclub.com,,?,,com,
Character Repeat,avcclub.com,204.11.56.37,,,com,
Character Repeat,avcllub.com,,?,,com,
Character Repeat,avclubb.com,,?,,com,
Character Repeat,avcluub.com,,?,,com,
Character Repeat,avvclub.com,,?,,com,
Character Swap,acvlub.com,,?,,com,
Character Swap,avclbu.com,,?,,com,
Character Swap,avculb.com,,?,,com,
Character Swap,avlcub.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,vaclub.com,98.124.245.24,US,UNITED STATES,mail.fabulous.com,com,
Character Replacement,abclub.com,209.99.64.44,US,UNITED STATES,,com,
Character Replacement,acclub.com,54.164.23.135,US,UNITED STATES,,com,
Character Replacement,avckub.com,173.239.8.164,US,UNITED STATES,mx7.avckub.com,com,
Character Replacement,avclib.com,67.55.92.182,US,UNITED STATES,mx7.avclib.com,com,
Character Replacement,avclun.com,,?,,com,
Character Replacement,avcluv.com,,?,,com,
Character Replacement,avclyb.com,,?,,com,
Character Replacement,avvlub.com,,?,,com,
Character Replacement,avxlub.com,,?,,com,
Character Replacement,svclub.com,,?,mxb-001e9301.gslb.pphosted.com,com,
Character Insertion,asvclub.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Insertion,avbclub.com,,?,,com,
Character Insertion,avclkub.com,,?,,com,
Character Insertion,avclubn.com,,?,,com,
Character Insertion,avclubv.com,,?,,com,
Character Insertion,avcluib.com,,?,,com,
Character Insertion,avcluyb.com,,?,,com,
Character Insertion,avcvlub.com,,?,,com,
Character Insertion,avcxlub.com,,?,,com,
Missing Dot,avclubcom.com,,?,,com,
Missing Dot,wwwavclub.com,141.8.224.93,CH,SWITZERLAND,,com,
Singular or Pluralise,avclubs.com,66.197.99.19,US,UNITED STATES,,com,
Vowel Swap,avclab.com,209.15.20.223,US,UNITED STATES,avclab-com.mail.protection.outlook.com,com,
Vowel Swap,avcleb.com,,?,,com,
Vowel Swap,avclob.com,,?,,com,
Bit Flipping,a6club.com,203.78.142.12,IN,INDIA,,com,
Bit Flipping,afclub.com,185.53.178.6,,mail.h-email.net,com,
Bit Flipping,arclub.com,211.152.34.32,CN,CHINA,mxbiz2.qq.com,com,
Bit Flipping,atclub.com,68.178.213.61,US,UNITED STATES,,com,
Bit Flipping,avalub.com,,?,,com,
Bit Flipping,avblub.com,,?,,com,
Bit Flipping,avcdub.com,,?,,com,
Bit Flipping,avchub.com,,?,,com,
Bit Flipping,avcl5b.com,,?,,com,
Bit Flipping,avclqb.com,,?,,com,
Bit Flipping,avcltb.com,,?,,com,
Bit Flipping,avcluc.com,,?,,com,
Bit Flipping,avcluf.com,,?,,com,
Bit Flipping,avcluj.com,,?,,com,
Bit Flipping,avclur.com,,?,,com,
Bit Flipping,avclwb.com,,?,,com,
Bit Flipping,avcmub.com,,?,,com,
Bit Flipping,avcnub.com,,?,,com,
Bit Flipping,avglub.com,,?,,com,
Bit Flipping,avklub.com,,?,,com,
Bit Flipping,avslub.com,,?,,com,
Bit Flipping,awclub.com,185.53.178.6,,mail.h-email.net,com,
Bit Flipping,cvclub.com,61.63.4.68,TW,TAIWAN; REPUBLIC OF CHINA (ROC),web8.sigma88.com,com,
Bit Flipping,evclub.com,115.29.97.55,CN,CHINA,,com,
Bit Flipping,ivclub.com,50.63.202.56,US,UNITED STATES,,com,
Bit Flipping,qvclub.com,69.172.201.153,US,UNITED STATES,,com,
Homoglyphs,avc1ub.com,,?,,com,
Homoglyphs,avdub.com,206.188.193.2,US,UNITED STATES,mx2.emailsrvr.com,com,
Wrong TLD,avclub.ca,66.96.160.128,US,UNITED STATES,mx.avclub.ca,ca,
Wrong TLD,avclub.ch,,?,,ch,
Wrong TLD,avclub.de,,?,,de,
Wrong TLD,avclub.edu,,?,,edu,
Wrong TLD,avclub.es,,?,,es,
Wrong TLD,avclub.fr,,?,,fr,
Wrong TLD,avclub.it,,?,,it,
Wrong TLD,avclub.jp,,?,,jp,
Wrong TLD,avclub.net,68.178.213.61,US,UNITED STATES,,net,
Wrong TLD,avclub.nl,,?,,nl,
Wrong TLD,avclub.no,,?,,no,
Wrong TLD,avclub.org,184.168.221.37,US,UNITED STATES,,org,
Wrong TLD,avclub.ru,92.53.123.240,RU,RUSSIAN FEDERATION,mx1.timeweb.ru,ru,
Wrong TLD,avclub.se,,?,,se,
Wrong TLD,avclub.us,162.255.119.248,,,us,

