Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,alyrics.com,77.104.139.98,CA,CANADA,mx10.mailspamprotection.com,com,
Character Omission,azlrics.com,104.151.209.45,,,com,
Character Omission,azlyics.com,199.115.115.119,US,UNITED STATES,,com,
Character Omission,azlyrcs.com,69.64.147.10,NL,NETHERLANDS,,com,
Character Omission,azlyric.com,216.157.88.24,US,UNITED STATES,,com,
Character Omission,azlyrics.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,azlyris.com,108.175.168.68,CA,CANADA,azlyris.com,com,
Character Omission,azyrics.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,aazlyrics.com,69.172.201.153,CA,CANADA,,com,
Character Repeat,azllyrics.com,107.183.82.105,,,com,
Character Repeat,azlyriccs.com,,?,,com,
Character Repeat,azlyricss.com,104.27.176.242,,,com,
Character Repeat,azlyriics.com,,?,,com,
Character Repeat,azlyrrics.com,,?,,com,
Character Repeat,azlyyrics.com,,?,,com,
Character Repeat,azzlyrics.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Swap,alzyrics.com,98.124.245.24,GR,GREECE,mail.b-io.co,com,
Character Swap,azlryics.com,199.115.115.119,US,UNITED STATES,,com,
Character Swap,azlyircs.com,103.224.212.222,,mx92.mb5p.com,com,
Character Swap,azlyrcis.com,103.224.182.245,,park-mx.above.com,com,
Character Swap,azlyrisc.com,,?,,com,
Character Swap,azylrics.com,158.69.145.48,US,UNITED STATES,,com,
Character Swap,zalyrics.com,184.168.221.18,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,axlyrics.com,204.11.56.48,,,com,
Character Replacement,azkyrics.com,,?,,com,
Character Replacement,azltrics.com,103.224.212.222,,mx92.m1bp.com,com,
Character Replacement,azlurics.com,,?,,com,
Character Replacement,azlyeics.com,209.99.40.222,US,UNITED STATES,,com,
Character Replacement,azlyrica.com,173.239.8.164,US,UNITED STATES,mx7.azlyrica.com,com,
Character Replacement,azlyricd.com,,?,,com,
Character Replacement,azlyrivs.com,,?,,com,
Character Replacement,azlyrixs.com,,?,,com,
Character Replacement,azlyrocs.com,,?,,com,
Character Replacement,azlyrucs.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,azlytics.com,52.73.71.92,US,UNITED STATES,,com,
