Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,babcenter.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,babycener.com,103.224.182.218,,mx92.m1bp.com,com,
Character Omission,babycente.com,69.64.147.33,US,UNITED STATES,,com,
Character Omission,babycenter.cm,76.74.212.106,US,UNITED STATES,,cm,
Character Omission,babycentr.com,,?,,com,
Character Omission,babyceter.com,158.69.143.112,US,UNITED STATES,,com,
Character Omission,babycnter.com,185.53.178.7,,mail.h-email.net,com,
Character Omission,babyenter.com,103.224.182.245,,mx92.mb5p.com,com,
Character Omission,baycenter.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Omission,bbycenter.com,72.52.4.122,KR,KOREA REPUBLIC OF,localhost,com,
Character Repeat,baabycenter.com,,?,,com,
Character Repeat,babbycenter.com,103.224.182.239,,mx92.mb5p.com,com,
Character Repeat,babyccenter.com,,?,,com,
Character Repeat,babyceenter.com,,?,,com,
Character Repeat,babycennter.com,167.160.12.222,US,UNITED STATES,,com,
Character Repeat,babycenteer.com,172.107.8.194,,,com,
Character Repeat,babycenterr.com,185.53.178.9,,mail.h-email.net,com,
Character Repeat,babycentter.com,,?,,com,
Character Repeat,babyycenter.com,,?,,com,
Character Repeat,bbabycenter.com,,?,,com,
Character Swap,abbycenter.com,184.168.221.7,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Swap,babcyenter.com,,?,,com,
Character Swap,babycenetr.com,,?,,com,
Character Swap,babycentre.com,208.17.90.54,US,UNITED STATES,mx03.babycenter.com,com,
Character Swap,babycetner.com,103.224.182.245,,mx92.mb5p.com,com,
Character Swap,babycneter.com,50.63.202.63,US,UNITED STATES,smtp.secureserver.net,com,
Character Swap,babyecnter.com,,?,,com,
Character Swap,baybcenter.com,,?,,com,
Character Swap,bbaycenter.com,,?,,com,
Character Replacement,babtcenter.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Replacement,babucenter.com,,?,,com,
Character Replacement,babycebter.com,95.211.219.67,NL,NETHERLANDS,,com,
Character Replacement,babycemter.com,,?,,com,
Character Replacement,babycenrer.com,,?,,com,
Character Replacement,babycentee.com,50.63.202.22,US,UNITED STATES,,com,
Character Replacement,babycentet.com,208.73.210.217,US,UNITED STATES,,com,
Character Replacement,babycentrr.com,,?,,com,
Character Replacement,babycentwr.com,199.59.242.150,IN,INDIA,mx76.mb1p.com,com,
Character Replacement,babycenyer.com,,?,,com,
Character Replacement,babycrnter.com,,?,,com,
Character Replacement,babycwnter.com,,?,,com,
Character Replacement,babyventer.com,184.168.221.96,US,UNITED STATES,10,com,
Character Replacement,babyxenter.com,184.168.221.96,US,UNITED STATES,10,com,
Character Replacement,banycenter.com,209.126.123.11,US,UNITED STATES,,com,
Character Replacement,bavycenter.com,184.168.221.96,US,UNITED STATES,0,com,
Character Replacement,bsbycenter.com,,?,,com,
Character Replacement,nabycenter.com,,?,,com,
Character Replacement,vabycenter.com,184.168.221.96,¸©,,10,com,
Character Insertion,babnycenter.com,,?,,com,
Character Insertion,babvycenter.com,,?,,com,
Character Insertion,babycenbter.com,,?,,com,
Character Insertion,babycenmter.com,,?,,com,
Character Insertion,babycentere.com,,?,,com,
Character Insertion,babycentert.com,,?,,com,
Character Insertion,babycentewr.com,,?,,com,
Character Insertion,babycentrer.com,,?,,com,
Character Insertion,babycentyer.com,,?,,com,
Character Insertion,babycernter.com,,?,,com,
Character Insertion,babycewnter.com,,?,,com,
Character Insertion,babycventer.com,,?,,com,
Character Insertion,babycxenter.com,,?,,com,
Character Insertion,babytcenter.com,,?,,com,
Character Insertion,babyucenter.com,,?,,com,
Character Insertion,basbycenter.com,,?,,com,
Character Insertion,bnabycenter.com,,?,,com,
