Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,babtree.com,209.15.13.134,JP,JAPAN,mail.b-io.co,com,
Character Omission,babyree.com,52.71.185.125,DE,GERMANY,,com,
Character Omission,babytee.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,babytre.com,162.255.119.253,,,com,
Character Omission,babytree.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,baytree.com,185.45.220.121,,baytree-com.mail.protection.outlook.com,com,
Character Omission,bbytree.com,104.151.209.44,,,com,
Character Repeat,baabytree.com,,?,,com,
Character Repeat,babbytree.com,,?,,com,
Character Repeat,babytreee.com,,?,,com,
Character Repeat,babytrree.com,,?,,com,
Character Repeat,babyttree.com,,?,,com,
Character Repeat,babyytree.com,,?,,com,
Character Repeat,bbabytree.com,,?,,com,
Character Swap,abbytree.com,,?,,com,
Character Swap,babtyree.com,,?,,com,
Character Swap,babyrtee.com,,?,,com,
Character Swap,babytere.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Swap,baybtree.com,52.0.7.30,U,,,com,
Character Swap,bbaytree.com,,?,,com,
Character Replacement,babttree.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,babutree.com,216.239.38.21,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Character Replacement,babyrree.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,babyteee.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,babytrer.com,,?,,com,
Character Replacement,babytrew.com,,?,,com,
Character Replacement,babytrre.com,,?,,com,
Character Replacement,babytrwe.com,,?,,com,
Character Replacement,babyttee.com,199.59.242.150,US,UNITED STATES,mx76.mb1p.com,com,
Character Replacement,babyyree.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,banytree.com,104.203.176.177,,,com,
Character Replacement,bavytree.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,bsbytree.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,nabytree.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,vabytree.com,47.91.154.204,CA,CANADA,,com,
Double Character Replacement,babytrrr.com,,?,,com,
Double Character Replacement,babytrww.com,,?,,com,
Character Insertion,babnytree.com,,?,,com,
Character Insertion,babvytree.com,,?,,com,
Character Insertion,babytreer.com,,?,,com,
Character Insertion,babytreew.com,,?,,com,
Character Insertion,babytrere.com,,?,,com,
Character Insertion,babytrewe.com,,?,,com,
Character Insertion,babytrtee.com,,?,,com,
Character Insertion,babytyree.com,,?,,com,
Character Insertion,babyutree.com,,?,,com,
Character Insertion,basbytree.com,,?,,com,
Character Insertion,bnabytree.com,,?,,com,
Character Insertion,bvabytree.com,,?,,com,
Missing Dot,babytreecom.com,184.168.221.104,CA,CANADA,,com,
Missing Dot,wwwbabytree.com,54.72.9.51,US,UNITED STATES,,com,
Singular or Pluralise,babytrees.com,,?,,com,
Vowel Swap,babytraa.com,,?,,com,
Vowel Swap,babytrii.com,,?,,com,
Vowel Swap,babytroo.com,,?,,com,
Vowel Swap,babytruu.com,,?,,com,
Vowel Swap,bebytree.com,,?,,com,
Vowel Swap,bibytree.com,,?,,com,
Vowel Swap,bobytree.com,,?,,com,
Vowel Swap,bubytree.com,,?,,com,
Homophones,babuytree.com,,?,,com,
Homophones,babyetree.com,,?,,com,
Bit Flipping,bab9tree.com,,?,,com,
Bit Flipping,babitree.com,,?,,com,
Bit Flipping,babqtree.com,,?,,com,
Bit Flipping,babxtree.com,,?,,com,
Bit Flipping,baby4ree.com,,?,,com,
Bit Flipping,babydree.com,,?,,com,
Bit Flipping,babypree.com,,?,,com,
Bit Flipping,babyt2ee.com,,?,,com,
Bit Flipping,babytbee.com,,?,,com,
Bit Flipping,babytpee.com,,?,,com,
Bit Flipping,babytrae.com,,?,,com,
