Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,badu.com,184.154.126.180,US,UNITED STATES,,com,
Character Omission,baid.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Omission,baidu.cm,47.88.136.144,CA,CANADA,,cm,
Character Omission,baiu.com,123.1.194.235,HK,HONG KONG,,com,
Character Omission,bidu.com,47.88.136.144,CA,CANADA,,com,
Character Repeat,baaidu.com,67.21.83.125,AT,AUSTRIA,,com,
Character Repeat,baiddu.com,192.69.199.28,,baiddu.com,com,
Character Repeat,baiduu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Repeat,baiidu.com,192.69.199.28,,baiidu.com,com,
Character Repeat,bbaidu.com,,?,,com,
Character Swap,abidu.com,67.227.226.241,SG,SINGAPORE,mx156.hostedmxserver.com,com,
Character Swap,badiu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Swap,baiud.com,103.51.144.90,,,com,
Character Swap,biadu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,baidi.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,baidy.com,61.92.24.83,EU,EUROPEAN UNION,,com,
Character Replacement,baifu.com,23.234.4.153,,,com,
Character Replacement,baisu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,baodu.com,115.29.223.128,CN,CHINA,mxn.mxhichina.com,com,
Character Replacement,baudu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Replacement,bsidu.com,184.154.126.180,US,UNITED STATES,,com,
Character Replacement,naidu.com,64.99.80.121,TH,THAILAND,mx.netidentity.com.cust.hostedemail.com,com,
Character Replacement,vaidu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Insertion,baidfu.com,61.92.24.83,HK,HONG KONG,,com,
Character Insertion,baidsu.com,61.92.24.83,HK,HONG KONG,,com,
Character Insertion,baidui.com,113.106.94.163,CN,CHINA,,com,
Character Insertion,baiduy.com,61.92.24.83,HK,HONG KONG,,com,
Character Insertion,baiodu.com,69.12.76.67,US,UNITED STATES,baiodu.com,com,
Character Insertion,baiudu.com,67.198.170.21,US,UNITED STATES,,com,
Character Insertion,basidu.com,61.92.24.83,HK,HONG KONG,,com,
Character Insertion,bnaidu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Insertion,bvaidu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Missing Dot,baiducom.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Missing Dot,wwwbaidu.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Singular or Pluralise,baidus.com,72.52.4.122,US,UNITED STATES,localhost,com,
Vowel Swap,baadu.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,baedu.com,185.53.179.6,,mail.h-email.net,com,
Vowel Swap,baida.com,23.23.174.132,US,UNITED STATES,,com,
Vowel Swap,baide.com,218.5.74.87,CN,CHINA,smx111.cn4e.com,com,
Vowel Swap,baido.com,,?,mbox.modi.it,com,
Vowel Swap,beidu.com,184.154.126.180,US,UNITED STATES,,com,
Vowel Swap,biidu.com,209.99.64.52,US,UNITED STATES,,com,
Vowel Swap,boidu.com,211.149.226.136,CN,CHINA,,com,
Vowel Swap,buidu.com,47.88.136.144,CA,CANADA,,com,
Homophones,baayedu.com,,?,,com,
Homophones,baeyedu.com,,?,,com,
Homophones,baideu.com,61.92.24.83,HK,HONG KONG,,com,
Bit Flipping,bahdu.com,192.241.255.198,,goda.1tl.com,com,
Bit Flipping,baid5.com,104.131.105.5,,eforward2.registrar-servers.com,com,
Bit Flipping,baidq.com,112.74.36.224,CN,CHINA,,com,
Bit Flipping,baidt.com,203.86.7.200,CN,CHINA,qiye163mx01.mxmail.netease.com,com,
Bit Flipping,baidw.com,47.89.194.64,CA,CANADA,,com,
Bit Flipping,baieu.com,69.12.76.67,US,UNITED STATES,baieu.com,com,
Bit Flipping,bailu.com,61.163.52.37,CN,CHINA,spam.emailpower.cn,com,
Bit Flipping,baitu.com,203.195.200.211,CN,CHINA,mxbiz2.qq.com,com,
Bit Flipping,bakdu.com,52.0.7.30,US,UNITED STATES,,com,
Bit Flipping,bamdu.com,,?,,com,
Bit Flipping,baydu.com,168.144.247.84,CA,CANADA,mail.baydu.com,com,
Bit Flipping,bcidu.com,208.73.210.202,US,UNITED STATES,,com,
Bit Flipping,bqidu.com,209.15.13.134,JP,JAPAN,mail.b-io.co,com,
Bit Flipping,caidu.com,103.59.164.125,,caidu.com,com,
Bit Flipping,faidu.com,217.199.187.67,GB,UNITED KINGDOM,mail.faidu.com,com,
Bit Flipping,jaidu.com,185.53.178.7,,,com,
Bit Flipping,raidu.com,69.172.201.153,US,UNITED STATES,,com,
Homoglyphs,baiclu.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Homoglyphs,baldu.com,72.52.4.122,US,UNITED STATES,localhost,com,
Wrong TLD,baidu.ca,64.68.36.10,IL,ISRAEL,hc.hms-gtm.com,ca,
Wrong TLD,baidu.ch,80.92.65.144,LU,LUXEMBOURG,mx10.eurodns.com,ch,
Wrong TLD,baidu.de,80.237.153.64,DE,GERMANY,,de,
Wrong TLD,baidu.edu,,?,,edu,
Wrong TLD,baidu.es,,?,,es,
Wrong TLD,baidu.fr,72.52.4.122,US,UNITED STATES,localhost,fr,
Wrong TLD,baidu.it,69.172.201.153,US,UNITED STATES,,it,
Wrong TLD,baidu.jp,119.63.198.132,JP,JAPAN,mx1.baidu.com,jp,
Wrong TLD,baidu.net,118.244.196.96,CN,CHINA,mxn.mxhichina.com,net,
Wrong TLD,baidu.nl,192.81.132.23,,alt1.aspmx.l.google.com,nl,
Wrong TLD,baidu.no,194.63.248.70,NO,NORWAY,mx.domeneshop.no,no,
