Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bakofthewest.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,bankfthewest.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,bankofhewest.com,199.59.242.150,CR,COSTA RICA,mx76.mb1p.com,com,
Character Omission,bankoftewest.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,bankoftheest.com,69.162.80.60,US,UNITED STATES,,com,
Character Omission,bankofthewes.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,bankofthewest.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Omission,bankofthewet.com,158.69.143.112,CA,CANADA,,com,
Character Omission,bankofthewst.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,bankofthwest.com,204.44.11.44,US,UNITED STATES,,com,
Character Omission,bankothewest.com,158.69.143.113,DO,DOMINICAN REPUBLIC,,com,
Character Omission,banofthewest.com,158.69.143.113,US,UNITED STATES,,com,
Character Omission,bnkofthewest.com,103.224.182.252,,mx92.mb5p.com,com,
Character Repeat,baankofthewest.com,199.191.50.73,,,com,
Character Repeat,bankkofthewest.com,103.224.182.251,,mx92.m1bp.com,com,
Character Repeat,bankoffthewest.com,185.53.177.31,,,com,
Character Repeat,bankoftheewest.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Repeat,bankoftheweest.com,185.53.179.8,,mail.h-email.net,com,
Character Repeat,bankofthewesst.com,81.171.22.7,ES,SPAIN,,com,
Character Repeat,bankofthewestt.com,103.224.182.252,,mx92.mb5p.com,com,
Character Repeat,bankofthewwest.com,69.16.230.43,PH,PHILIPPINES,mx156.hostedmxserver.com,com,
Character Repeat,bankofthhewest.com,185.53.178.6,,mail.h-email.net,com,
Character Repeat,bankoftthewest.com,103.224.182.214,,mx92.mb5p.com,com,
Character Repeat,bankoofthewest.com,158.69.225.39,US,UNITED STATES,,com,
Character Repeat,bannkofthewest.com,85.159.233.44,NL,NETHERLANDS,,com,
Character Repeat,bbankofthewest.com,209.15.13.134,GB,UNITED KINGDOM,mail.b-io.co,com,
Character Swap,abnkofthewest.com,,?,,com,
Character Swap,baknofthewest.com,,?,,com,
Character Swap,bankfothewest.com,208.91.196.152,IN,INDIA,,com,
Character Swap,bankofhtewest.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,bankoftehwest.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,bankoftheewst.com,,?,,com,
Character Swap,bankofthewets.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,bankofthewset.com,199.191.50.73,,,com,
Character Swap,bankofthweest.com,,?,,com,
Character Swap,bankotfhewest.com,,?,,com,
Character Swap,banokfthewest.com,,?,,com,
Character Swap,bnakofthewest.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,babkofthewest.com,72.52.4.122,PH,PHILIPPINES,localhost,com,
Character Replacement,bamkofthewest.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,banjofthewest.com,104.202.158.233,,,com,
Character Replacement,bankifthewest.com,103.224.212.243,,mx92.mb5p.com,com,
Character Replacement,bankodthewest.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,bankofrhewest.com,72.52.4.122,CN,CHINA,localhost,com,
Character Replacement,bankoftgewest.com,208.73.210.202,US,UNITED STATES,,com,
Character Replacement,bankoftheeest.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,bankoftheqest.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,bankoftheweat.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,bankofthewedt.com,103.224.182.252,,mx92.m1bp.com,com,
Character Replacement,bankofthewesr.com,103.224.182.252,,mx92.mb5p.com,com,
Character Replacement,bankofthewesy.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,bankofthewrst.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,bankofthewwst.com,185.53.178.9,,mail.h-email.net,com,
Character Replacement,bankofthrwest.com,37.48.65.136,NL,NETHERLANDS,,com,
Character Replacement,bankofthwwest.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Character Replacement,bankoftjewest.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,bankofyhewest.com,199.191.50.73,,,com,
Character Replacement,bankogthewest.com,103.224.182.214,,mx92.mb5p.com,com,
Character Replacement,bankpfthewest.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,banlofthewest.com,199.191.50.73,,,com,
Character Replacement,bsnkofthewest.com,103.224.182.214,,mx92.m1bp.com,com,
Character Replacement,nankofthewest.com,,?,,com,
Character Replacement,vankofthewest.com,74.206.232.234,US,UNITED STATES,,com,
Character Insertion,banbkofthewest.com,,?,,com,
Character Insertion,bankjofthewest.com,,?,,com,
Character Insertion,banklofthewest.com,,?,,com,
