Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,banesandnoble.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,baresandnoble.com,103.224.182.252,,park-mx.above.com,com,
Character Omission,barneandnoble.com,65.204.48.118,US,UNITED STATES,,com,
Character Omission,barnesadnoble.com,103.224.182.252,,park-mx.above.com,com,
Character Omission,barnesandnble.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,barnesandnobe.com,103.224.182.252,,mx92.m1bp.com,com,
Character Omission,barnesandnobl.com,65.204.48.118,Aÿ,,,com,
Character Omission,barnesandnoble.cm,85.25.199.30,DE,GERMANY,mx1.emailparking.com,cm,
Character Omission,barnesandnole.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,barnesandoble.com,208.91.196.94,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,barnesannoble.com,144.76.1.130,PH,PHILIPPINES,,com,
Character Omission,barnesndnoble.com,161.221.74.213,US,UNITED STATES,,com,
Character Omission,barnsandnoble.com,161.221.74.213,US,UNITED STATES,,com,
Character Omission,brnesandnoble.com,103.224.182.252,,mx92.mb5p.com,com,
Character Repeat,baarnesandnoble.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,barneesandnoble.com,103.224.182.252,,mx92.mb5p.com,com,
Character Repeat,barnesaandnoble.com,98.124.245.24,ID,INDONESIA,mail.b-io.co,com,
Character Repeat,barnesanddnoble.com,46.166.189.98,GB,UNITED KINGDOM,,com,
Character Repeat,barnesandnnoble.com,103.224.182.252,,mx92.m1bp.com,com,
Character Repeat,barnesandnobble.com,103.224.182.252,,park-mx.above.com,com,
Character Repeat,barnesandnoblee.com,103.224.182.252,,park-mx.above.com,com,
Character Repeat,barnesandnoblle.com,103.224.182.252,,park-mx.above.com,com,
Character Repeat,barnesandnooble.com,103.224.182.252,,park-mx.above.com,com,
Character Repeat,barnesanndnoble.com,103.224.182.252,,mx92.m1bp.com,com,
Character Repeat,barnessandnoble.com,103.224.182.252,,mx92.m1bp.com,com,
Character Repeat,barnnesandnoble.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,barrnesandnoble.com,69.64.147.243,CA,CANADA,,com,
Character Repeat,bbarnesandnoble.com,46.166.189.98,GB,UNITED KINGDOM,,com,
Character Swap,abrnesandnoble.com,52.86.163.26,¡å,,,com,
Character Swap,banresandnoble.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Swap,barensandnoble.com,103.224.182.252,,mx92.m1bp.com,com,
Character Swap,barneasndnoble.com,52.86.163.26,US,UNITED STATES,,com,
Character Swap,barnesadnnoble.com,,?,,com,
Character Swap,barnesandnbole.com,103.224.182.252,,mx92.m1bp.com,com,
Character Swap,barnesandnobel.com,65.204.48.118,US,UNITED STATES,,com,
