Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,baketball-reference.com,,?,,com,
Character Omission,basetball-reference.com,,?,,com,
Character Omission,baskeball-reference.com,,?,,com,
Character Omission,basketall-reference.com,,?,,com,
Character Omission,basketbal-reference.com,67.55.121.97,US,UNITED STATES,,com,
Character Omission,basketball-eference.com,,?,,com,
Character Omission,basketball-reerence.com,,?,,com,
Character Omission,basketball-refeence.com,,?,,com,
Character Omission,basketball-referece.com,,?,,com,
Character Omission,basketball-referenc.com,,?,,com,
Character Omission,basketball-reference.cm,,?,,cm,
Character Omission,basketball-referene.com,,?,,com,
Character Omission,basketball-refernce.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,basketball-refrence.com,,?,,com,
Character Omission,basketball-rference.com,,?,,com,
Character Omission,basketballreference.com,66.35.36.85,US,UNITED STATES,,com,
Character Omission,basketbll-reference.com,,?,,com,
Character Omission,basktball-reference.com,,?,,com,
Character Omission,bsketball-reference.com,,?,,com,
Character Repeat,baasketball-reference.com,,?,,com,
Character Repeat,baskeetball-reference.com,,?,,com,
Character Repeat,basketbaall-reference.com,,?,,com,
Character Repeat,basketball--reference.com,,?,,com,
Character Repeat,basketball-reeference.com,,?,,com,
Character Repeat,basketball-refeerence.com,,?,,com,
Character Repeat,basketball-refereence.com,,?,,com,
Character Repeat,basketball-referencce.com,,?,,com,
Character Repeat,basketball-referencee.com,,?,,com,
Character Repeat,basketball-referennce.com,,?,,com,
Character Repeat,basketball-referrence.com,,?,,com,
Character Repeat,basketball-refference.com,,?,,com,
Character Repeat,basketball-rreference.com,,?,,com,
Character Repeat,basketballl-reference.com,,?,,com,
Character Repeat,basketbball-reference.com,,?,,com,
Character Repeat,baskettball-reference.com,,?,,com,
Character Repeat,baskketball-reference.com,,?,,com,
Character Repeat,bassketball-reference.com,,?,,com,
Character Repeat,bbasketball-reference.com,,?,,com,
Character Swap,absketball-reference.com,,?,,com,
Character Swap,baksetball-reference.com,,?,,com,
Character Swap,basektball-reference.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,baskebtall-reference.com,,?,,com,
Character Swap,basketabll-reference.com,,?,,com,
Character Swap,basketbal-lreference.com,,?,,com,
Character Swap,basketball-erference.com,,?,,com,
Character Swap,basketball-reefrence.com,,?,,com,
Character Swap,basketball-refeernce.com,,?,,com,
Character Swap,basketball-referecne.com,,?,,com,
Character Swap,basketball-referenec.com,,?,,com,
Character Swap,basketball-refernece.com,,?,,com,
Character Swap,basketball-refreence.com,,?,,com,
Character Swap,basketball-rfeerence.com,,?,,com,
Character Swap,basketballr-eference.com,,?,,com,
Character Swap,basketblal-reference.com,,?,,com,
Character Swap,baskteball-reference.com,,?,,com,
Character Swap,bsaketball-reference.com,,?,,com,
Character Replacement,baaketball-reference.com,,?,,com,
Character Replacement,badketball-reference.com,,?,,com,
Character Replacement,basjetball-reference.com,,?,,com,
Character Replacement,baskerball-reference.com,,?,,com,
Character Replacement,basketbakl-reference.com,,?,,com,
Character Replacement,basketbalk-reference.com,,?,,com,
Character Replacement,basketball-eeference.com,,?,,com,
Character Replacement,basketball-rederence.com,,?,,com,
Character Replacement,basketball-refeeence.com,,?,,com,
Character Replacement,basketball-referebce.com,,?,,com,
Character Replacement,basketball-referemce.com,,?,,com,
Character Replacement,basketball-referencr.com,,?,,com,
Character Replacement,basketball-referencw.com,,?,,com,
Character Replacement,basketball-referenve.com,,?,,com,
Character Replacement,basketball-referenxe.com,,?,,com,
Character Replacement,basketball-referrnce.com,,?,,com,
Character Replacement,basketball-referwnce.com,,?,,com,
Character Replacement,basketball-refetence.com,,?,,com,
Character Replacement,basketball-refrrence.com,,?,,com,
Character Replacement,basketball-refwrence.com,,?,,com,
Character Replacement,basketball-regerence.com,,?,,com,
Character Replacement,basketball-rrference.com,,?,,com,
Character Replacement,basketball-rwference.com,,?,,com,
Character Replacement,basketball-teference.com,,?,,com,
Character Replacement,basketball0reference.com,,?,,com,
Character Replacement,basketbsll-reference.com,,?,,com,
Character Replacement,basketnall-reference.com,,?,,com,
Character Replacement,basketvall-reference.com,,?,,com,
Character Replacement,baskeyball-reference.com,,?,,com,
Character Replacement,baskrtball-reference.com,,?,,com,
Character Replacement,baskwtball-reference.com,,?,,com,
Character Replacement,basletball-reference.com,,?,,com,
Character Replacement,bssketball-reference.com,,?,,com,
Character Replacement,nasketball-reference.com,,?,,com,
Character Replacement,vasketball-reference.com,,?,,com,
Double Character Replacement,basketbakk-reference.com,,?,,com,
Character Insertion,basaketball-reference.com,,?,,com,
Character Insertion,basdketball-reference.com,,?,,com,
Character Insertion,baskertball-reference.com,,?,,com,
Character Insertion,basketbalkl-reference.com,,?,,com,
Character Insertion,basketball-0reference.com,,?,,com,
Character Insertion,basketball-refderence.com,,?,,com,
Character Insertion,basketball-referenbce.com,,?,,com,
Character Insertion,basketball-referencer.com,,?,,com,
Character Insertion,basketball-referencew.com,,?,,com,
Character Insertion,basketball-referencve.com,,?,,com,
Character Insertion,basketball-referencxe.com,,?,,com,
Character Insertion,basketball-referenmce.com,,?,,com,
Character Insertion,basketball-referernce.com,,?,,com,
Character Insertion,basketball-referewnce.com,,?,,com,
Character Insertion,basketball-refertence.com,,?,,com,
Character Insertion,basketball-refewrence.com,,?,,com,
Character Insertion,basketball-refgerence.com,,?,,com,
Character Insertion,basketball-rerference.com,,?,,com,
Character Insertion,basketball-rewference.com,,?,,com,
Character Insertion,basketball-rteference.com,,?,,com,
Character Insertion,basketballk-reference.com,,?,,com,
Character Insertion,basketbasll-reference.com,,?,,com,
Character Insertion,basketbnall-reference.com,,?,,com,
Character Insertion,basketbvall-reference.com,,?,,com,
Character Insertion,basketrball-reference.com,,?,,com,
Character Insertion,basketyball-reference.com,,?,,com,
Character Insertion,baskewtball-reference.com,,?,,com,
Character Insertion,baskjetball-reference.com,,?,,com,
Character Insertion,baskletball-reference.com,,?,,com,
Character Insertion,bnasketball-reference.com,,?,,com,
Character Insertion,bvasketball-reference.com,,?,,com,
Missing Dot,basketball-referencecom.com,,?,,com,
Missing Dot,wwwbasketball-reference.com,,?,,com,
Singular or Pluralise,basketball-references.com,,?,,com,
Vowel Swap,baskatball-rafaranca.com,,?,,com,
Vowel Swap,baskitball-rifirinci.com,,?,,com,
Vowel Swap,baskotball-roforonco.com,,?,,com,
Vowel Swap,baskutball-rufuruncu.com,,?,,com,
Vowel Swap,besketbell-reference.com,,?,,com,
Vowel Swap,bisketbill-reference.com,,?,,com,
Vowel Swap,bosketboll-reference.com,,?,,com,
Vowel Swap,busketbull-reference.com,,?,,com,
Homophones,basketball-refairnce.com,,?,,com,
Homophones,basketball-refheirnce.com,,?,,com,
Homophones,basketbawl-reference.com,,?,,com,
Bit Flipping,ba3ketball-reference.com,,?,,com,
Bit Flipping,backetball-reference.com,,?,,com,
Bit Flipping,baqketball-reference.com,,?,,com,
Bit Flipping,barketball-reference.com,,?,,com,
Bit Flipping,bascetball-reference.com,,?,,com,
Bit Flipping,basietball-reference.com,,?,,com,
Bit Flipping,baskatball-reference.com,,?,,com,
Bit Flipping,baskdtball-reference.com,,?,,com,
Bit Flipping,baske4ball-reference.com,,?,,com,
Bit Flipping,baskedball-reference.com,,?,,com,
Bit Flipping,baskepball-reference.com,,?,,com,
Bit Flipping,basketbadl-reference.com,,?,,com,
Bit Flipping,basketbahl-reference.com,,?,,com,
