Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bamericas.com,209.200.232.189,US,UNITED STATES,bamericas.com,com,
Character Omission,bbaericas.com,,?,,com,
Character Omission,bbameicas.com,,?,,com,
Character Omission,bbamercas.com,,?,,com,
Character Omission,bbamerias.com,,?,,com,
Character Omission,bbamerica.com,50.63.202.62,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,bbamericas.cm,,?,,cm,
Character Omission,bbamerics.com,,?,,com,
Character Omission,bbamricas.com,,?,,com,
Character Omission,bbmericas.com,,?,,com,
Character Repeat,bbaamericas.com,,?,,com,
Character Repeat,bbameericas.com,,?,,com,
Character Repeat,bbamericaas.com,,?,,com,
Character Repeat,bbamericass.com,,?,,com,
Character Repeat,bbamericcas.com,,?,,com,
Character Repeat,bbameriicas.com,,?,,com,
Character Repeat,bbamerricas.com,,?,,com,
Character Repeat,bbammericas.com,,?,,com,
Character Repeat,bbbamericas.com,,?,,com,
Character Swap,babmericas.com,,?,,com,
Character Swap,bbaemricas.com,,?,,com,
Character Swap,bbameircas.com,,?,,com,
Character Swap,bbamercias.com,,?,,com,
Character Swap,bbameriacs.com,,?,,com,
Character Swap,bbamericsa.com,,?,,com,
Character Swap,bbamreicas.com,,?,,com,
Character Swap,bbmaericas.com,,?,,com,
Character Replacement,bbameeicas.com,,?,,com,
Character Replacement,bbamericaa.com,,?,,com,
Character Replacement,bbamericad.com,,?,,com,
Character Replacement,bbamericss.com,,?,,com,
Character Replacement,bbamerivas.com,,?,,com,
Character Replacement,bbamerixas.com,,?,,com,
Character Replacement,bbamerocas.com,,?,,com,
Character Replacement,bbamerucas.com,,?,,com,
Character Replacement,bbameticas.com,,?,,com,
Character Replacement,bbamrricas.com,,?,,com,
Character Replacement,bbamwricas.com,,?,,com,
Character Replacement,bbanericas.com,,?,,com,
Character Replacement,bbsmericas.com,,?,,com,
Character Replacement,bnamericas.com,200.6.121.109,EÄ,,bnamericas-com.mail.protection.outlook.com,com,
Character Replacement,bvamericas.com,,?,,com,
