Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bb.org,103.224.182.249,,mx92.mb5p.com,org,
Character Repeat,bbbb.org,91.195.240.135,DE,GERMANY,,org,
Character Replacement,bbn.org,,?,,org,
Character Replacement,bbv.org,45.79.170.213,,,org,
Character Replacement,bnb.org,69.172.201.153,US,UNITED STATES,,org,
Character Replacement,bvb.org,185.53.178.9,,mail.h-email.net,org,
Character Replacement,nbb.org,64.111.45.78,US,UNITED STATES,mail.nbb.org,org,
Character Replacement,vbb.org,98.124.199.43,US,UNITED STATES,,org,
Double Character Replacement,bnn.org,104.236.254.234,,,org,
Double Character Replacement,bvv.org,208.73.211.70,US,UNITED STATES,,org,
Double Character Replacement,nnb.org,72.52.4.122,US,UNITED STATES,localhost,org,
Double Character Replacement,vvb.org,185.70.72.152,,aspmx.l.google.com,org,
Character Insertion,bbbn.org,72.52.4.122,US,UNITED STATES,localhost,org,
Character Insertion,bbbv.org,72.52.4.122,US,UNITED STATES,localhost,org,
Character Insertion,bbnb.org,66.96.147.120,US,UNITED STATES,alt1.aspmx.l.google.com,org,
Character Insertion,bbvb.org,54.164.23.135,US,UNITED STATES,,org,
Character Insertion,bnbb.org,37.58.107.93,NL,NETHERLANDS,mail.efty.com,org,
Character Insertion,bvbb.org,87.118.70.59,DE,GERMANY,mail.bvbb.org,org,
Missing Dot,bbborg.com,141.8.224.169,CH,SWITZERLAND,,com,
Missing Dot,wwwbbb.org,95.211.219.66,NL,NETHERLANDS,,org,
Singular or Pluralise,bbbs.org,192.124.249.62,,bbbs-org.mail.protection.outlook.com,org,
Bit Flipping,bbc.org,69.172.199.121,US,UNITED STATES,bbc.org,org,
Bit Flipping,bbf.org,87.106.247.203,DE,GERMANY,mx01.1and1.co.uk,org,
Bit Flipping,bbj.org,198.71.233.23,,smtp.secureserver.net,org,
Bit Flipping,bbr.org,185.53.179.7,,mail.h-email.net,org,
Bit Flipping,bcb.org,178.62.246.193,US,UNITED STATES,,org,
Bit Flipping,bfb.org,50.63.202.26,US,UNITED STATES,,org,
Bit Flipping,bjb.org,63.232.34.10,US,UNITED STATES,smtp.secureserver.net,org,
Bit Flipping,brb.org,52.1.153.60,US,UNITED STATES,us-smtp-inbound-1.mimecast.com,org,
Bit Flipping,cbb.org,45.79.131.89,,smtp.secureserver.net,org,
Bit Flipping,fbb.org,69.46.28.43,US,UNITED STATES,mail2a.smtproutes.org,org,
Bit Flipping,jbb.org,205.178.189.131,US,UNITED STATES,mx1.netsolmail.net,org,
Bit Flipping,rbb.org,50.135.186.52,US,UNITED STATES,mail.rbb.org,org,
Wrong TLD,bbb.ca,66.212.164.12,CA,CANADA,bbb-ca.mail.protection.outlook.com,ca,
Wrong TLD,bbb.ch,148.251.143.184,DE,GERMANY,mail.bbb.ch,ch,
Wrong TLD,bbb.com,96.45.82.198,US,UNITED STATES,,com,
Wrong TLD,bbb.de,194.153.190.185,DE,GERMANY,,de,
Wrong TLD,bbb.edu,,?,,edu,
Wrong TLD,bbb.es,72.52.4.122,US,UNITED STATES,localhost,es,
Wrong TLD,bbb.fr,185.65.56.149,,mail.bbb.fr,fr,
Wrong TLD,bbb.it,72.52.4.122,US,UNITED STATES,localhost,it,
Wrong TLD,bbb.jp,49.212.141.67,JP,JAPAN,,jp,
Wrong TLD,bbb.net,,?,,net,
Wrong TLD,bbb.nl,82.150.137.184,NL,NETHERLANDS,mail.bbb.nl,nl,
Wrong TLD,bbb.no,194.63.248.97,NO,NORWAY,aspmx4.googlemail.com,no,
Wrong TLD,bbb.ru,,?,,ru,
Wrong TLD,bbb.se,35.157.154.161,US,UNITED STATES,aspmx.l.google.com,se,
Wrong TLD,bbb.us,184.173.29.162,RU,RUSSIAN FEDERATION,bbb.us,us,

