Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bb.co.uk,64.91.253.46,US,UNITED STATES,bb.co.uk,co.uk,
Character Omission,bc.co.uk,52.58.78.16,US,UNITED STATES,mail.mailer-host.com,co.uk,
Character Repeat,bbbc.co.uk,31.222.162.35,GB,UNITED KINGDOM,,co.uk,
Character Repeat,bbcc.co.uk,85.159.233.55,NL,NETHERLANDS,,co.uk,
Character Swap,bcb.co.uk,72.52.4.122,US,UNITED STATES,localhost,co.uk,
Character Replacement,bbv.co.uk,,?,,co.uk,
Character Replacement,bbx.co.uk,77.68.43.120,GB,UNITED KINGDOM,,co.uk,
Character Replacement,bnc.co.uk,87.106.142.81,DE,GERMANY,,co.uk,
Character Replacement,bvc.co.uk,81.94.194.90,GB,UNITED KINGDOM,mx1-eu1.ppe-hosted.com,co.uk,
Character Replacement,nbc.co.uk,194.168.31.112,GB,UNITED KINGDOM,mx1.fut.net,co.uk,
Character Replacement,vbc.co.uk,52.174.181.178,US,UNITED STATES,vbc-co-uk.mail.protection.outlook.com,co.uk,
Double Character Replacement,nnc.co.uk,217.19.248.132,GB,UNITED KINGDOM,,co.uk,
Double Character Replacement,vvc.co.uk,217.160.231.165,DE,GERMANY,mx01.1and1.co.uk,co.uk,
Character Insertion,bbcv.co.uk,139.59.181.152,AU,AUSTRALIA,,co.uk,
Character Insertion,bbcx.co.uk,185.53.179.6,,mail.h-email.net,co.uk,
Character Insertion,bbnc.co.uk,23.236.62.147,,bbnc-co-uk.mail.protection.outlook.com,co.uk,
Character Insertion,bbvc.co.uk,79.170.44.127,PL,POLAND,mail.bbvc.co.uk,co.uk,
Character Insertion,bnbc.co.uk,23.253.58.227,,,co.uk,
Character Insertion,bvbc.co.uk,141.8.224.169,PT,PORTUGAL,,co.uk,
Missing Dot,wwwbbc.co.uk,72.52.4.120,US,UNITED STATES,localhost,co.uk,
Singular or Pluralise,bbcs.co.uk,217.160.233.242,DE,GERMANY,eu-smtp-inbound-2.mimecast.com,co.uk,
Bit Flipping,bba.co.uk,88.208.252.159,GB,UNITED KINGDOM,mailserver.bba.co.uk,co.uk,
Bit Flipping,bbb.co.uk,52.58.78.16,US,UNITED STATES,mail.mailer-host.com,co.uk,
Bit Flipping,bbc.co.tk,,?,,tk,
Bit Flipping,bbg.co.uk,165.160.15.20,US,UNITED STATES,mxb-0012cb01.gslb.pphosted.com,co.uk,
Bit Flipping,bbk.co.uk,,?,,co.uk,
Bit Flipping,bbs.co.uk,217.174.253.4,GB,UNITED KINGDOM,bbs-co-uk.mail.protection.outlook.com,co.uk,
Bit Flipping,bcc.co.uk,72.52.4.122,US,UNITED STATES,localhost,co.uk,
Bit Flipping,bfc.co.uk,,?,,co.uk,
Bit Flipping,bjc.co.uk,5.134.11.49,GB,UNITED KINGDOM,mailserver.bjc.co.uk,co.uk,
Bit Flipping,brc.co.uk,,?,mx2.onyx.net,co.uk,
Bit Flipping,cbc.co.uk,91.194.94.82,DK,DENMARK,,co.uk,
Bit Flipping,fbc.co.uk,195.8.66.1,GB,UNITED KINGDOM,mx-vh.clara.net,co.uk,
Bit Flipping,jbc.co.uk,,?,cluster4a.eu.messagelabs.com,co.uk,
Bit Flipping,rbc.co.uk,46.17.91.61,GB,UNITED KINGDOM,av.cwcs.co.uk,co.uk,
Wrong TLD,bbc.ca,54.236.162.93,US,UNITED STATES,loopback.domainsatcost.ca,ca,
Wrong TLD,bbc.ch,217.26.50.81,FI,FINLAND,mx.bbc.ch,ch,
Wrong TLD,bbc.com,212.58.244.22,GB,UNITED KINGDOM,cluster8.eu.messagelabs.com,com,
Wrong TLD,bbc.de,212.58.246.226,GB,UNITED KINGDOM,cluster1a.eu.messagelabs.com,de,
Wrong TLD,bbc.edu,,?,,edu,
Wrong TLD,bbc.es,72.52.4.122,US,UNITED STATES,localhost,es,
Wrong TLD,bbc.fr,212.58.246.226,GB,UNITED KINGDOM,,fr,
Wrong TLD,bbc.it,46.226.108.145,FR,FRANCE,msf1.websolute.biz,it,
Wrong TLD,bbc.jp,212.58.246.226,GB,UNITED KINGDOM,,jp,
Wrong TLD,bbc.net,23.29.80.56,US,UNITED STATES,smtp3.bbc.net,net,
Wrong TLD,bbc.nl,212.83.215.136,NL,NETHERLANDS,bsmtp.o-ict.nl,nl,
Wrong TLD,bbc.no,195.189.255.77,NO,NORWAY,bbc-no.mail.protection.outlook.com,no,
Wrong TLD,bbc.org,69.172.199.121,US,UNITED STATES,bbc.org,org,
Wrong TLD,bbc.ru,92.53.96.121,RU,RUSSIAN FEDERATION,mx01.grandbaikal.ru,ru,
Wrong TLD,bbc.se,82.99.18.5,SE,SWEDEN,mx3-1.ilait.se,se,
Wrong TLD,bbc.us,212.58.244.129,GB,UNITED KINGDOM,cluster1a.eu.messagelabs.com,us,
Wrong SLD,bbc.ac.uk,109.74.204.9,GB,UNITED KINGDOM,engine02-20135-2.icritical.com,ac.uk,
Wrong SLD,bbc.bl.uk,,?,,bl.uk,
Wrong SLD,bbc.british-library.uk,,?,,british-library.uk,
Wrong SLD,bbc.gov.uk,,?,,gov.uk,
Wrong SLD,bbc.icnet.uk,,?,,icnet.uk,
Wrong SLD,bbc.jet.uk,,?,,jet.uk,
Wrong SLD,bbc.ltd.uk,,?,,ltd.uk,
Wrong SLD,bbc.me.uk,109.68.33.18,GB,UNITED KINGDOM,mx.emailconfig.com,me.uk,
Wrong SLD,bbc.mod.uk,,?,,mod.uk,
Wrong SLD,bbc.net.uk,,?,,net.uk,
Wrong SLD,bbc.nhs.uk,,?,mail.nhs.uk,nhs.uk,
Wrong SLD,bbc.nic.uk,,?,,nic.uk,
Wrong SLD,bbc.nls.uk,,?,,nls.uk,
Wrong SLD,bbc.org.uk,212.58.246.226,GB,UNITED KINGDOM,cluster1.eu.messagelabs.com,org.uk,
Wrong SLD,bbc.parliament.uk,,?,,parliament.uk,
Wrong SLD,bbc.plc.uk,,?,,plc.uk,
Wrong SLD,bbc.police.uk,,?,,police.uk,
Wrong SLD,bbc.sch.uk,,?,,sch.uk,

