Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bedigo.vic.gov.au,,?,,gov.au,
Character Omission,bendgo.vic.gov.au,,?,,gov.au,
Character Omission,bendig.vic.gov.au,,?,,gov.au,
Character Omission,bendigo.ic.gov.au,,?,,gov.au,
Character Omission,bendigo.vc.gov.au,,?,,gov.au,
Character Omission,bendigo.vi.gov.au,,?,,gov.au,
Character Omission,bendigovic.gov.au,,?,,gov.au,
Character Omission,bendio.vic.gov.au,,?,,gov.au,
Character Omission,benigo.vic.gov.au,,?,,gov.au,
Character Omission,bndigo.vic.gov.au,,?,,gov.au,
Character Repeat,bbendigo.vic.gov.au,,?,,gov.au,
Character Repeat,beendigo.vic.gov.au,,?,,gov.au,
Character Repeat,benddigo.vic.gov.au,,?,,gov.au,
Character Repeat,bendiggo.vic.gov.au,,?,,gov.au,
Character Repeat,bendigo.vicc.gov.au,,?,,gov.au,
Character Repeat,bendigo.viic.gov.au,,?,,gov.au,
Character Repeat,bendigo.vvic.gov.au,,?,,gov.au,
Character Repeat,bendigoo.vic.gov.au,,?,,gov.au,
Character Repeat,bendiigo.vic.gov.au,,?,,gov.au,
Character Repeat,benndigo.vic.gov.au,,?,,gov.au,
Character Swap,bednigo.vic.gov.au,,?,,gov.au,
Character Swap,bendgio.vic.gov.au,,?,,gov.au,
Character Swap,bendig.ovic.gov.au,,?,,gov.au,
Character Swap,bendigo.ivc.gov.au,,?,,gov.au,
Character Swap,bendigo.vci.gov.au,,?,,gov.au,
Character Swap,bendigo.vic.gov.ua,,?,,gov.ua,
Character Swap,bendigov.ic.gov.au,,?,,gov.au,
Character Swap,bendiog.vic.gov.au,,?,,gov.au,
Character Swap,benidgo.vic.gov.au,,?,,gov.au,
Character Swap,bnedigo.vic.gov.au,,?,,gov.au,
Character Swap,ebndigo.vic.gov.au,,?,,gov.au,
Character Replacement,bebdigo.vic.gov.au,,?,,gov.au,
Character Replacement,bemdigo.vic.gov.au,,?,,gov.au,
Character Replacement,bendifo.vic.gov.au,,?,,gov.au,
Character Replacement,bendigi.vic.gov.au,,?,,gov.au,
Character Replacement,bendigo.bic.gov.au,,?,,gov.au,
Character Replacement,bendigo.cic.gov.au,,?,,gov.au,
Character Replacement,bendigo.vic.gov.ai,,?,,ai,
Character Replacement,bendigo.vic.gov.su,,?,,su,
Character Replacement,bendigo.viv.gov.au,,?,,gov.au,
Character Replacement,bendigo.vix.gov.au,,?,,gov.au,
Character Replacement,bendigo.voc.gov.au,,?,,gov.au,
Character Replacement,bendigo.vuc.gov.au,,?,,gov.au,
Character Replacement,bendigp.vic.gov.au,,?,,gov.au,
Character Replacement,bendiho.vic.gov.au,,?,,gov.au,
Character Replacement,bendogo.vic.gov.au,,?,,gov.au,
Character Replacement,bendugo.vic.gov.au,,?,,gov.au,
Character Replacement,benfigo.vic.gov.au,,?,,gov.au,
Character Replacement,bensigo.vic.gov.au,,?,,gov.au,
Character Replacement,brndigo.vic.gov.au,,?,,gov.au,
Character Replacement,bwndigo.vic.gov.au,,?,,gov.au,
Character Replacement,nendigo.vic.gov.au,,?,,gov.au,
Character Replacement,vendigo.vic.gov.au,,?,,gov.au,
Character Insertion,benbdigo.vic.gov.au,,?,,gov.au,
Character Insertion,bendfigo.vic.gov.au,,?,,gov.au,
Character Insertion,bendigfo.vic.gov.au,,?,,gov.au,
Character Insertion,bendigho.vic.gov.au,,?,,gov.au,
Character Insertion,bendigo.vbic.gov.au,,?,,gov.au,
Character Insertion,bendigo.vcic.gov.au,,?,,gov.au,
Character Insertion,bendigo.vicv.gov.au,,?,,gov.au,
Character Insertion,bendigo.vicx.gov.au,,?,,gov.au,
Character Insertion,bendigo.vioc.gov.au,,?,,gov.au,
Character Insertion,bendigo.viuc.gov.au,,?,,gov.au,
Character Insertion,bendigoi.vic.gov.au,,?,,gov.au,
Character Insertion,bendigop.vic.gov.au,,?,,gov.au,
Character Insertion,bendiogo.vic.gov.au,,?,,gov.au,
Character Insertion,bendiugo.vic.gov.au,,?,,gov.au,
Character Insertion,bendsigo.vic.gov.au,,?,,gov.au,
Character Insertion,benmdigo.vic.gov.au,,?,,gov.au,
Character Insertion,berndigo.vic.gov.au,,?,,gov.au,
Character Insertion,bewndigo.vic.gov.au,,?,,gov.au,
Character Insertion,bnendigo.vic.gov.au,,?,,gov.au,
Character Insertion,bvendigo.vic.gov.au,,?,,gov.au,
Missing Dot,wwwbendigo.vic.gov.au,,?,,gov.au,
Singular or Pluralise,vic.gov.au,54.153.155.96,US,UNITED STATES,mxb-001fc401.gslb.pphosted.com,gov.au,
Singular or Pluralise,vics.gov.au,,?,,gov.au,
Vowel Swap,bandigo.vic.gov.au,,?,,gov.au,
Vowel Swap,bendago.vac.gov.au,,?,,gov.au,
Vowel Swap,bendego.vec.gov.au,,?,,gov.au,
Vowel Swap,bendigo.vic.gov.ae,,?,,ae,
Vowel Swap,bendigo.vic.gov.eu,,?,,eu,
Vowel Swap,bendogo.voc.gov.au,,?,,gov.au,
Vowel Swap,bendugo.vuc.gov.au,,?,,gov.au,
Vowel Swap,bindigo.vic.gov.au,,?,,gov.au,
Vowel Swap,bondigo.vic.gov.au,,?,,gov.au,
Vowel Swap,bundigo.vic.gov.au,,?,,gov.au,
Homophones,bendayego.vayec.gov.au,,?,,gov.au,
Homophones,bendeyego.veyec.gov.au,,?,,gov.au,
Bit Flipping,bdndigo.vic.gov.au,,?,,gov.au,
Bit Flipping,be.digo.vic.gov.au,,?,,gov.au,
Bit Flipping,befdigo.vic.gov.au,,?,,gov.au,
Bit Flipping,bejdigo.vic.gov.au,,?,,gov.au,
Bit Flipping,beldigo.vic.gov.au,,?,,gov.au,
Bit Flipping,bendago.vic.gov.au,,?,,gov.au,
Bit Flipping,bendhgo.vic.gov.au,,?,,gov.au,
Bit Flipping,bendico.vic.gov.au,,?,,gov.au,
Bit Flipping,bendieo.vic.gov.au,,?,,gov.au,
Bit Flipping,bendigg.vic.gov.au,,?,,gov.au,
Bit Flipping,bendigk.vic.gov.au,,?,,gov.au,
Bit Flipping,bendigm.vic.gov.au,,?,,gov.au,
Bit Flipping,bendign.vic.gov.au,,?,,gov.au,
Bit Flipping,bendigo.6ic.gov.au,,?,,gov.au,
Bit Flipping,bendigo.fic.gov.au,,?,,gov.au,
Bit Flipping,bendigo.ric.gov.au,,?,,gov.au,
Bit Flipping,bendigo.tic.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vac.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vhc.gov.au,,?,,gov.au,
Bit Flipping,bendigo.via.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vib.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vic.gov.aq,,?,,aq,
Bit Flipping,bendigo.vic.gov.at,,?,,at,
Bit Flipping,bendigo.vic.gov.aw,,?,,aw,
Bit Flipping,bendigo.vic.gov.cu,,?,,cu,
Bit Flipping,bendigo.vig.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vik.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vis.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vkc.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vmc.gov.au,,?,,gov.au,
Bit Flipping,bendigo.vyc.gov.au,,?,,gov.au,
Bit Flipping,bendigo.wic.gov.au,,?,,gov.au,
Bit Flipping,bendigonvic.gov.au,,?,,gov.au,
Bit Flipping,bendioo.vic.gov.au,,?,,gov.au,
Bit Flipping,bendiwo.vic.gov.au,,?,,gov.au,
Bit Flipping,bendkgo.vic.gov.au,,?,,gov.au,
Bit Flipping,bendmgo.vic.gov.au,,?,,gov.au,
Bit Flipping,bendygo.vic.gov.au,,?,,gov.au,
Bit Flipping,beneigo.vic.gov.au,,?,,gov.au,
Bit Flipping,benligo.vic.gov.au,,?,,gov.au,
Bit Flipping,bentigo.vic.gov.au,,?,,gov.au,
Bit Flipping,beodigo.vic.gov.au,,?,,gov.au,
Bit Flipping,bgndigo.vic.gov.au,,?,,gov.au,
Bit Flipping,bmndigo.vic.gov.au,,?,,gov.au,
Bit Flipping,cendigo.vic.gov.au,,?,,gov.au,
Bit Flipping,fendigo.vic.gov.au,,?,,gov.au,
Bit Flipping,jendigo.vic.gov.au,,?,,gov.au,
Bit Flipping,rendigo.vic.gov.au,,?,,gov.au,
Homoglyphs,bencligo.vic.gov.au,,?,,gov.au,
Homoglyphs,bendig0.vic.gov.au,,?,,gov.au,
Homoglyphs,bendigo.vlc.gov.au,,?,,gov.au,
Homoglyphs,bendlgo.vic.gov.au,,?,,gov.au,
