Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bdleon.com.do,,?,,com.do,
Character Omission,bhdeon.com.do,,?,,com.do,
Character Omission,bhdlen.com.do,,?,,com.do,
Character Omission,bhdleo.com.do,,?,,com.do,
Character Omission,bhdlon.com.do,,?,,com.do,
Character Omission,bhleon.com.do,,?,,com.do,
Character Repeat,bbhdleon.com.do,,?,,com.do,
Character Repeat,bhddleon.com.do,,?,,com.do,
Character Repeat,bhdleeon.com.do,,?,,com.do,
Character Repeat,bhdleonn.com.do,,?,,com.do,
Character Repeat,bhdleoon.com.do,,?,,com.do,
Character Repeat,bhdlleon.com.do,,?,,com.do,
Character Repeat,bhhdleon.com.do,,?,,com.do,
Character Swap,bdhleon.com.do,,?,,com.do,
Character Swap,bhdelon.com.do,,?,,com.do,
Character Swap,bhdleno.com.do,,?,,com.do,
Character Swap,bhdloen.com.do,,?,,com.do,
Character Swap,bhldeon.com.do,,?,,com.do,
Character Swap,hbdleon.com.do,,?,,com.do,
Character Replacement,bgdleon.com.do,,?,,com.do,
Character Replacement,bhdkeon.com.do,,?,,com.do,
Character Replacement,bhdlein.com.do,,?,,com.do,
Character Replacement,bhdleob.com.do,,?,,com.do,
Character Replacement,bhdleom.com.do,,?,,com.do,
Character Replacement,bhdleon.com.fo,,?,,fo,
Character Replacement,bhdlepn.com.do,,?,,com.do,
Character Replacement,bhdlron.com.do,,?,,com.do,
Character Replacement,bhdlwon.com.do,,?,,com.do,
Character Replacement,bhfleon.com.do,,?,,com.do,
Character Replacement,bhsleon.com.do,,?,,com.do,
Character Replacement,bjdleon.com.do,,?,,com.do,
Character Replacement,nhdleon.com.do,,?,,com.do,
Character Replacement,vhdleon.com.do,,?,,com.do,
Character Insertion,bhdfleon.com.do,,?,,com.do,
Character Insertion,bhdleoin.com.do,,?,,com.do,
Character Insertion,bhdleonb.com.do,,?,,com.do,
Character Insertion,bhdleonm.com.do,,?,,com.do,
Character Insertion,bhdleopn.com.do,,?,,com.do,
Character Insertion,bhdleron.com.do,,?,,com.do,
Character Insertion,bhdlewon.com.do,,?,,com.do,
Character Insertion,bhdlkeon.com.do,,?,,com.do,
Character Insertion,bhdsleon.com.do,,?,,com.do,
Character Insertion,bhgdleon.com.do,,?,,com.do,
Character Insertion,bhjdleon.com.do,,?,,com.do,
Character Insertion,bnhdleon.com.do,,?,,com.do,
Character Insertion,bvhdleon.com.do,,?,,com.do,
Missing Dot,wwwbhdleon.com.do,,?,,com.do,
Singular or Pluralise,bhdleons.com.do,,?,,com.do,
Vowel Swap,bhdlaon.com.do,,?,,com.do,
Vowel Swap,bhdleen.cem.de,212.223.26.234,DE,GERMANY,,de,
Vowel Swap,bhdlion.com.do,,?,,com.do,
Vowel Swap,bhdloon.com.do,,?,,com.do,
Vowel Swap,bhdluon.com.do,,?,,com.do,
Bit Flipping,bhddeon.com.do,,?,,com.do,
Bit Flipping,bhdheon.com.do,,?,,com.do,
Bit Flipping,bhdldon.com.do,,?,,com.do,
Bit Flipping,bhdlegn.com.do,,?,,com.do,
Bit Flipping,bhdlekn.com.do,,?,,com.do,
Bit Flipping,bhdlemn.com.do,,?,,com.do,
Bit Flipping,bhdlenn.com.do,,?,,com.do,
Bit Flipping,bhdleof.com.do,,?,,com.do,
Bit Flipping,bhdleoj.com.do,,?,,com.do,
Bit Flipping,bhdleol.com.do,,?,,com.do,
Bit Flipping,bhdleon.com.dk,,?,,dk,
Bit Flipping,bhdleon.com.dm,,?,,dm,
Bit Flipping,bhdleon.com.to,,?,,to,
Bit Flipping,bhdleoo.com.do,,?,,com.do,
Bit Flipping,bhdlgon.com.do,,?,,com.do,
Bit Flipping,bhdlmon.com.do,,?,,com.do,
Bit Flipping,bhdmeon.com.do,,?,,com.do,
Bit Flipping,bhdneon.com.do,,?,,com.do,
Bit Flipping,bheleon.com.do,,?,,com.do,
Bit Flipping,bhlleon.com.do,,?,,com.do,
Bit Flipping,bhtleon.com.do,,?,,com.do,
Bit Flipping,bidleon.com.do,,?,,com.do,
Bit Flipping,bldleon.com.do,,?,,com.do,
Bit Flipping,bxdleon.com.do,,?,,com.do,
Bit Flipping,chdleon.com.do,,?,,com.do,
Bit Flipping,fhdleon.com.do,,?,,com.do,
Bit Flipping,jhdleon.com.do,,?,,com.do,
Bit Flipping,rhdleon.com.do,,?,,com.do,
Homoglyphs,bhclleon.com.do,,?,,com.do,
Homoglyphs,bhd1eon.com.do,,?,,com.do,
Homoglyphs,bhdle0n.com.do,,?,,com.do,
Wrong TLD,bhdleon.ca,,?,,ca,
Wrong TLD,bhdleon.ch,,?,,ch,
Wrong TLD,bhdleon.com,,?,,com,
Wrong TLD,bhdleon.de,,?,,de,
Wrong TLD,bhdleon.edu,,?,,edu,
Wrong TLD,bhdleon.es,,?,,es,
Wrong TLD,bhdleon.fr,,?,,fr,
Wrong TLD,bhdleon.it,,?,,it,
Wrong TLD,bhdleon.jp,,?,,jp,
Wrong TLD,bhdleon.net,,?,,net,
Wrong TLD,bhdleon.nl,,?,,nl,
Wrong TLD,bhdleon.no,,?,,no,
Wrong TLD,bhdleon.org,,?,,org,
Wrong TLD,bhdleon.ru,,?,,ru,
Wrong TLD,bhdleon.se,,?,,se,
Wrong TLD,bhdleon.us,,?,,us,
Wrong SLD,bhdleon.art.do,,?,,art.do,
Wrong SLD,bhdleon.edu.do,,?,,edu.do,
Wrong SLD,bhdleon.gob.do,,?,,gob.do,
Wrong SLD,bhdleon.mil.do,,?,,mil.do,
Wrong SLD,bhdleon.net.do,,?,,net.do,
Wrong SLD,bhdleon.org.do,,?,,org.do,
Wrong SLD,bhdleon.sld.do,,?,,sld.do,
Wrong SLD,bhdleon.web.do,,?,,web.do,

