Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bhhotovideo.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Omission,bhphoovideo.com,,?,,com,
Character Omission,bhphotoideo.com,185.53.179.8,,mail.h-email.net,com,
Character Omission,bhphotovdeo.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Omission,bhphotovide.com,199.191.50.73,,,com,
Character Omission,bhphotovideo.cm,199.59.242.150,CN,CHINA,mx76.m2bp.com,cm,
Character Omission,bhphotovido.com,185.53.178.8,,mail.h-email.net,com,
Character Omission,bhphotovieo.com,199.59.242.150,AR,ARGENTINA,mx76.m2bp.com,com,
Character Omission,bhphotvideo.com,74.113.188.100,US,UNITED STATES,,com,
Character Omission,bhphtovideo.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,bhpotovideo.com,103.224.182.246,,mx92.mb5p.com,com,
Character Omission,bphotovideo.com,185.53.178.7,,mail.h-email.net,com,
Character Repeat,bbhphotovideo.com,199.59.242.150,IN,INDIA,mx76.m2bp.com,com,
Character Repeat,bhhphotovideo.com,,?,,com,
Character Repeat,bhphhotovideo.com,,?,,com,
Character Repeat,bhphootovideo.com,,?,,com,
Character Repeat,bhphotoovideo.com,,?,,com,
Character Repeat,bhphotoviddeo.com,,?,,com,
Character Repeat,bhphotovideeo.com,,?,,com,
Character Repeat,bhphotovideoo.com,184.168.221.96,US,UNITED STATES,0,com,
Character Repeat,bhphotoviideo.com,,?,,com,
Character Repeat,bhphotovvideo.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Repeat,bhphottovideo.com,,?,,com,
Character Repeat,bhpphotovideo.com,146.148.34.125,RO,ROMANIA,mail.hope-mail.com,com,
Character Swap,bhhpotovideo.com,,?,,com,
Character Swap,bhphootvideo.com,,?,,com,
Character Swap,bhphotoivdeo.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Swap,bhphotovdieo.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Swap,bhphotovidoe.com,67.55.92.187,g,,mx7.bhphotovidoe.com,com,
Character Swap,bhphotoviedo.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,bhphotvoideo.com,,?,,com,
Character Swap,bhphtoovideo.com,165.160.13.20,CO,COLOMBIA,custmx.cscdns.net,com,
Character Swap,bhpohtovideo.com,,?,,com,
Character Swap,bphhotovideo.com,,?,,com,
Character Swap,hbphotovideo.com,85.17.25.242,NL,NETHERLANDS,,com,
Character Replacement,bgphotovideo.com,,?,,com,
Character Replacement,bhohotovideo.com,103.224.212.253,,mx92.m1bp.com,com,
Character Replacement,bhpgotovideo.com,,?,,com,
Character Replacement,bhphitovideo.com,,?,,com,
Character Replacement,bhphorovideo.com,,?,,com,
Character Replacement,bhphotivideo.com,,?,,com,
Character Replacement,bhphotobideo.com,165.160.13.20,ID,INDONESIA,custmx.cscdns.net,com,
Character Replacement,bhphotocideo.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,bhphotovidei.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,bhphotovidep.com,,?,,com,
Character Replacement,bhphotovidro.com,,?,,com,
Character Replacement,bhphotovidwo.com,,?,,com,
Character Replacement,bhphotovifeo.com,,?,,com,
Character Replacement,bhphotoviseo.com,,?,,com,
Character Replacement,bhphotovodeo.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Replacement,bhphotovudeo.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,bhphotpvideo.com,,?,,com,
Character Replacement,bhphoyovideo.com,,?,,com,
Character Replacement,bhphptovideo.com,,?,,com,
Character Replacement,bhpjotovideo.com,,?,,com,
Character Replacement,bjphotovideo.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,nhphotovideo.com,,?,,com,
Character Replacement,vhphotovideo.com,199.191.50.73,,,com,
Character Insertion,bhgphotovideo.com,,?,,com,
Character Insertion,bhjphotovideo.com,,?,,com,
Character Insertion,bhphgotovideo.com,,?,,com,
Character Insertion,bhphjotovideo.com,,?,,com,
Character Insertion,bhphoitovideo.com,,?,,com,
Character Insertion,bhphoptovideo.com,165.160.13.20,RU,RUSSIAN FEDERATION,custmx.cscdns.net,com,
Character Insertion,bhphotoivideo.com,,?,,com,
Character Insertion,bhphotopvideo.com,,?,,com,
Character Insertion,bhphotovbideo.com,,?,,com,
Character Insertion,bhphotovcideo.com,,?,,com,
Character Insertion,bhphotovideoi.com,,?,,com,
Character Insertion,bhphotovideop.com,,?,,com,
Character Insertion,bhphotovidero.com,,?,,com,
Character Insertion,bhphotovidewo.com,,?,,com,
Character Insertion,bhphotovidfeo.com,,?,,com,
Character Insertion,bhphotovidseo.com,,?,,com,
Character Insertion,bhphotoviodeo.com,,?,,com,
Character Insertion,bhphotoviudeo.com,,?,,com,
Character Insertion,bhphotrovideo.com,,?,,com,
Character Insertion,bhphotyovideo.com,,?,,com,
Character Insertion,bhpohotovideo.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Insertion,bnhphotovideo.com,209.126.123.11,US,UNITED STATES,,com,
Character Insertion,bvhphotovideo.com,,?,,com,
Missing Dot,bhphotovideocom.com,,?,,com,
Missing Dot,wwwbhphotovideo.com,74.113.188.100,US,UNITED STATES,,com,
Singular or Pluralise,bhphotovideos.com,199.59.242.150,US,UNITED STATES,mx76.mb1p.com,com,
Vowel Swap,bhphotovadeo.com,,?,,com,
Vowel Swap,bhphotovedeo.com,,?,,com,
Vowel Swap,bhphotovidao.com,,?,,com,
Vowel Swap,bhphotovidio.com,103.224.182.246,,mx92.mb5p.com,com,
Vowel Swap,bhphotovidoo.com,,?,,com,
Vowel Swap,bhphotoviduo.com,,?,,com,
Homophones,bhphoetovideo.com,,?,,com,
Homophones,bhphotovayedeo.com,,?,,com,
Homophones,bhphotoveyedeo.com,,?,,com,
Homophones,bhphotwovideo.com,,?,,com,
Bit Flipping,bh0hotovideo.com,,?,,com,
Bit Flipping,bhphgtovideo.com,,?,,com,
Bit Flipping,bhphktovideo.com,,?,,com,
Bit Flipping,bhphmtovideo.com,,?,,com,
Bit Flipping,bhphntovideo.com,,?,,com,
Bit Flipping,bhpho4ovideo.com,,?,,com,
Bit Flipping,bhphodovideo.com,,?,,com,
Bit Flipping,bhphopovideo.com,,?,,com,
Bit Flipping,bhphotgvideo.com,,?,,com,
Bit Flipping,bhphotkvideo.com,,?,,com,
Bit Flipping,bhphotmvideo.com,,?,,com,
Bit Flipping,bhphotnvideo.com,,?,,com,
Bit Flipping,bhphoto6ideo.com,,?,,com,
Bit Flipping,bhphotofideo.com,,?,,com,
Bit Flipping,bhphotorideo.com,,?,,com,
Bit Flipping,bhphototideo.com,,?,,com,
Bit Flipping,bhphotovhdeo.com,,?,,com,
Bit Flipping,bhphotoviddo.com,,?,,com,
Bit Flipping,bhphotovideg.com,,?,,com,
Bit Flipping,bhphotovidek.com,,?,,com,
Bit Flipping,bhphotovidem.com,,?,,com,
Bit Flipping,bhphotoviden.com,,?,,com,
Bit Flipping,bhphotovidgo.com,,?,,com,
Bit Flipping,bhphotovidmo.com,,?,,com,
