Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bilboard.com,141.8.224.25,CH,SWITZERLAND,,com,
Character Omission,billbard.com,144.76.0.242,BB,BARBADOS,,com,
Character Omission,billboad.com,185.53.178.6,,mail.h-email.net,com,
Character Omission,billboar.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Omission,billboard.cm,76.74.212.106,US,UNITED STATES,,cm,
Character Omission,billbord.com,144.76.0.242,DE,GERMANY,,com,
Character Omission,billoard.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,bllboard.com,67.221.183.115,US,UNITED STATES,,com,
Character Repeat,bbillboard.com,,?,,com,
Character Repeat,biillboard.com,,?,,com,
Character Repeat,billbboard.com,,?,,com,
Character Repeat,billboaard.com,103.224.212.222,,mx92.mb5p.com,com,
Character Repeat,billboardd.com,23.236.62.147,,,com,
Character Repeat,billboarrd.com,141.8.224.93,CN,CHINA,,com,
Character Repeat,billbooard.com,173.239.8.164,US,UNITED STATES,mx7.billbooard.com,com,
Character Repeat,billlboard.com,199.249.170.183,US,UNITED STATES,,com,
Character Swap,bilbloard.com,176.74.176.187,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,billbaord.com,199.249.170.183,US,UNITED STATES,,com,
Character Swap,billboadr.com,,?,,com,
Character Swap,billborad.com,208.91.197.27,NZ,NEW ZEALAND,p.webcom.ctmail.com,com,
Character Swap,billobard.com,,?,,com,
Character Swap,blilboard.com,,?,,com,
Character Swap,ibllboard.com,,?,,com,
Character Replacement,biklboard.com,,?,,com,
Character Replacement,bilkboard.com,,?,,com,
Character Replacement,billbiard.com,103.224.212.222,,mx92.m1bp.com,com,
Character Replacement,billboaed.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,billboarf.com,,?,,com,
Character Replacement,billboars.com,52.73.71.92,US,UNITED STATES,,com,
Character Replacement,billboatd.com,,?,,com,
Character Replacement,billbosrd.com,,?,,com,
Character Replacement,billbpard.com,141.8.224.93,NL,NETHERLANDS,,com,
Character Replacement,billnoard.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,billvoard.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,bollboard.com,,?,,com,
Character Replacement,bullboard.com,23.23.174.132,US,UNITED STATES,,com,
Character Replacement,nillboard.com,50.63.202.51,,,mailstore1.secureserver.net,com,
Character Replacement,villboard.com,184.168.221.40,Çú,,smtp.secureserver.net,com,
Double Character Replacement,bikkboard.com,,?,,com,
Character Insertion,bilklboard.com,,?,,com,
Character Insertion,billbnoard.com,,?,,com,
Character Insertion,billboardf.com,,?,,com,
Character Insertion,billboards.com,192.169.201.98,,alt2.aspmx.l.google.com,com,
Character Insertion,billboared.com,103.224.212.222,,mx92.mb5p.com,com,
Character Insertion,billboartd.com,,?,,com,
Character Insertion,billboasrd.com,,?,,com,
Character Insertion,billboiard.com,,?,,com,
Character Insertion,billbopard.com,,?,,com,
Character Insertion,billbvoard.com,,?,,com,
Character Insertion,billkboard.com,,?,,com,
Character Insertion,biollboard.com,,?,,com,
Character Insertion,biullboard.com,,?,,com,
Character Insertion,bnillboard.com,,?,,com,
Character Insertion,bvillboard.com,,?,,com,
Missing Dot,billboardcom.com,207.148.248.143,RO,ROMANIA,,com,
Missing Dot,wwwbillboard.com,144.76.0.242,DE,GERMANY,,com,
Vowel Swap,ballboard.com,54.164.23.135,GB,UNITED KINGDOM,,com,
Vowel Swap,bellboard.com,184.168.221.104,US,UNITED STATES,,com,
Vowel Swap,billboerd.com,,?,,com,
Vowel Swap,billboird.com,,?,,com,
Vowel Swap,billboord.com,,?,,com,
Vowel Swap,billbourd.com,,?,,com,
Homophones,bayellboard.com,,?,,com,
Homophones,beyellboard.com,,?,,com,
Homophones,billbored.com,,?,,com,
Bit Flipping,bhllboard.com,,?,,com,
Bit Flipping,bidlboard.com,,?,,com,
Bit Flipping,bihlboard.com,,?,,com,
Bit Flipping,bildboard.com,52.71.185.125,PH,PHILIPPINES,,com,
Bit Flipping,bilhboard.com,,?,,com,
Bit Flipping,billbgard.com,,?,,com,
Bit Flipping,billbkard.com,,?,,com,
Bit Flipping,billbmard.com,,?,,com,
Bit Flipping,billbnard.com,,?,,com,
Bit Flipping,billboa2d.com,,?,,com,
Bit Flipping,billboabd.com,,?,,com,
Bit Flipping,billboapd.com,,?,,com,
Bit Flipping,billboare.com,141.8.224.169,CH,SWITZERLAND,,com,
Bit Flipping,billboarl.com,,?,,com,
Bit Flipping,billboart.com,173.239.23.228,US,UNITED STATES,,com,
Bit Flipping,billboasd.com,,?,,com,
Bit Flipping,billboavd.com,,?,,com,
Bit Flipping,billboazd.com,,?,,com,
Bit Flipping,billbocrd.com,,?,,com,
Bit Flipping,billboqrd.com,,?,,com,
Bit Flipping,billcoard.com,,?,,com,
Bit Flipping,billfoard.com,,?,,com,
Bit Flipping,billjoard.com,,?,,com,
Bit Flipping,billroard.com,,?,,com,
Bit Flipping,bilmboard.com,,?,,com,
Bit Flipping,bilnboard.com,,?,,com,
Bit Flipping,bimlboard.com,,?,,com,
Bit Flipping,binlboard.com,,?,,com,
Bit Flipping,bkllboard.com,,?,,com,
Bit Flipping,bmllboard.com,,?,,com,
Bit Flipping,byllboard.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,cillboard.com,,?,,com,
Bit Flipping,fillboard.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,jillboard.com,74.208.113.52,US,UNITED STATES,mx01.1and1.com,com,
Bit Flipping,rillboard.com,,?,,com,
Homoglyphs,bi11board.com,,?,,com,
Homoglyphs,bi1lboard.com,,?,,com,
Homoglyphs,bil1board.com,,?,,com,
Homoglyphs,billb0ard.com,,?,,com,
Homoglyphs,billboarcl.com,,?,,com,
Homoglyphs,blllboard.com,,?,,com,
Wrong TLD,billboard.ca,69.172.201.153,US,UNITED STATES,,ca,
Wrong TLD,billboard.ch,212.59.186.61,CH,SWITZERLAND,mail.mail-ch.ch,ch,
Wrong TLD,billboard.de,178.16.57.13,DE,GERMANY,mx-a.ktk.de,de,
Wrong TLD,billboard.edu,,?,,edu,
Wrong TLD,billboard.es,31.47.74.250,ES,SPAIN,,es,
Wrong TLD,billboard.fr,185.53.179.6,,mail.h-email.net,fr,
Wrong TLD,billboard.it,212.97.34.153,IT,ITALY,mx.kpnqwest.it,it,
Wrong TLD,billboard.jp,106.185.39.218,JP,JAPAN,,jp,
Wrong TLD,billboard.net,64.13.232.218,US,UNITED STATES,mail.billboard.net,net,
Wrong TLD,billboard.nl,109.106.167.8,EU,EUROPEAN UNION,mail1.cleanport.nl,nl,
Wrong TLD,billboard.no,,?,,no,
Wrong TLD,billboard.org,192.169.255.15,,,org,
Wrong TLD,billboard.ru,31.31.205.163,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,billboard.se,,?,,se,
Wrong TLD,billboard.us,,?,,us,

