Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bicointalk.org,75.126.101.243,US,UNITED STATES,,org,
Character Omission,bitcintalk.org,,?,,org,
Character Omission,bitcoinalk.org,,?,,org,
Character Omission,bitcointak.org,69.64.147.242,US,UNITED STATES,mail.b-io.co,org,
Character Omission,bitcointal.org,,?,,org,
Character Omission,bitcointlk.org,,?,,org,
Character Omission,bitcoitalk.org,173.254.197.21,US,UNITED STATES,,org,
Character Omission,bitcontalk.org,,?,,org,
Character Omission,bitointalk.org,,?,,org,
Character Omission,btcointalk.org,,?,,org,
Character Repeat,bbitcointalk.org,,?,,org,
Character Repeat,biitcointalk.org,,?,,org,
Character Repeat,bitccointalk.org,,?,,org,
Character Repeat,bitcoiintalk.org,,?,,org,
Character Repeat,bitcoinntalk.org,,?,,org,
Character Repeat,bitcointaalk.org,,?,,org,
Character Repeat,bitcointalkk.org,,?,,org,
Character Repeat,bitcointallk.org,,?,,org,
Character Repeat,bitcointtalk.org,,?,,org,
Character Repeat,bitcoointalk.org,,?,,org,
Character Repeat,bittcointalk.org,,?,,org,
Character Swap,bictointalk.org,,?,,org,
Character Swap,bitciontalk.org,,?,,org,
Character Swap,bitcoinatlk.org,,?,,org,
Character Swap,bitcointakl.org,199.59.242.150,CN,CHINA,mx76.m2bp.com,org,
Character Swap,bitcointlak.org,,?,,org,
Character Swap,bitcoitnalk.org,,?,,org,
Character Swap,bitconitalk.org,,?,,org,
Character Swap,bitocintalk.org,,?,,org,
Character Swap,bticointalk.org,,?,,org,
Character Swap,ibtcointalk.org,,?,,org,
Character Replacement,bircointalk.org,,?,,org,
Character Replacement,bitciintalk.org,,?,,org,
Character Replacement,bitcoibtalk.org,,?,,org,
Character Replacement,bitcoimtalk.org,209.141.38.71,CA,CANADA,,org,
Character Replacement,bitcoinralk.org,,?,,org,
Character Replacement,bitcointakk.org,,?,,org,
Character Replacement,bitcointalj.org,,?,,org,
Character Replacement,bitcointall.org,,?,,org,
Character Replacement,bitcointslk.org,,?,,org,
Character Replacement,bitcoinyalk.org,,?,,org,
Character Replacement,bitcoontalk.org,,?,,org,
Character Replacement,bitcountalk.org,,?,,org,
Character Replacement,bitcpintalk.org,,?,,org,
Character Replacement,bitvointalk.org,,?,,org,
Character Replacement,bitxointalk.org,,?,,org,
Character Replacement,biycointalk.org,,?,,org,
Character Replacement,botcointalk.org,162.255.119.157,,eforward1.registrar-servers.com,org,
Character Replacement,butcointalk.org,,?,,org,
Character Replacement,nitcointalk.org,,?,,org,
Character Replacement,vitcointalk.org,,?,,org,
Character Insertion,biotcointalk.org,,?,,org,
Character Insertion,bitcoinbtalk.org,,?,,org,
Character Insertion,bitcoinmtalk.org,,?,,org,
Character Insertion,bitcointalkj.org,,?,,org,
Character Insertion,bitcointalkl.org,,?,,org,
Character Insertion,bitcointaslk.org,,?,,org,
Character Insertion,bitcointralk.org,,?,,org,
Character Insertion,bitcointyalk.org,,?,,org,
Character Insertion,bitcoiontalk.org,,?,,org,
Character Insertion,bitcoiuntalk.org,,?,,org,
Character Insertion,bitcopintalk.org,,?,,org,
Character Insertion,bitcvointalk.org,,?,,org,
Character Insertion,bitcxointalk.org,,?,,org,
Character Insertion,bitrcointalk.org,,?,,org,
Character Insertion,bitycointalk.org,,?,,org,
Character Insertion,biutcointalk.org,,?,,org,
Character Insertion,bnitcointalk.org,,?,,org,
Character Insertion,bvitcointalk.org,,?,,org,
Missing Dot,bitcointalkorg.com,184.168.221.11,US,UNITED STATES,mailstore1.secureserver.net,com,
Missing Dot,wwwbitcointalk.org,50.63.202.30,US,UNITED STATES,mailstore1.secureserver.net,org,
Singular or Pluralise,bitcointalks.org,77.222.62.39,RU,RUSSIAN FEDERATION,mx1.spaceweb.ru,org,
Vowel Swap,batcoantalk.org,,?,,org,
Vowel Swap,betcoentalk.org,,?,,org,
Vowel Swap,bitcointelk.org,116.124.128.121,KR,KOREA REPUBLIC OF,,org,
Vowel Swap,bitcointilk.org,,?,,org,
Vowel Swap,bitcointolk.org,,?,,org,
Vowel Swap,bitcointulk.org,,?,,org,
Vowel Swap,botcoontalk.org,,?,,org,
Vowel Swap,butcountalk.org,,?,,org,
Homophones,bayetcoayentalk.org,,?,,org,
Homophones,beyetcoeyentalk.org,,?,,org,
Bit Flipping,batcointalk.org,,?,,org,
Bit Flipping,bhtcointalk.org,,?,,org,
Bit Flipping,bi4cointalk.org,,?,,org,
Bit Flipping,bidcointalk.org,,?,,org,
Bit Flipping,bipcointalk.org,,?,,org,
Bit Flipping,bitaointalk.org,,?,,org,
Bit Flipping,bitbointalk.org,,?,,org,
Bit Flipping,bitcgintalk.org,,?,,org,
Bit Flipping,bitckintalk.org,,?,,org,
