Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bifinex.com,52.0.7.30,IT,ITALY,,com,
Character Omission,bitfiex.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,bitfine.com,193.189.74.68,GB,UNITED KINGDOM,bitfine.com,com,
Character Omission,bitfinex.cm,,?,,cm,
Character Omission,bitfinx.com,69.64.147.242,US,UNITED STATES,,com,
Character Omission,bitfnex.com,51.254.48.147,GB,UNITED KINGDOM,,com,
Character Omission,bitinex.com,52.0.7.30,US,UNITED STATES,,com,
Character Omission,btfinex.com,52.0.7.30,US,UNITED STATES,,com,
Character Repeat,bbitfinex.com,95.183.53.20,US,UNITED STATES,,com,
Character Repeat,biitfinex.com,95.183.53.20,RU,RUSSIAN FEDERATION,,com,
Character Repeat,bitffinex.com,98.124.204.16,US,UNITED STATES,,com,
Character Repeat,bitfiinex.com,50.63.202.2,US,UNITED STATES,mx.zoho.com,com,
Character Repeat,bitfineex.com,107.161.23.204,,,com,
Character Repeat,bitfinexx.com,52.0.7.30,US,UNITED STATES,,com,
Character Repeat,bitfinnex.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,bittfinex.com,104.31.64.118,,,com,
Character Swap,biftinex.com,192.64.119.165,,eforward2.registrar-servers.com,com,
Character Swap,bitfienx.com,52.0.7.30,US,UNITED STATES,,com,
Character Swap,bitfinxe.com,136.243.255.75,DE,GERMANY,,com,
Character Swap,bitfniex.com,,?,,com,
Character Swap,bitifnex.com,52.0.7.30,US,UNITED STATES,,com,
Character Swap,btifinex.com,52.0.7.30,US,UNITED STATES,,com,
Character Swap,ibtfinex.com,136.243.255.75,DE,GERMANY,,com,
Character Replacement,birfinex.com,52.0.7.30,GB,UNITED KINGDOM,,com,
Character Replacement,bitdinex.com,52.0.7.30,US,UNITED STATES,,com,
Character Replacement,bitfibex.com,104.28.23.61,,,com,
Character Replacement,bitfimex.com,104.18.59.232,,,com,
Character Replacement,bitfinec.com,52.0.7.30,ˆô,,,com,
Character Replacement,bitfinez.com,50.63.202.44,TH,THAILAND,,com,
Character Replacement,bitfinrx.com,52.0.7.30,US,UNITED STATES,,com,
Character Replacement,bitfinwx.com,52.0.7.30,US,UNITED STATES,,com,
Character Replacement,bitfonex.com,103.9.157.197,BD,BANGLADESH,alt3.aspmx.l.google.com,com,
Character Replacement,bitfunex.com,52.0.7.30,RO,ROMANIA,,com,
Character Replacement,bitginex.com,136.243.255.75,Õº,,,com,
Character Replacement,biyfinex.com,52.0.7.30,US,UNITED STATES,,com,
Character Replacement,botfinex.com,52.0.7.30,US,UNITED STATES,,com,
Character Replacement,butfinex.com,64.111.116.88,US,UNITED STATES,,com,
Character Replacement,nitfinex.com,136.243.255.75,DE,GERMANY,,com,
Character Replacement,vitfinex.com,136.243.255.75,DE,GERMANY,,com,
Character Insertion,biotfinex.com,,?,,com,
Character Insertion,bitfdinex.com,,?,,com,
Character Insertion,bitfginex.com,,?,,com,
Character Insertion,bitfinbex.com,,?,,com,
Character Insertion,bitfinerx.com,,?,,com,
Character Insertion,bitfinewx.com,,?,,com,
Character Insertion,bitfinexc.com,,?,,com,
Character Insertion,bitfinexz.com,136.243.255.75,DE,GERMANY,,com,
Character Insertion,bitfinmex.com,,?,,com,
Character Insertion,bitfionex.com,,?,,com,
Character Insertion,bitfiunex.com,,?,,com,
Character Insertion,bitrfinex.com,,?,,com,
Character Insertion,bityfinex.com,136.243.255.75,DE,GERMANY,,com,
Character Insertion,biutfinex.com,,?,,com,
Character Insertion,bnitfinex.com,,?,,com,
Character Insertion,bvitfinex.com,,?,,com,
Missing Dot,bitfinexcom.com,,?,,com,
Missing Dot,wwwbitfinex.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Singular or Pluralise,bitfinexes.com,,?,,com,
Vowel Swap,batfanex.com,,?,,com,
Vowel Swap,betfenex.com,,?,,com,
Vowel Swap,bitfinax.com,107.161.23.204,,,com,
Vowel Swap,bitfinix.com,23.234.4.153,,,com,
Vowel Swap,bitfinox.com,,?,,com,
