Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,blomberg.com,184.168.221.40,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,blooberg.com,69.191.212.191,US,UNITED STATES,,com,
Character Omission,bloombeg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Omission,bloomber.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Omission,bloomberg.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,bloombrg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Omission,bloomerg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Omission,boomberg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Repeat,bbloomberg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Repeat,blloomberg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Repeat,bloombberg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Repeat,bloombeerg.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,bloombergg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Repeat,bloomberrg.com,69.191.212.191,VN,VIET NAM,mgcp2.bloomberg.com,com,
Character Repeat,bloommberg.com,69.191.251.238,RO,ROMANIA,mgcp2.bloomberg.com,com,
Character Repeat,blooomberg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Swap,blomoberg.com,,?,,com,
Character Swap,bloobmerg.com,69.191.251.238,2@,,mgcp2.bloomberg.com,com,
Character Swap,bloombegr.com,50.63.202.29,UA,UKRAINE,smtp.secureserver.net,com,
Character Swap,bloombreg.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,bloomebrg.com,95.211.219.65,NL,NETHERLANDS,,com,
Character Swap,bolomberg.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Swap,lboomberg.com,184.168.221.6,CA,CANADA,smtp.secureserver.net,com,
Character Replacement,bkoomberg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bliomberg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bloimberg.com,69.191.251.238,RU,RUSSIAN FEDERATION,mgcp2.bloomberg.com,com,
Character Replacement,bloombeeg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bloomberf.com,69.191.212.191,US,UNITED STATES,mgbny1.bloomberg.com,com,
Character Replacement,bloomberh.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bloombetg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bloombrrg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bloombwrg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bloomnerg.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,bloomverg.com,69.191.212.191,EÄ,,mgcp2.bloomberg.com,com,
Character Replacement,bloonberg.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,blopmberg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,blpomberg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Character Replacement,nloomberg.com,50.63.202.9,F#,,mailstore1.secureserver.net,com,
Character Replacement,vloomberg.com,69.191.212.191,CA,CANADA,mgcp2.bloomberg.com,com,
Double Character Replacement,bliimberg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Double Character Replacement,blppmberg.com,69.191.212.191,CA,CANADA,mgcp2.bloomberg.com,com,
Character Insertion,blkoomberg.com,184.168.221.29,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,bloiomberg.com,184.168.221.2,CA,CANADA,mailstore1.secureserver.net,com,
Character Insertion,blooimberg.com,50.63.202.20,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,bloombereg.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,bloombergf.com,,?,,com,
Character Insertion,bloombergh.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Insertion,bloombertg.com,72.52.4.122,CA,CANADA,localhost,com,
Character Insertion,bloombewrg.com,50.63.202.15,EÄ,,mailstore1.secureserver.net,com,
Character Insertion,bloombnerg.com,50.63.202.3,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,bloombverg.com,50.63.202.22,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,bloomnberg.com,103.224.212.222,,mx92.m1bp.com,com,
Character Insertion,bloopmberg.com,184.168.221.27,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,blopomberg.com,184.168.221.24,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,bnloomberg.com,184.168.221.1,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,bvloomberg.com,184.168.221.9,US,UNITED STATES,mailstore1.secureserver.net,com,
Missing Dot,bloombergcom.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Missing Dot,wwwbloomberg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Singular or Pluralise,bloombergs.com,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,com,
Vowel Swap,bloombarg.com,208.73.211.177,US,UNITED STATES,,com,
Vowel Swap,bloombirg.com,209.15.13.134,SG,SINGAPORE,mail.b-io.co,com,
Vowel Swap,bloomborg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Vowel Swap,bloomburg.com,,?,,com,
Homophones,blowomberg.com,,?,,com,
Bit Flipping,bdoomberg.com,,?,,com,
Bit Flipping,bhoomberg.com,,?,,com,
Bit Flipping,blgomberg.com,,?,,com,
Bit Flipping,blkomberg.com,,?,,com,
Bit Flipping,blmomberg.com,,?,,com,
Bit Flipping,blnomberg.com,,?,,com,
Bit Flipping,blogmberg.com,,?,,com,
Bit Flipping,blokmberg.com,,?,,com,
Bit Flipping,blommberg.com,69.191.251.238,CA,CANADA,mgcp2.bloomberg.com,com,
Bit Flipping,blonmberg.com,,?,,com,
Bit Flipping,bloo-berg.com,,?,,com,
Bit Flipping,blooeberg.com,,?,,com,
Bit Flipping,blooiberg.com,,?,,com,
Bit Flipping,bloolberg.com,,?,,com,
Bit Flipping,bloombdrg.com,,?,,com,
Bit Flipping,bloombe2g.com,,?,,com,
Bit Flipping,bloombebg.com,,?,,com,
Bit Flipping,bloombepg.com,,?,,com,
Bit Flipping,bloomberc.com,,?,,com,
Bit Flipping,bloombere.com,,?,,com,
Bit Flipping,bloombero.com,,?,,com,
Bit Flipping,bloomberw.com,,?,,com,
Bit Flipping,bloombesg.com,,?,,com,
Bit Flipping,bloombevg.com,,?,,com,
Bit Flipping,bloombezg.com,,?,,com,
Bit Flipping,bloombgrg.com,,?,,com,
Bit Flipping,bloombmrg.com,,?,,com,
Bit Flipping,bloomcerg.com,,?,,com,
Bit Flipping,bloomferg.com,,?,,com,
Bit Flipping,bloomjerg.com,,?,,com,
Bit Flipping,bloomrerg.com,,?,,com,
Bit Flipping,bloooberg.com,184.168.221.18,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,bmoomberg.com,,?,,com,
Bit Flipping,bnoomberg.com,,?,,com,
Bit Flipping,cloomberg.com,,?,,com,
Bit Flipping,floomberg.com,,?,,com,
Bit Flipping,jloomberg.com,,?,,com,
Bit Flipping,rloomberg.com,,?,,com,
Homoglyphs,b1oomberg.com,162.255.119.35,,eforward2.registrar-servers.com,com,
Homoglyphs,bl00mberg.com,69.191.251.238,US,UNITED STATES,mgbnj1.bloomberg.com,com,
Homoglyphs,bl0omberg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Homoglyphs,blo0mberg.com,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,com,
Homoglyphs,bloornberg.com,,?,,com,
Wrong TLD,bloomberg.ca,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,ca,
Wrong TLD,bloomberg.ch,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,ch,
Wrong TLD,bloomberg.de,69.187.23.20,US,UNITED STATES,mgcp2.bloomberg.com,de,
Wrong TLD,bloomberg.edu,,?,,edu,
Wrong TLD,bloomberg.es,165.160.15.20,DO,DOMINICAN REPUBLIC,custmx.cscdns.net,es,
Wrong TLD,bloomberg.fr,69.191.252.148,US,UNITED STATES,mgcp2.bloomberg.com,fr,
Wrong TLD,bloomberg.it,69.187.23.20,US,UNITED STATES,mgcp2.bloomberg.com,it,
Wrong TLD,bloomberg.jp,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,jp,
Wrong TLD,bloomberg.net,69.191.252.148,US,UNITED STATES,mgnj6.bloomberg.net,net,
Wrong TLD,bloomberg.nl,,?,,nl,
Wrong TLD,bloomberg.no,69.191.251.238,US,UNITED STATES,mgcp2.bloomberg.com,no,
Wrong TLD,bloomberg.org,52.86.148.246,CÒ,,cluster5a.us.messagelabs.com,org,
Wrong TLD,bloomberg.ru,204.179.240.9,US,UNITED STATES,ix.alldomains.com,ru,
Wrong TLD,bloomberg.se,69.191.212.191,US,UNITED STATES,mgcp2.bloomberg.com,se,
Wrong TLD,bloomberg.us,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,us,

