Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bnappetit.com,,?,,com,
Character Omission,boappetit.com,,?,,com,
Character Omission,bonapetit.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,bonappeit.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Omission,bonappeti.com,176.74.176.187,PL,POLAND,,com,
Character Omission,bonappetit.cm,,?,,cm,
Character Omission,bonappett.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,bonapptit.com,54.235.212.68,US,UNITED STATES,,com,
Character Omission,bonppetit.com,77.78.104.221,CA,CANADA,server.mailadress.net,com,
Character Repeat,bbonappetit.com,,?,,com,
Character Repeat,bonaappetit.com,103.224.212.251,,mx92.m1bp.com,com,
Character Repeat,bonappeetit.com,,?,,com,
Character Repeat,bonappetiit.com,184.168.221.104,US,UNITED STATES,,com,
Character Repeat,bonappetitt.com,,?,,com,
Character Repeat,bonappettit.com,68.178.213.61,¸©,,,com,
Character Repeat,bonapppetit.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,bonnappetit.com,52.73.71.92,US,UNITED STATES,,com,
Character Repeat,boonappetit.com,198.105.244.111,US,UNITED STATES,,com,
Character Swap,bnoappetit.com,,?,,com,
Character Swap,boanppetit.com,,?,,com,
Character Swap,bonapeptit.com,,?,,com,
Character Swap,bonappeitt.com,,?,,com,
Character Swap,bonappetti.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Swap,bonappteit.com,,?,,com,
Character Swap,bonpapetit.com,,?,,com,
Character Swap,obnappetit.com,,?,,com,
Character Replacement,binappetit.com,,?,,com,
Character Replacement,bobappetit.com,67.55.92.184,US,UNITED STATES,mx7.bobappetit.com,com,
Character Replacement,bomappetit.com,,?,,com,
Character Replacement,bonaopetit.com,,?,,com,
Character Replacement,bonapoetit.com,,?,,com,
Character Replacement,bonapperit.com,,?,,com,
Character Replacement,bonappetir.com,,?,,com,
Character Replacement,bonappetiy.com,,?,,com,
Character Replacement,bonappetot.com,198.71.232.3,,aspmx2.googlemail.com,com,
Character Replacement,bonappetut.com,,?,,com,
Character Replacement,bonappeyit.com,,?,,com,
Character Replacement,bonapprtit.com,,?,,com,
Character Replacement,bonappwtit.com,,?,,com,
Character Replacement,bonsppetit.com,,?,,com,
Character Replacement,bpnappetit.com,,?,,com,
Character Replacement,nonappetit.com,,?,,com,
Character Replacement,vonappetit.com,184.168.221.59,ES,SPAIN,mailstore1.secureserver.net,com,
Double Character Replacement,bonaooetit.com,,?,,com,
Character Insertion,bnonappetit.com,,?,,com,
Character Insertion,boinappetit.com,,?,,com,
Character Insertion,bonapopetit.com,,?,,com,
Character Insertion,bonappertit.com,,?,,com,
Character Insertion,bonappetiot.com,,?,,com,
Character Insertion,bonappetitr.com,,?,,com,
Character Insertion,bonappetity.com,52.207.109.58,US,UNITED STATES,aspmx.l.google.com,com,
Character Insertion,bonappetiut.com,,?,,com,
Character Insertion,bonappetrit.com,,?,,com,
Character Insertion,bonappetyit.com,,?,,com,
Character Insertion,bonappewtit.com,,?,,com,
Character Insertion,bonappoetit.com,,?,,com,
Character Insertion,bonasppetit.com,,?,,com,
Character Insertion,bonbappetit.com,,?,,com,
Character Insertion,bonmappetit.com,213.186.33.3,FR,FRANCE,mail-fr.securemail.pro,com,
Character Insertion,bopnappetit.com,,?,,com,
Character Insertion,bvonappetit.com,,?,,com,
Missing Dot,bonappetitcom.com,,?,,com,
