Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,b.com,,?,,com,
Character Omission,bt.cm,192.185.21.105,,bt.cm,cm,
Character Repeat,bbt.com,216.87.148.114,US,UNITED STATES,mail3.bbandt.com,com,
Character Repeat,btt.com,,?,mailgate-3.doubleteam.ch,com,
Character Swap,tb.com,170.178.178.52,US,UNITED STATES,,com,
Character Replacement,br.com,204.13.84.106,US,UNITED STATES,mx-01.emailme.com,com,
Character Replacement,by.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,nt.com,184.168.221.45,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,vt.com,208.73.211.70,US,UNITED STATES,,com,
Character Insertion,bnt.com,216.252.192.69,US,UNITED STATES,mx.junkemailfilter.net,com,
Character Insertion,btr.com,216.146.46.10,US,UNITED STATES,btr-com.mail.protection.outlook.com,com,
Character Insertion,bty.com,104.196.103.209,,bty-com.mail.protection.outlook.com,com,
Character Insertion,bvt.com,62.159.47.115,DE,GERMANY,bvt-com.mail.protection.outlook.com,com,
Missing Dot,btcom.com,199.91.248.54,US,UNITED STATES,smtp.asia.secureserver.net,com,
Missing Dot,wwwbt.com,76.74.212.106,US,UNITED STATES,,com,
Singular or Pluralise,bts.com,96.45.83.39,US,UNITED STATES,mxb-001b1001.gslb.pphosted.com,com,
Bit Flipping,b4.com,89.31.143.1,DE,GERMANY,mx00.udag.de,com,
Bit Flipping,bd.com,184.154.210.187,US,UNITED STATES,mxb-0017d901.gslb.pphosted.com,com,
Bit Flipping,bp.com,54.72.215.189,US,UNITED STATES,cluster8.us.messagelabs.com,com,
Bit Flipping,bu.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,bv.com,52.36.131.229,US,UNITED STATES,bv-com.mail.protection.outlook.com,com,
Bit Flipping,ct.com,216.87.148.114,US,UNITED STATES,chimx01.tribune.com,com,
Bit Flipping,ft.com,151.101.66.109,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,jt.com,210.128.210.211,JP,JAPAN,jt-com.mail.protection.outlook.com,com,
Bit Flipping,rt.com,103.5.149.90,HK,HONG KONG,aspmx4.googlemail.com,com,
Wrong TLD,bt.ca,158.85.87.76,US,UNITED STATES,mail.bt.ca,ca,
Wrong TLD,bt.ch,,?,,ch,
Wrong TLD,bt.de,217.160.0.114,DE,GERMANY,mx01.kundenserver.de,de,
Wrong TLD,bt.edu,,?,,edu,
Wrong TLD,bt.es,212.66.161.20,ES,SPAIN,mail1.bt.es,es,
Wrong TLD,bt.fr,,?,,fr,
Wrong TLD,bt.it,,?,,it,
Wrong TLD,bt.jp,,?,,jp,
Wrong TLD,bt.net,193.113.211.125,GB,UNITED KINGDOM,relay1.bt.net,net,
Wrong TLD,bt.nl,193.113.10.24,GB,UNITED KINGDOM,mail.bt.nl,nl,
Wrong TLD,bt.no,152.90.247.57,NO,NORWAY,alt1.aspmx.l.google.com,no,
Wrong TLD,bt.org,,?,,org,
Wrong TLD,bt.ru,195.170.63.2,RU,RUSSIAN FEDERATION,bt-ru.mail.protection.outlook.com,ru,
Wrong TLD,bt.se,185.26.230.129,,se-in3r.mx-wecloud.net,se,
Wrong TLD,bt.us,,?,,us,

