Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bsiness.gov.au,,?,,gov.au,
Character Omission,buiness.gov.au,,?,,gov.au,
Character Omission,busiess.gov.au,,?,,gov.au,
Character Omission,busines.gov.au,,?,,gov.au,
Character Omission,businss.gov.au,,?,,gov.au,
Character Omission,busness.gov.au,,?,,gov.au,
Character Repeat,bbusiness.gov.au,,?,,gov.au,
Character Repeat,busiiness.gov.au,,?,,gov.au,
Character Repeat,busineess.gov.au,,?,,gov.au,
Character Repeat,businesss.gov.au,,?,,gov.au,
Character Repeat,businness.gov.au,,?,,gov.au,
Character Repeat,bussiness.gov.au,,?,,gov.au,
Character Repeat,buusiness.gov.au,,?,,gov.au,
Character Swap,bsuiness.gov.au,,?,,gov.au,
Character Swap,buisness.gov.au,,?,,gov.au,
Character Swap,busienss.gov.au,,?,,gov.au,
Character Swap,business.gov.ua,,?,,gov.ua,
Character Swap,businses.gov.au,,?,,gov.au,
Character Swap,busniess.gov.au,,?,,gov.au,
Character Swap,ubsiness.gov.au,,?,,gov.au,
Character Replacement,bisiness.gov.au,,?,,gov.au,
Character Replacement,buainess.gov.au,,?,,gov.au,
Character Replacement,budiness.gov.au,,?,,gov.au,
Character Replacement,busibess.gov.au,,?,,gov.au,
Character Replacement,busimess.gov.au,,?,,gov.au,
Character Replacement,busineas.gov.au,,?,,gov.au,
Character Replacement,busineds.gov.au,,?,,gov.au,
Character Replacement,businesa.gov.au,,?,,gov.au,
Character Replacement,businesd.gov.au,,?,,gov.au,
Character Replacement,business.gov.ai,,?,,ai,
Character Replacement,business.gov.su,,?,,su,
Character Replacement,businrss.gov.au,,?,,gov.au,
Character Replacement,businwss.gov.au,,?,,gov.au,
Character Replacement,busoness.gov.au,,?,,gov.au,
Character Replacement,busuness.gov.au,,?,,gov.au,
Character Replacement,bysiness.gov.au,,?,,gov.au,
Character Replacement,nusiness.gov.au,,?,,gov.au,
Character Replacement,vusiness.gov.au,,?,,gov.au,
Double Character Replacement,busineaa.gov.au,,?,,gov.au,
Double Character Replacement,businedd.gov.au,,?,,gov.au,
Character Insertion,bnusiness.gov.au,,?,,gov.au,
Character Insertion,buisiness.gov.au,,?,,gov.au,
Character Insertion,busainess.gov.au,,?,,gov.au,
Character Insertion,busdiness.gov.au,,?,,gov.au,
Character Insertion,businbess.gov.au,,?,,gov.au,
Character Insertion,businerss.gov.au,,?,,gov.au,
Character Insertion,businesas.gov.au,,?,,gov.au,
Character Insertion,businesds.gov.au,,?,,gov.au,
Character Insertion,businessa.gov.au,,?,,gov.au,
Character Insertion,businessd.gov.au,,?,,gov.au,
Character Insertion,businewss.gov.au,,?,,gov.au,
Character Insertion,businmess.gov.au,,?,,gov.au,
Character Insertion,busioness.gov.au,,?,,gov.au,
Character Insertion,busiuness.gov.au,,?,,gov.au,
Character Insertion,buysiness.gov.au,,?,,gov.au,
Character Insertion,bvusiness.gov.au,,?,,gov.au,
Missing Dot,wwwbusiness.gov.au,,?,,gov.au,
Singular or Pluralise,businesses.gov.au,,?,,gov.au,
Vowel Swap,besiness.gov.ae,,?,,ae,
