Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cahoo.com,78.47.162.68,DE,GERMANY,localhost,com,
Character Omission,cahoot.cm,,?,,cm,
Character Omission,cahot.com,207.148.248.143,US,UNITED STATES,,com,
Character Omission,caoot.com,52.71.185.125,US,UNITED STATES,,com,
Character Omission,choot.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Repeat,caahoot.com,98.124.199.104,US,UNITED STATES,,com,
Character Repeat,cahhoot.com,,?,,com,
Character Repeat,cahooot.com,,?,,com,
Character Repeat,cahoott.com,,?,,com,
Character Repeat,ccahoot.com,98.124.199.106,US,UNITED STATES,,com,
Character Swap,achoot.com,185.213.141.5,,,com,
Character Swap,cahoto.com,,?,,com,
Character Swap,caohot.com,,?,,com,
Character Swap,chaoot.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Replacement,cagoot.com,,?,,com,
Character Replacement,cahiot.com,,?,,com,
Character Replacement,cahoit.com,,?,,com,
Character Replacement,cahoor.com,,?,,com,
Character Replacement,cahooy.com,,?,,com,
Character Replacement,cahopt.com,,?,,com,
Character Replacement,cahpot.com,,?,,com,
Character Replacement,cajoot.com,89.46.196.248,SE,SWEDEN,mx01.1and1.co.uk,com,
Character Replacement,cshoot.com,23.236.62.147,,mailstore1.secureserver.net,com,
Character Replacement,vahoot.com,98.124.199.116,US,UNITED STATES,,com,
Character Replacement,xahoot.com,98.124.199.114,US,UNITED STATES,,com,
Double Character Replacement,cahiit.com,,?,,com,
Double Character Replacement,cahppt.com,,?,,com,
Character Insertion,cahgoot.com,,?,,com,
Character Insertion,cahjoot.com,,?,,com,
Character Insertion,cahoiot.com,,?,,com,
Character Insertion,cahooit.com,,?,,com,
Character Insertion,cahoopt.com,,?,,com,
Character Insertion,cahootr.com,,?,,com,
Character Insertion,cahooty.com,69.16.209.26,US,UNITED STATES,cahooty.com,com,
Character Insertion,cahopot.com,,?,,com,
Character Insertion,cashoot.com,50.63.202.58,US,UNITED STATES,aspmx2.googlemail.com,com,
Character Insertion,cvahoot.com,,?,,com,
Character Insertion,cxahoot.com,,?,,com,
Missing Dot,cahootcom.com,,?,,com,
Missing Dot,wwwcahoot.com,,?,,com,
Singular or Pluralise,cahoots.com,45.56.109.69,,alt4.aspmx.l.google.com,com,
Vowel Swap,cehoot.com,,?,,com,
Vowel Swap,cihoot.com,,?,,com,
Vowel Swap,cohoot.com,52.71.185.125,US,UNITED STATES,,com,
Vowel Swap,cuhoot.com,,?,,com,
Homophones,cahoeot.com,,?,,com,
Bit Flipping,aahoot.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,bahoot.com,82.47.105.128,GB,UNITED KINGDOM,mx3.emailowl.com,com,
Bit Flipping,cahgot.com,,?,,com,
Bit Flipping,cahkot.com,,?,,com,
Bit Flipping,cahmot.com,,?,,com,
Bit Flipping,cahnot.com,,?,,com,
Bit Flipping,cahogt.com,,?,,com,
Bit Flipping,cahokt.com,,?,,com,
Bit Flipping,cahomt.com,,?,,com,
Bit Flipping,cahont.com,,?,,com,
Bit Flipping,cahoo4.com,,?,,com,
Bit Flipping,cahood.com,206.188.192.206,US,UNITED STATES,mx1.netsolmail.net,com,
Bit Flipping,cahoop.com,,?,,com,
Bit Flipping,cahoou.com,,?,,com,
Bit Flipping,cahoov.com,,?,,com,
Bit Flipping,caioot.com,,?,,com,
Bit Flipping,caloot.com,,?,,com,
Bit Flipping,caxoot.com,,?,,com,
Bit Flipping,cchoot.com,,?,,com,
Bit Flipping,cqhoot.com,,?,,com,
Bit Flipping,gahoot.com,185.26.230.131,,rhea.easily.co.uk,com,
Bit Flipping,kahoot.com,52.84.125.52,US,UNITED STATES,aspmx3.googlemail.com,com,
Bit Flipping,sahoot.com,128.199.133.55,GB,UNITED KINGDOM,mail.sahoot.com,com,
Homoglyphs,cah00t.com,,?,,com,
Homoglyphs,cah0ot.com,,?,,com,
Homoglyphs,caho0t.com,,?,,com,
Wrong TLD,cahoot.ca,,?,alt2.aspmx.l.google.com,ca,
Wrong TLD,cahoot.ch,,?,,ch,
Wrong TLD,cahoot.de,,?,,de,
Wrong TLD,cahoot.edu,,?,,edu,
Wrong TLD,cahoot.es,,?,,es,
Wrong TLD,cahoot.fr,,?,,fr,
Wrong TLD,cahoot.it,185.53.178.8,,,it,
Wrong TLD,cahoot.jp,,?,,jp,
Wrong TLD,cahoot.net,50.63.202.63,US,UNITED STATES,mailstore1.secureserver.net,net,
Wrong TLD,cahoot.nl,149.210.241.228,RO,ROMANIA,cahoot.nl,nl,
Wrong TLD,cahoot.no,,?,,no,
Wrong TLD,cahoot.org,,?,,org,
Wrong TLD,cahoot.ru,46.36.219.213,VA,HOLY SEE (VATICAN CITY STATE),,ru,
Wrong TLD,cahoot.se,,?,,se,
Wrong TLD,cahoot.us,184.168.221.19,US,UNITED STATES,mxb.mailgun.org,us,

