Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,caeerbuilder.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,careebuilder.com,208.82.7.228,US,UNITED STATES,relay.careerbuilder.com,com,
Character Omission,careerbilder.com,184.168.221.15,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,careerbuider.com,34.196.13.28,–R,,mail.happyisp.com,com,
Character Omission,careerbuilde.com,,?,,com,
Character Omission,careerbuilder.cm,85.25.199.30,CA,CANADA,,cm,
Character Omission,careerbuildr.com,208.91.196.94,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,careerbuiler.com,50.63.202.12,JP,JAPAN,smtp.secureserver.net,com,
Character Omission,careerbulder.com,,?,,com,
Character Omission,careeruilder.com,103.224.182.252,,mx92.m1bp.com,com,
Character Omission,carerbuilder.com,,?,,com,
Character Omission,creerbuilder.com,184.168.221.21,US,UNITED STATES,smtp.secureserver.net,com,
Character Repeat,caareerbuilder.com,208.73.211.177,US,UNITED STATES,,com,
Character Repeat,careeerbuilder.com,54.221.207.100,US,UNITED STATES,mx94.mb1p.com,com,
Character Repeat,careerbbuilder.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,careerbuiilder.com,23.253.58.227,,,com,
Character Repeat,careerbuildder.com,,?,,com,
Character Repeat,careerbuildeer.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,careerbuilderr.com,98.124.199.5,US,UNITED STATES,,com,
Character Repeat,careerbuillder.com,81.171.22.7,NL,NETHERLANDS,,com,
Character Repeat,careerbuuilder.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,careerrbuilder.com,,?,,com,
Character Repeat,carreerbuilder.com,208.82.7.228,US,UNITED STATES,relay.careerbuilder.com,com,
Character Repeat,ccareerbuilder.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,acreerbuilder.com,,?,,com,
Character Swap,caererbuilder.com,,?,,com,
Character Swap,careebruilder.com,45.35.123.136,,,com,
Character Swap,careerbiulder.com,54.235.212.68,US,UNITED STATES,mail.careerbiulder.com,com,
Character Swap,careerbuidler.com,,?,,com,
Character Swap,careerbuildre.com,103.224.182.252,,mx92.m1bp.com,com,
Character Swap,careerbuiledr.com,45.35.123.87,,,com,
Character Swap,careerbulider.com,76.74.212.106,RU,RUSSIAN FEDERATION,,com,
Character Swap,careerubilder.com,,?,,com,
Character Swap,carerebuilder.com,216.157.88.24,US,UNITED STATES,,com,
Character Swap,craeerbuilder.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,caeeerbuilder.com,,?,,com,
Character Replacement,careeebuilder.com,103.224.182.245,,mx92.m1bp.com,com,
Character Replacement,careerbiilder.com,103.224.182.252,,park-mx.above.com,com,
Character Replacement,careerbuikder.com,216.157.88.26,CA,CANADA,,com,
Character Replacement,careerbuildee.com,69.16.230.43,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,careerbuildet.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,careerbuildrr.com,103.224.182.251,,mx92.mb5p.com,com,
Character Replacement,careerbuildwr.com,185.53.178.6,,,com,
Character Replacement,careerbuilfer.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,careerbuilser.com,216.157.88.24,US,UNITED STATES,,com,
Character Replacement,careerbuolder.com,209.126.123.11,ç,,,com,
Character Replacement,careerbuulder.com,103.224.182.251,,mx92.m1bp.com,com,
Character Replacement,careerbyilder.com,103.224.182.214,,mx92.m1bp.com,com,
Character Replacement,careernuilder.com,158.69.225.39,US,UNITED STATES,,com,
Character Replacement,careervuilder.com,81.171.22.6,NL,NETHERLANDS,,com,
Character Replacement,careetbuilder.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,carerrbuilder.com,103.224.182.209,,mx92.m1bp.com,com,
Character Replacement,carewrbuilder.com,,?,,com,
Character Replacement,carrerbuilder.com,34.196.13.28,PR,PUERTO RICO,mail.happyisp.com,com,
Character Replacement,carwerbuilder.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,cateerbuilder.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,csreerbuilder.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,vareerbuilder.com,,?,,com,
Character Replacement,xareerbuilder.com,,?,,com,
Double Character Replacement,carrrrbuilder.com,,?,,com,
Double Character Replacement,carwwrbuilder.com,,?,,com,
Character Insertion,careerbnuilder.com,,?,,com,
Character Insertion,careerbuildere.com,184.168.221.1,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,careerbuildert.com,103.224.212.222,,mx92.mb5p.com,com,
Character Insertion,careerbuildewr.com,,?,,com,
Character Insertion,careerbuildfer.com,,?,,com,
Character Insertion,careerbuildser.com,,?,,com,
Character Insertion,careerbuilkder.com,216.157.88.23,US,UNITED STATES,,com,
Character Insertion,careerbuiolder.com,208.73.211.177,US,UNITED STATES,,com,
Character Insertion,careerbuiulder.com,209.126.123.12,ES,SPAIN,,com,
Character Insertion,careerbuyilder.com,,?,,com,
Character Insertion,careerbvuilder.com,,?,,com,
Character Insertion,careerebuilder.com,5.22.149.135,CA,CANADA,,com,
Character Insertion,careertbuilder.com,,?,,com,
Character Insertion,careewrbuilder.com,,?,,com,
Character Insertion,carererbuilder.com,208.91.196.152,PH,PHILIPPINES,,com,
Character Insertion,carewerbuilder.com,,?,,com,
Character Insertion,carteerbuilder.com,50.63.202.33,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,casreerbuilder.com,103.224.182.214,,park-mx.above.com,com,
Character Insertion,cvareerbuilder.com,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Insertion,cxareerbuilder.com,,?,,com,
Missing Dot,careerbuildercom.com,103.224.182.216,,mx92.m1bp.com,com,
Missing Dot,wwwcareerbuilder.com,208.82.7.228,US,UNITED STATES,relay.careerbuilder.com,com,
Singular or Pluralise,careerbuilders.com,208.82.7.228,US,UNITED STATES,relay.techopps.com,com,
Vowel Swap,caraarbuildar.com,,?,,com,
Vowel Swap,careerbailder.com,,?,,com,
Vowel Swap,careerbeilder.com,,?,,com,
Vowel Swap,careerboilder.com,,?,,com,
Vowel Swap,careerbualder.com,,?,,com,
Vowel Swap,careerbuelder.com,,?,,com,
Vowel Swap,cariirbuildir.com,,?,,com,
Vowel Swap,caroorbuildor.com,,?,,com,
Vowel Swap,caruurbuildur.com,,?,,com,
Vowel Swap,cereerbuilder.com,54.205.101.85,US,UNITED STATES,,com,
Vowel Swap,cireerbuilder.com,,?,,com,
Vowel Swap,coreerbuilder.com,,?,,com,
Vowel Swap,cureerbuilder.com,185.53.179.6,,,com,
Homophones,careerbilleder.com,,?,,com,
Homophones,careerbuayelder.com,,?,,com,
Homophones,careerbueyelder.com,,?,,com,
Homophones,courerbuilder.com,,?,,com,
Bit Flipping,aareerbuilder.com,,?,,com,
Bit Flipping,bareerbuilder.com,,?,,com,
Bit Flipping,ca2eerbuilder.com,,?,,com,
Bit Flipping,cabeerbuilder.com,,?,,com,
Bit Flipping,capeerbuilder.com,,?,,com,
Bit Flipping,caraerbuilder.com,,?,,com,
Bit Flipping,carderbuilder.com,,?,,com,
Bit Flipping,carearbuilder.com,72.3.202.136,US,UNITED STATES,mx94.mb1p.com,com,
Bit Flipping,caredrbuilder.com,,?,,com,
Bit Flipping,caree2builder.com,,?,,com,
Bit Flipping,careebbuilder.com,,?,,com,
Bit Flipping,careepbuilder.com,,?,,com,
Bit Flipping,careerb5ilder.com,,?,,com,
Bit Flipping,careerbqilder.com,,?,,com,
Bit Flipping,careerbtilder.com,,?,,com,
Bit Flipping,careerbuhlder.com,,?,,com,
Bit Flipping,careerbuidder.com,,?,,com,
Bit Flipping,careerbuihder.com,,?,,com,
Bit Flipping,careerbuildar.com,,?,,com,
Bit Flipping,careerbuilddr.com,,?,,com,
Bit Flipping,careerbuilde2.com,,?,,com,
Bit Flipping,careerbuildeb.com,,?,,com,
Bit Flipping,careerbuildep.com,,?,,com,
Bit Flipping,careerbuildes.com,185.53.178.6,,mail.h-email.net,com,
Bit Flipping,careerbuildev.com,,?,,com,
Bit Flipping,careerbuildez.com,,?,,com,
Bit Flipping,careerbuildgr.com,,?,,com,
Bit Flipping,careerbuildmr.com,,?,,com,
Bit Flipping,careerbuildur.com,,?,,com,
Bit Flipping,careerbuileer.com,,?,,com,
Bit Flipping,careerbuiller.com,,?,,com,
Bit Flipping,careerbuilter.com,95.211.219.65,NL,NETHERLANDS,,com,
Bit Flipping,careerbuimder.com,,?,,com,
Bit Flipping,careerbuinder.com,,?,,com,
Bit Flipping,careerbuklder.com,,?,,com,
Bit Flipping,careerbumlder.com,,?,,com,
Bit Flipping,careerbuylder.com,,?,,com,
Bit Flipping,careerbwilder.com,,?,,com,
Bit Flipping,careercuilder.com,95.211.219.65,NL,NETHERLANDS,,com,
Bit Flipping,careerfuilder.com,,?,,com,
Bit Flipping,careerjuilder.com,,?,,com,
Bit Flipping,careerruilder.com,,?,,com,
Bit Flipping,careesbuilder.com,,?,,com,
Bit Flipping,careevbuilder.com,,?,,com,
Bit Flipping,careezbuilder.com,,?,,com,
Bit Flipping,caregrbuilder.com,,?,,com,
Bit Flipping,caremrbuilder.com,,?,,com,
Bit Flipping,careurbuilder.com,,?,,com,
Bit Flipping,cargerbuilder.com,,?,,com,
Bit Flipping,carmerbuilder.com,,?,,com,
Bit Flipping,caruerbuilder.com,,?,,com,
Bit Flipping,caseerbuilder.com,,?,,com,
Bit Flipping,caveerbuilder.com,,?,,com,
Bit Flipping,cazeerbuilder.com,,?,,com,
Bit Flipping,ccreerbuilder.com,,?,,com,
Bit Flipping,cqreerbuilder.com,,?,,com,
Bit Flipping,gareerbuilder.com,,?,,com,
Bit Flipping,kareerbuilder.com,,?,,com,
Bit Flipping,sareerbuilder.com,,?,,com,
Homoglyphs,careerbui1der.com,,?,,com,
Homoglyphs,careerbuilcler.com,,?,,com,
Homoglyphs,careerbullder.com,,?,,com,
Wrong TLD,careerbuilder.ca,208.82.7.24,US,UNITED STATES,careerbuilder.mail.protection.outlook.com,ca,
Wrong TLD,careerbuilder.ch,208.82.7.56,US,UNITED STATES,careerbuilder.mail.protection.outlook.com,ch,
Wrong TLD,careerbuilder.de,208.82.7.45,CA,CANADA,careerbuilder.mail.protection.outlook.com,de,
Wrong TLD,careerbuilder.edu,,?,,edu,
Wrong TLD,careerbuilder.es,208.82.7.94,–R,,careerbuilder.mail.protection.outlook.com,es,
Wrong TLD,careerbuilder.fr,208.82.7.76,US,UNITED STATES,careerbuilder.mail.protection.outlook.com,fr,
Wrong TLD,careerbuilder.it,208.82.7.25,US,UNITED STATES,careerbuilder.mail.protection.outlook.com,it,
Wrong TLD,careerbuilder.jp,,?,,jp,
Wrong TLD,careerbuilder.net,209.126.123.13,US,UNITED STATES,,net,
Wrong TLD,careerbuilder.nl,208.82.7.41,US,UNITED STATES,careerbuilder.mail.protection.outlook.com,nl,
Wrong TLD,careerbuilder.no,208.82.7.56,US,UNITED STATES,careerbuilder.mail.protection.outlook.com,no,
Wrong TLD,careerbuilder.org,208.82.7.228,US,UNITED STATES,relay.careerbuilder.com,org,
Wrong TLD,careerbuilder.ru,72.52.4.122,US,UNITED STATES,localhost,ru,
Wrong TLD,careerbuilder.se,208.82.7.46,US,UNITED STATES,careerbuilder.mail.protection.outlook.com,se,
Wrong TLD,careerbuilder.us,,?,,us,

