Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cbsports.com,198.49.23.144,,mx1.netsolmail.net,com,
Character Omission,cbssorts.com,216.157.88.25,US,UNITED STATES,,com,
Character Omission,cbsspors.com,170.20.0.25,US,UNITED STATES,,com,
Character Omission,cbssport.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,cbssports.cm,199.59.242.150,CN,CHINA,mx76.m2bp.com,cm,
Character Omission,cbsspots.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Omission,cbssprts.com,64.30.228.118,US,UNITED STATES,,com,
Character Omission,cssports.com,72.52.178.23,,allmail.parklogic.com,com,
Character Repeat,cbbssports.com,216.157.88.25,US,UNITED STATES,,com,
Character Repeat,cbsspoorts.com,158.69.143.112,CA,CANADA,,com,
Character Repeat,cbssporrts.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Repeat,cbssportss.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,cbssportts.com,199.115.115.116,US,UNITED STATES,,com,
Character Repeat,cbsspports.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Repeat,cbsssports.com,216.19.170.36,IT,ITALY,,com,
Character Repeat,ccbssports.com,199.115.115.116,US,UNITED STATES,,com,
Character Swap,bcssports.com,50.63.202.88,H5,,mailstore1.secureserver.net,com,
Character Swap,cbspsorts.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,cbssoprts.com,216.19.170.36,US,UNITED STATES,,com,
Character Swap,cbssporst.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Swap,cbsspotrs.com,103.224.182.245,,mx92.m1bp.com,com,
Character Swap,cbssprots.com,185.53.179.7,,mail.h-email.net,com,
Character Swap,csbsports.com,199.115.115.119,US,UNITED STATES,,com,
Character Replacement,cbasports.com,64.89.44.97,US,UNITED STATES,cbasports.com.mx1-na.mailanyone.net,com,
Character Replacement,cbdsports.com,198.154.202.118,,cbdsports.com,com,
Character Replacement,cbsaports.com,5.79.79.209,NL,NETHERLANDS,,com,
Character Replacement,cbsdports.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Replacement,cbssoorts.com,103.224.182.214,,mx92.m1bp.com,com,
Character Replacement,cbsspirts.com,198.50.233.227,,,com,
Character Replacement,cbsspoets.com,,?,,com,
Character Replacement,cbssporrs.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,cbssporta.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Replacement,cbssportd.com,103.224.182.214,,mx92.m1bp.com,com,
Character Replacement,cbssporys.com,5.79.79.212,NL,NETHERLANDS,,com,
Character Replacement,cbsspotts.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Replacement,cbsspprts.com,72.52.10.14,RU,RUSSIAN FEDERATION,bh.markmonitor.com,com,
Character Replacement,cnssports.com,103.224.182.238,,mx92.m1bp.com,com,
Character Replacement,cvssports.com,158.69.143.113,US,UNITED STATES,,com,
Character Replacement,vbssports.com,50.63.202.49,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,xbssports.com,,?,,com,
Double Character Replacement,cbaaports.com,,?,,com,
Double Character Replacement,cbddports.com,,?,,com,
Character Insertion,cbnssports.com,,?,,com,
Character Insertion,cbsasports.com,174.136.95.91,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,cbsdsports.com,,?,,com,
Character Insertion,cbssaports.com,,?,,com,
Character Insertion,cbssdports.com,,?,,com,
Character Insertion,cbsspoirts.com,103.224.182.214,,mx92.m1bp.com,com,
Character Insertion,cbsspoprts.com,103.224.182.214,,park-mx.above.com,com,
Character Insertion,cbssporets.com,,?,,com,
Character Insertion,cbssportrs.com,158.69.225.39,US,UNITED STATES,,com,
Character Insertion,cbssportsa.com,,?,,com,
Character Insertion,cbssportsd.com,,?,,com,
Character Insertion,cbssportys.com,,?,,com,
Character Insertion,cbvssports.com,,?,,com,
Character Insertion,cvbssports.com,,?,,com,
Character Insertion,cxbssports.com,,?,,com,
Missing Dot,cbssportscom.com,,?,,com,
Missing Dot,wwwcbssports.com,103.224.182.217,,park-mx.above.com,com,
Homophones,cbsspoarts.com,,?,,com,
Bit Flipping,abssports.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,bbssports.com,207.148.248.143,US,UNITED STATES,,com,
Bit Flipping,cb3sports.com,,?,,com,
Bit Flipping,cbcsports.com,,?,,com,
Bit Flipping,cbqsports.com,,?,,com,
Bit Flipping,cbrsports.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Bit Flipping,cbs3ports.com,,?,,com,
Bit Flipping,cbscports.com,103.224.212.222,,mx92.mb5p.com,com,
Bit Flipping,cbsqports.com,,?,,com,
Bit Flipping,cbsrports.com,,?,,com,
Bit Flipping,cbss0orts.com,,?,,com,
Bit Flipping,cbsspgrts.com,,?,,com,
Bit Flipping,cbsspkrts.com,,?,,com,
Bit Flipping,cbsspmrts.com,,?,,com,
Bit Flipping,cbsspnrts.com,,?,,com,
Bit Flipping,cbsspo2ts.com,,?,,com,
Bit Flipping,cbsspobts.com,,?,,com,
Bit Flipping,cbsspopts.com,,?,,com,
Bit Flipping,cbsspor4s.com,,?,,com,
Bit Flipping,cbsspords.com,,?,,com,
Bit Flipping,cbssporps.com,,?,,com,
Bit Flipping,cbssport3.com,,?,,com,
Bit Flipping,cbssportc.com,,?,,com,
Bit Flipping,cbssportq.com,,?,,com,
Bit Flipping,cbssportr.com,,?,,com,
Bit Flipping,cbssportw.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Bit Flipping,cbssporus.com,,?,,com,
Bit Flipping,cbssporvs.com,,?,,com,
