Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,centrylink.com,52.0.217.44,US,UNITED STATES,parkmail.dynadot.com,com,
Character Omission,centurlink.com,52.4.209.250,US,UNITED STATES,,com,
Character Omission,centuryink.com,,?,,com,
Character Omission,centurylik.com,,?,,com,
Character Omission,centurylin.com,198.50.233.227,,,com,
Character Omission,centurylink.cm,,?,,cm,
Character Omission,centurylnk.com,198.50.233.238,,,com,
Character Omission,centuylink.com,,?,,com,
Character Omission,cenurylink.com,,?,,com,
Character Omission,ceturylink.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Omission,cnturylink.com,,?,,com,
Character Repeat,ccenturylink.com,192.64.147.183,,,com,
Character Repeat,ceenturylink.com,,?,,com,
Character Repeat,cennturylink.com,,?,,com,
Character Repeat,centturylink.com,,?,,com,
Character Repeat,centurrylink.com,,?,,com,
Character Repeat,centuryliink.com,,?,,com,
Character Repeat,centurylinkk.com,,?,,com,
Character Repeat,centurylinnk.com,,?,,com,
Character Repeat,centuryllink.com,,?,,com,
Character Repeat,centuryylink.com,,?,,com,
Character Repeat,centuurylink.com,,?,,com,
Character Swap,centruylink.com,,?,,com,
Character Swap,centurlyink.com,,?,,com,
Character Swap,centuryilnk.com,,?,,com,
Character Swap,centurylikn.com,,?,,com,
Character Swap,centurylnik.com,,?,,com,
Character Swap,centuyrlink.com,,?,,com,
Character Swap,cenutrylink.com,,?,,com,
Character Swap,cetnurylink.com,,?,,com,
Character Swap,cneturylink.com,,?,,com,
Character Swap,ecnturylink.com,,?,,com,
Character Replacement,cebturylink.com,,?,,com,
Character Replacement,cemturylink.com,,?,,com,
Character Replacement,cenrurylink.com,,?,,com,
Character Replacement,centirylink.com,,?,,com,
Character Replacement,centueylink.com,,?,,com,
Character Replacement,centurtlink.com,216.157.88.26,US,UNITED STATES,,com,
Character Replacement,centurulink.com,,?,,com,
Character Replacement,centurykink.com,,?,,com,
Character Replacement,centurylibk.com,,?,,com,
Character Replacement,centurylimk.com,,?,,com,
Character Replacement,centurylinj.com,,?,,com,
Character Replacement,centurylinl.com,,?,,com,
Character Replacement,centurylonk.com,,?,,com,
Character Replacement,centurylunk.com,,?,,com,
Character Replacement,centutylink.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,centyrylink.com,185.53.178.6,,,com,
Character Replacement,cenyurylink.com,208.91.196.120,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,crnturylink.com,,?,,com,
Character Replacement,cwnturylink.com,,?,,com,
Character Replacement,venturylink.com,,?,,com,
Character Replacement,xenturylink.com,,?,,com,
Character Insertion,cenbturylink.com,,?,,com,
Character Insertion,cenmturylink.com,,?,,com,
Character Insertion,centrurylink.com,,?,,com,
Character Insertion,centuirylink.com,,?,,com,
Character Insertion,centureylink.com,,?,,com,
Character Insertion,centurtylink.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Insertion,centurylinbk.com,,?,,com,
Character Insertion,centurylinkj.com,,?,,com,
Character Insertion,centurylinkl.com,,?,,com,
Character Insertion,centurylinmk.com,,?,,com,
Character Insertion,centurylionk.com,,?,,com,
Character Insertion,centuryliunk.com,,?,,com,
Character Insertion,centurylkink.com,,?,,com,
Character Insertion,centurytlink.com,103.224.182.239,,mx92.mb5p.com,com,
Character Insertion,centuryulink.com,,?,,com,
Character Insertion,centuyrylink.com,,?,,com,
Character Insertion,centyurylink.com,,?,,com,
Character Insertion,cernturylink.com,,?,,com,
Character Insertion,cewnturylink.com,,?,,com,
Character Insertion,cventurylink.com,,?,,com,
Character Insertion,cxenturylink.com,,?,,com,
Missing Dot,centurylinkcom.com,,?,,com,
Missing Dot,wwwcenturylink.com,144.76.1.130,žK,,,com,
Singular or Pluralise,centurylinks.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Vowel Swap,canturylink.com,,?,,com,
Vowel Swap,centarylink.com,,?,,com,
Vowel Swap,centerylink.com,,?,,com,
Vowel Swap,centorylink.com,,?,,com,
Vowel Swap,centurylank.com,,?,,com,
Vowel Swap,centurylenk.com,,?,,com,
Vowel Swap,cinturylink.com,54.72.130.67,US,UNITED STATES,mail.h-email.net,com,
Vowel Swap,conturylink.com,,?,,com,
Vowel Swap,cunturylink.com,,?,,com,
Homophones,centurylayenk.com,,?,,com,
Homophones,centuryleyenk.com,,?,,com,
Homophones,scenturylink.com,,?,,com,
Homophones,senturylink.com,67.225.218.50,US,UNITED STATES,mx156.hostedmxserver.com,com,
Bit Flipping,aenturylink.com,,?,,com,
Bit Flipping,benturylink.com,,?,,com,
Bit Flipping,cdnturylink.com,,?,,com,
Bit Flipping,ce.turylink.com,,?,,com,
Bit Flipping,cefturylink.com,,?,,com,
Bit Flipping,cejturylink.com,,?,,com,
Bit Flipping,celturylink.com,,?,,com,
Bit Flipping,cen4urylink.com,,?,,com,
Bit Flipping,cendurylink.com,,?,,com,
Bit Flipping,cenpurylink.com,,?,,com,
Bit Flipping,cent5rylink.com,,?,,com,
Bit Flipping,centqrylink.com,,?,,com,
Bit Flipping,centtrylink.com,,?,,com,
Bit Flipping,centu2ylink.com,,?,,com,
Bit Flipping,centubylink.com,,?,,com,
Bit Flipping,centupylink.com,,?,,com,
Bit Flipping,centur9link.com,,?,,com,
Bit Flipping,centurilink.com,103.224.182.245,,mx92.m1bp.com,com,
Bit Flipping,centurqlink.com,,?,,com,
Bit Flipping,centurxlink.com,,?,,com,
Bit Flipping,centurydink.com,,?,,com,
Bit Flipping,centuryhink.com,,?,,com,
Bit Flipping,centurylhnk.com,,?,,com,
Bit Flipping,centuryli.k.com,,?,,com,
Bit Flipping,centurylifk.com,,?,,com,
Bit Flipping,centurylijk.com,,?,,com,
Bit Flipping,centurylilk.com,,?,,com,
Bit Flipping,centurylinc.com,158.69.143.112,US,UNITED STATES,,com,
Bit Flipping,centurylini.com,,?,,com,
Bit Flipping,centurylino.com,,?,,com,
