Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,case.com,184.168.221.21,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,chae.com,,?,,com,
Character Omission,chas.com,23.23.86.44,US,UNITED STATES,0.0.0.0,com,
Character Omission,chase.cm,85.25.199.30,DE,GERMANY,mx1.emailparking.com,cm,
Character Omission,chse.com,141.8.224.195,CH,SWITZERLAND,,com,
Character Repeat,cchase.com,199.115.115.118,US,UNITED STATES,,com,
Character Repeat,chaase.com,95.211.117.215,NL,NETHERLANDS,,com,
Character Repeat,chasee.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Repeat,chasse.com,64.99.80.121,CA,CANADA,mx.netidentity.com.cust.hostedemail.com,com,
Character Repeat,chhase.com,76.74.212.106,PH,PHILIPPINES,,com,
Character Swap,cahse.com,103.224.182.212,,,com,
Character Swap,chaes.com,199.115.115.118,ES,SPAIN,,com,
Character Swap,chsae.com,208.91.196.94,AT,AUSTRIA,,com,
Character Swap,hcase.com,103.224.182.252,,mx92.mb5p.com,com,
Character Replacement,cgase.com,149.202.120.39,DE,GERMANY,,com,
Character Replacement,chaae.com,149.202.120.36,PH,PHILIPPINES,,com,
Character Replacement,chade.com,69.89.20.41,DE,GERMANY,fallbackmx.spamexperts.eu,com,
Character Replacement,chasr.com,199.115.115.118,CA,CANADA,,com,
Character Replacement,chasw.com,95.211.117.215,NL,NETHERLANDS,,com,
Character Replacement,chsse.com,76.74.212.106,•Ñ,,,com,
Character Replacement,cjase.com,149.202.120.37,DE,GERMANY,,com,
Character Replacement,vhase.com,149.202.120.37,DE,GERMANY,,com,
Character Replacement,xhase.com,146.148.34.125,US,UNITED STATES,mail.hope-mail.com,com,
Character Insertion,chasae.com,199.59.242.150,­Î,,mx76.m2bp.com,com,
Character Insertion,chasde.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Insertion,chaser.com,192.185.152.241,,mail.chaser.com,com,
Character Insertion,chasew.com,199.115.115.119,CA,CANADA,,com,
Character Insertion,chgase.com,208.91.196.28,VG,VIRGIN ISLANDS (BRITISH),mail.b-io.co,com,
Character Insertion,chjase.com,103.224.182.214,,mx92.mb5p.com,com,
Character Insertion,cvhase.com,199.115.115.116,US,UNITED STATES,,com,
Character Insertion,cxhase.com,208.91.196.102,VG,VIRGIN ISLANDS (BRITISH),,com,
Missing Dot,chasecom.com,173.197.85.199,US,UNITED STATES,chasecom-com.mail.protection.outlook.com,com,
Missing Dot,wwwchase.com,76.74.212.106,US,UNITED STATES,,com,
Singular or Pluralise,chases.com,50.234.106.50,US,UNITED STATES,,com,
Vowel Swap,chasa.com,72.52.4.122,US,UNITED STATES,localhost,com,
Vowel Swap,chasi.com,104.27.154.174,,,com,
Vowel Swap,chaso.com,198.71.232.3,,smtp.secureserver.net,com,
Vowel Swap,chasu.com,,?,,com,
Vowel Swap,chese.com,185.53.179.8,,mail.h-email.net,com,
Vowel Swap,chise.com,185.53.178.8,,mail.h-email.net,com,
Vowel Swap,chose.com,184.168.221.8,US,UNITED STATES,smtp.secureserver.net,com,
Vowel Swap,chuse.com,,?,,com,
Homophones,chaise.com,176.74.176.187,JP,JAPAN,,com,
Bit Flipping,ahase.com,52.73.71.92,CA,CANADA,,com,
Bit Flipping,bhase.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,cha3e.com,96.227.109.248,CH,SWITZERLAND,mailstore1.secureserver.net,com,
Bit Flipping,chace.com,64.13.232.152,US,UNITED STATES,chace-com.mail.protection.outlook.com,com,
Bit Flipping,chaqe.com,,?,,com,
Bit Flipping,chare.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,chasd.com,103.224.182.252,,mx92.m1bp.com,com,
Bit Flipping,chasg.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,chasm.com,66.39.108.241,PH,PHILIPPINES,mail1.g18.pair.com,com,
Bit Flipping,chawe.com,209.126.123.11,CA,CANADA,,com,
Bit Flipping,chcse.com,198.199.96.223,,,com,
Bit Flipping,chqse.com,103.224.182.252,,mx92.m1bp.com,com,
Bit Flipping,ciase.com,69.172.201.153,i€,,,com,
Bit Flipping,clase.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,cxase.com,,?,,com,
Bit Flipping,ghase.com,72.52.4.120,US,UNITED STATES,localhost,com,
Bit Flipping,khase.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,shase.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Wrong TLD,chase.ca,159.53.96.78,US,UNITED STATES,,ca,
Wrong TLD,chase.ch,159.53.60.165,US,UNITED STATES,,ch,
Wrong TLD,chase.de,,?,,de,
Wrong TLD,chase.edu,,?,,edu,
Wrong TLD,chase.es,,?,,es,
Wrong TLD,chase.fr,,?,mx.chaseinternational.fr,fr,
Wrong TLD,chase.it,185.53.178.8,,mail.h-email.net,it,
Wrong TLD,chase.jp,,?,mail.chase.jp,jp,
Wrong TLD,chase.net,64.99.80.121,CA,CANADA,mx.netidentity.com.cust.hostedemail.com,net,
Wrong TLD,chase.nl,54.247.89.174,US,UNITED STATES,mail.chase.nl,nl,
Wrong TLD,chase.no,,?,,no,
Wrong TLD,chase.org,198.202.151.21,US,UNITED STATES,mail-relay.msln.net,org,
Wrong TLD,chase.ru,178.57.216.18,RU,RUSSIAN FEDERATION,alt1.aspmx.l.google.com,ru,
Wrong TLD,chase.se,,?,,se,
Wrong TLD,chase.us,,?,,us,

