Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,chiadaily.com.cn,184.154.126.180,US,UNITED STATES,,cn,
Character Omission,chinaaily.com.cn,,?,,cn,
Character Omission,chinadail.com.cn,184.154.126.180,US,UNITED STATES,,cn,
Character Omission,chinadaily.cm.cn,182.61.97.11,CN,CHINA,,cn,
Character Omission,chinadaily.co.cn,,?,,cn,
Character Omission,chinadaily.om.cn,,?,,cn,
Character Omission,chinadailycom.cn,,?,,cn,
Character Omission,chinadaiy.com.cn,103.37.40.133,,,cn,
Character Omission,chinadaly.com.cn,,?,,cn,
Character Omission,chinadily.com.cn,184.154.126.180,US,UNITED STATES,,cn,
Character Omission,chindaily.com.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Omission,chnadaily.com.cn,,?,,cn,
Character Omission,cinadaily.com.cn,,?,,cn,
Character Repeat,cchinadaily.com.cn,,?,,cn,
Character Repeat,chhinadaily.com.cn,,?,,cn,
Character Repeat,chiinadaily.com.cn,,?,,cn,
Character Repeat,chinaadaily.com.cn,,?,,cn,
Character Repeat,chinadaaily.com.cn,,?,,cn,
Character Repeat,chinadaiily.com.cn,,?,,cn,
Character Repeat,chinadailly.com.cn,,?,,cn,
Character Repeat,chinadaily.ccom.cn,,?,,cn,
Character Repeat,chinadaily.comm.cn,52.69.166.231,US,UNITED STATES,,cn,
Character Repeat,chinadaily.coom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Repeat,chinadailyy.com.cn,,?,,cn,
Character Repeat,chinaddaily.com.cn,,?,,cn,
Character Repeat,chinnadaily.com.cn,,?,,cn,
Character Swap,chiandaily.com.cn,174.139.43.226,CN,CHINA,,cn,
Character Swap,chinaadily.com.cn,,?,,cn,
Character Swap,chinadail.ycom.cn,,?,,cn,
Character Swap,chinadaily.cmo.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Swap,chinadaily.com.nc,,?,,nc,
Character Swap,chinadaily.ocm.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Swap,chinadailyc.om.cn,,?,,cn,
Character Swap,chinadaiyl.com.cn,,?,,cn,
Character Swap,chinadaliy.com.cn,,?,,cn,
Character Swap,chinadialy.com.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Swap,chindaaily.com.cn,,?,,cn,
Character Swap,chniadaily.com.cn,,?,,cn,
Character Swap,cihnadaily.com.cn,,?,,cn,
Character Swap,hcinadaily.com.cn,,?,,cn,
Character Replacement,cginadaily.com.cn,,?,,cn,
Character Replacement,chibadaily.com.cn,,?,,cn,
Character Replacement,chimadaily.com.cn,,?,,cn,
Character Replacement,chinadaiky.com.cn,,?,,cn,
Character Replacement,chinadailt.com.cn,,?,,cn,
Character Replacement,chinadailu.com.cn,,?,,cn,
Character Replacement,chinadaily.cim.cn,,?,,cn,
Character Replacement,chinadaily.com.cm,185.53.178.6,,,cm,
Character Replacement,chinadaily.com.vn,,?,,vn,
Character Replacement,chinadaily.con.cn,50.117.120.251,US,UNITED STATES,mail.skrimple.com,cn,
Character Replacement,chinadaily.cpm.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,chinadaily.vom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,chinadaily.xom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Replacement,chinadaoly.com.cn,,?,,cn,
Character Replacement,chinadauly.com.cn,,?,,cn,
Character Replacement,chinadsily.com.cn,,?,,cn,
Character Replacement,chinafaily.com.cn,,?,,cn,
Character Replacement,chinasaily.com.cn,,?,,cn,
Character Replacement,chinsdaily.com.cn,,?,,cn,
Character Replacement,chonadaily.com.cn,,?,,cn,
Character Replacement,chunadaily.com.cn,,?,,cn,
Character Replacement,cjinadaily.com.cn,,?,,cn,
Character Replacement,vhinadaily.com.cn,,?,,cn,
Character Replacement,xhinadaily.com.cn,,?,,cn,
Character Insertion,chginadaily.com.cn,,?,,cn,
Character Insertion,chinadailky.com.cn,,?,,cn,
Character Insertion,chinadaily.coim.cn,101.201.73.96,PK,PAKISTAN,,cn,
Character Insertion,chinadaily.comn.cn,218.30.103.40,CN,CHINA,,cn,
Character Insertion,chinadaily.copm.cn,199.59.242.150,UA,UKRAINE,,cn,
Character Insertion,chinadaily.cvom.cn,104.160.171.90,,,cn,
Character Insertion,chinadaily.cxom.cn,141.8.224.25,CH,SWITZERLAND,,cn,
Character Insertion,chinadailyt.com.cn,,?,,cn,
Character Insertion,chinadailyu.com.cn,,?,,cn,
Character Insertion,chinadaioly.com.cn,,?,,cn,
Character Insertion,chinadaiuly.com.cn,,?,,cn,
Character Insertion,chinadasily.com.cn,,?,,cn,
Character Insertion,chinadfaily.com.cn,,?,,cn,
Character Insertion,chinadsaily.com.cn,,?,,cn,
Character Insertion,chinasdaily.com.cn,,?,,cn,
Character Insertion,chinbadaily.com.cn,,?,,cn,
Character Insertion,chinmadaily.com.cn,,?,,cn,
Character Insertion,chionadaily.com.cn,,?,,cn,
Character Insertion,chiunadaily.com.cn,,?,,cn,
Character Insertion,chjinadaily.com.cn,,?,,cn,
Character Insertion,cvhinadaily.com.cn,,?,,cn,
Character Insertion,cxhinadaily.com.cn,,?,,cn,
Missing Dot,wwwchinadaily.com.cn,104.224.201.57,,,cn,
Singular or Pluralise,com.cn,,?,,cn,
Singular or Pluralise,coms.cn,122.115.37.43,CN,CHINA,mxw.mxhichina.com,cn,
Vowel Swap,chanadaaly.com.cn,,?,,cn,
Vowel Swap,chenadaely.com.cn,,?,,cn,
Vowel Swap,chinadaily.cam.cn,185.53.179.6,,mail.h-email.net,cn,
Vowel Swap,chinadaily.cem.cn,,?,,cn,
Vowel Swap,chinadaily.cum.cn,,?,,cn,
Vowel Swap,chinedeily.com.cn,,?,,cn,
Vowel Swap,chinidiily.com.cn,,?,,cn,
Vowel Swap,chinodoily.com.cn,,?,,cn,
Vowel Swap,chinuduily.com.cn,,?,,cn,
Vowel Swap,chonadaoly.com.cn,,?,,cn,
Vowel Swap,chunadauly.com.cn,,?,,cn,
Homophones,chayenadaayely.com.cn,,?,,cn,
Homophones,cheyenadaeyely.com.cn,,?,,cn,
Homophones,chighnadaily.com.cn,,?,,cn,
Homophones,chinadaley.com.cn,,?,,cn,
Bit Flipping,ahinadaily.com.cn,,?,,cn,
Bit Flipping,bhinadaily.com.cn,,?,,cn,
Bit Flipping,chanadaily.com.cn,,?,,cn,
Bit Flipping,chhnadaily.com.cn,,?,,cn,
Bit Flipping,chi.adaily.com.cn,,?,,cn,
Bit Flipping,chifadaily.com.cn,,?,,cn,
Bit Flipping,chijadaily.com.cn,,?,,cn,
Bit Flipping,chiladaily.com.cn,,?,,cn,
Bit Flipping,chinadaaly.com.cn,,?,,cn,
Bit Flipping,chinadahly.com.cn,,?,,cn,
Bit Flipping,chinadaidy.com.cn,,?,,cn,
Bit Flipping,chinadaihy.com.cn,,?,,cn,
Bit Flipping,chinadail9.com.cn,,?,,cn,
Bit Flipping,chinadaili.com.cn,,?,,cn,
Bit Flipping,chinadailq.com.cn,,?,,cn,
Bit Flipping,chinadailx.com.cn,,?,,cn,
Bit Flipping,chinadaily.aom.cn,210.51.0.57,CN,CHINA,,cn,
Bit Flipping,chinadaily.bom.cn,47.90.82.159,MY,MALAYSIA,,cn,
Bit Flipping,chinadaily.cgm.cn,,?,,cn,
Bit Flipping,chinadaily.ckm.cn,47.89.194.64,g,,,cn,
Bit Flipping,chinadaily.cmm.cn,,?,,cn,
Bit Flipping,chinadaily.cnm.cn,,?,,cn,
Bit Flipping,chinadaily.co-.cn,,?,,cn,
Bit Flipping,chinadaily.coe.cn,,?,,cn,
Bit Flipping,chinadaily.coi.cn,,?,,cn,
Bit Flipping,chinadaily.col.cn,,?,,cn,
Bit Flipping,chinadaily.com.an,,?,,an,
Bit Flipping,chinadaily.com.bn,,?,,bn,
Bit Flipping,chinadaily.com.cf,,?,,cf,
Bit Flipping,chinadaily.com.cl,,?,,cl,
Bit Flipping,chinadaily.com.co,180.150.230.139,VN,VIET NAM,,com.co,
Bit Flipping,chinadaily.com.gn,,?,,com.gn,
Bit Flipping,chinadaily.com.kn,,?,,kn,
Bit Flipping,chinadaily.com.sn,,?,,sn,
Bit Flipping,chinadaily.coo.cn,,?,,cn,
Bit Flipping,chinadaily.gom.cn,103.232.215.131,,mail.skrimple.com,cn,
Bit Flipping,chinadaily.kom.cn,103.232.215.129,,mail.skrimple.com,cn,
Bit Flipping,chinadaily.som.cn,,?,,cn,
Bit Flipping,chinadailyncom.cn,,?,,cn,
Bit Flipping,chinadaimy.com.cn,,?,,cn,
Bit Flipping,chinadainy.com.cn,,?,,cn,
Bit Flipping,chinadakly.com.cn,,?,,cn,
Bit Flipping,chinadamly.com.cn,,?,,cn,
Bit Flipping,chinadayly.com.cn,,?,,cn,
Bit Flipping,chinadcily.com.cn,,?,,cn,
Bit Flipping,chinadeily.com.cn,,?,,cn,
Bit Flipping,chinadiily.com.cn,,?,,cn,
Bit Flipping,chinadqily.com.cn,,?,,cn,
Bit Flipping,chinaeaily.com.cn,,?,,cn,
Bit Flipping,chinalaily.com.cn,,?,,cn,
Bit Flipping,chinataily.com.cn,,?,,cn,
Bit Flipping,chincdaily.com.cn,,?,,cn,
Bit Flipping,chinedaily.com.cn,,?,,cn,
Bit Flipping,chinidaily.com.cn,,?,,cn,
Bit Flipping,chinqdaily.com.cn,,?,,cn,
Bit Flipping,chioadaily.com.cn,,?,,cn,
Bit Flipping,chknadaily.com.cn,,?,,cn,
Bit Flipping,chmnadaily.com.cn,,?,,cn,
Bit Flipping,chynadaily.com.cn,,?,,cn,
Bit Flipping,ciinadaily.com.cn,,?,,cn,
Bit Flipping,clinadaily.com.cn,,?,,cn,
Bit Flipping,cxinadaily.com.cn,,?,,cn,
Bit Flipping,ghinadaily.com.cn,,?,,cn,
Bit Flipping,khinadaily.com.cn,,?,,cn,
Bit Flipping,shinadaily.com.cn,,?,,cn,
Homoglyphs,chinaclaily.com.cn,,?,,cn,
Homoglyphs,chinadai1y.com.cn,,?,,cn,
Homoglyphs,chinadaily.c0m.cn,52.69.166.231,US,UNITED STATES,,cn,
Homoglyphs,chinadaily.corn.cn,,?,,cn,
Homoglyphs,chinadally.com.cn,,?,,cn,
Homoglyphs,chlnadaily.com.cn,,?,,cn,
Homoglyphs,chlnadally.com.cn,,?,,cn,
Wrong TLD,com.au,,?,,com.au,
Wrong TLD,com.ca,,?,,ca,
Wrong TLD,com.ch,144.85.10.78,DE,GERMANY,,ch,
Wrong TLD,com.com,54.241.185.186,US,UNITED STATES,1.mail.com.com,com,
Wrong TLD,com.de,46.137.111.78,IE,IRELAND,mx203.inbound-mx.org,de,
Wrong TLD,com.edu,70.32.103.68,GB,UNITED KINGDOM,com-edu.mail.eo.outlook.com,edu,
Wrong TLD,com.es,,?,,es,
Wrong TLD,com.fr,,?,,fr,
Wrong TLD,com.it,,?,,it,
Wrong TLD,com.jp,,?,,jp,
Wrong TLD,com.net,97.74.180.1,US,UNITED STATES,p.webcom.ctmail.com,net,
Wrong TLD,com.nl,83.98.157.102,IN,INDIA,s2.dancoware.nl,nl,
Wrong TLD,com.no,,?,,no,
Wrong TLD,com.org,23.23.86.44,Sb,,0.0.0.0,org,
Wrong TLD,com.ru,178.210.74.11,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,com.se,193.13.133.90,SE,SWEDEN,mx02.glesys.se,se,
Wrong TLD,com.us,,?,,us,

