Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cibclicks.com,,?,,com,
Character Omission,cimbcicks.com,,?,,com,
Character Omission,cimbclcks.com,,?,,com,
Character Omission,cimbclick.com,81.171.22.5,NL,NETHERLANDS,,com,
Character Omission,cimbclicks.cm,,?,,cm,
Character Omission,cimbclics.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,cimbcliks.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,cimblicks.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,cimclicks.com,199.191.50.73,,,com,
Character Omission,cmbclicks.com,,?,,com,
Character Repeat,ccimbclicks.com,,?,,com,
Character Repeat,ciimbclicks.com,,?,,com,
Character Repeat,cimbbclicks.com,,?,,com,
Character Repeat,cimbcclicks.com,,?,,com,
Character Repeat,cimbcliccks.com,,?,,com,
Character Repeat,cimbclickks.com,,?,,com,
Character Repeat,cimbclickss.com,,?,,com,
Character Repeat,cimbcliicks.com,,?,,com,
Character Repeat,cimbcllicks.com,,?,,com,
Character Repeat,cimmbclicks.com,,?,,com,
Character Swap,cibmclicks.com,,?,,com,
Character Swap,cimbcilcks.com,,?,,com,
Character Swap,cimbclciks.com,,?,,com,
Character Swap,cimbclicsk.com,,?,,com,
Character Swap,cimbclikcs.com,67.55.92.187,US,UNITED STATES,mx7.cimbclikcs.com,com,
Character Swap,cimblcicks.com,,?,,com,
Character Swap,cimcblicks.com,,?,,com,
Character Swap,cmibclicks.com,,?,,com,
Character Swap,icmbclicks.com,,?,,com,
Character Replacement,cimbckicks.com,,?,,com,
Character Replacement,cimbclicjs.com,,?,,com,
Character Replacement,cimbclicka.com,,?,,com,
Character Replacement,cimbclickd.com,,?,,com,
Character Replacement,cimbclicls.com,,?,,com,
Character Replacement,cimbclivks.com,,?,,com,
Character Replacement,cimbclixks.com,,?,,com,
Character Replacement,cimbclocks.com,,?,,com,
Character Replacement,cimbclucks.com,,?,,com,
Character Replacement,cimbvlicks.com,,?,,com,
Character Replacement,cimbxlicks.com,,?,,com,
Character Replacement,cimnclicks.com,,?,,com,
Character Replacement,cimvclicks.com,,?,,com,
Character Replacement,cinbclicks.com,,?,,com,
Character Replacement,combclicks.com,,?,,com,
Character Replacement,cumbclicks.com,,?,,com,
Character Replacement,vimbclicks.com,,?,,com,
Character Replacement,ximbclicks.com,,?,,com,
Character Insertion,cimbclickjs.com,,?,,com,
Character Insertion,cimbclickls.com,,?,,com,
Character Insertion,cimbclicksa.com,,?,,com,
Character Insertion,cimbclicksd.com,,?,,com,
Character Insertion,cimbclicvks.com,,?,,com,
Character Insertion,cimbclicxks.com,,?,,com,
Character Insertion,cimbcliocks.com,,?,,com,
Character Insertion,cimbcliucks.com,,?,,com,
Character Insertion,cimbclkicks.com,,?,,com,
Character Insertion,cimbcvlicks.com,,?,,com,
Character Insertion,cimbcxlicks.com,,?,,com,
Character Insertion,cimbnclicks.com,,?,,com,
Character Insertion,cimbvclicks.com,,?,,com,
Character Insertion,cimnbclicks.com,,?,,com,
Character Insertion,ciombclicks.com,,?,,com,
Character Insertion,ciumbclicks.com,,?,,com,
Character Insertion,cvimbclicks.com,,?,,com,
Character Insertion,cximbclicks.com,,?,,com,
Missing Dot,cimbclickscom.com,,?,,com,
Missing Dot,wwwcimbclicks.com,,?,,com,
Vowel Swap,cambclacks.com,,?,,com,
Vowel Swap,cembclecks.com,,?,,com,
Vowel Swap,combclocks.com,,?,,com,
Vowel Swap,cumbclucks.com,,?,,com,
Homophones,cayembclayecks.com,,?,,com,
Homophones,ceyembcleyecks.com,,?,,com,
Homophones,cimbcliques.com,,?,,com,
Bit Flipping,aimbclicks.com,,?,,com,
Bit Flipping,bimbclicks.com,,?,,com,
Bit Flipping,cambclicks.com,,?,,com,
Bit Flipping,chmbclicks.com,,?,,com,
Bit Flipping,ci-bclicks.com,,?,,com,
Bit Flipping,ciebclicks.com,,?,,com,
Bit Flipping,ciibclicks.com,,?,,com,
Bit Flipping,cilbclicks.com,,?,,com,
Bit Flipping,cimbalicks.com,,?,,com,
Bit Flipping,cimbblicks.com,,?,,com,
Bit Flipping,cimbcdicks.com,,?,,com,
Bit Flipping,cimbchicks.com,,?,,com,
Bit Flipping,cimbclacks.com,,?,,com,
Bit Flipping,cimbclhcks.com,,?,,com,
Bit Flipping,cimbcliaks.com,,?,,com,
Bit Flipping,cimbclibks.com,,?,,com,
Bit Flipping,cimbcliccs.com,,?,,com,
Bit Flipping,cimbclicis.com,,?,,com,
Bit Flipping,cimbclick3.com,,?,,com,
Bit Flipping,cimbclickc.com,91.218.247.90,RU,RUSSIAN FEDERATION,cimbclickc.com,com,
Bit Flipping,cimbclickq.com,,?,,com,
Bit Flipping,cimbclickr.com,,?,,com,
Bit Flipping,cimbclickw.com,,?,,com,
Bit Flipping,cimbclicos.com,,?,,com,
Bit Flipping,cimbcligks.com,,?,,com,
Bit Flipping,cimbclikks.com,,?,,com,
Bit Flipping,cimbclisks.com,,?,,com,
Bit Flipping,cimbclkcks.com,,?,,com,
Bit Flipping,cimbclmcks.com,,?,,com,
Bit Flipping,cimbclycks.com,,?,,com,
Bit Flipping,cimbcmicks.com,,?,,com,
Bit Flipping,cimbcnicks.com,,?,,com,
Bit Flipping,cimbglicks.com,,?,,com,
Bit Flipping,cimbklicks.com,,?,,com,
Bit Flipping,cimbslicks.com,,?,,com,
Bit Flipping,cimcclicks.com,,?,,com,
Bit Flipping,cimfclicks.com,,?,,com,
Bit Flipping,cimjclicks.com,,?,,com,
Bit Flipping,cimrclicks.com,,?,,com,
Bit Flipping,ciobclicks.com,,?,,com,
Bit Flipping,ckmbclicks.com,,?,,com,
Bit Flipping,cmmbclicks.com,,?,,com,
Bit Flipping,cymbclicks.com,,?,,com,
Bit Flipping,gimbclicks.com,,?,,com,
Bit Flipping,kimbclicks.com,,?,,com,
Bit Flipping,simbclicks.com,,?,,com,
Homoglyphs,cimbc1icks.com,,?,,com,
Homoglyphs,cimbcllcks.com,,?,,com,
Homoglyphs,cimbdicks.com,,?,,com,
Homoglyphs,cirnbclicks.com,,?,,com,
Homoglyphs,clmbclicks.com,,?,,com,
Homoglyphs,clmbcllcks.com,,?,,com,
Wrong TLD,cimbclicks.ca,,?,,ca,
Wrong TLD,cimbclicks.ch,,?,,ch,
Wrong TLD,cimbclicks.de,,?,,de,
Wrong TLD,cimbclicks.edu,,?,,edu,
Wrong TLD,cimbclicks.es,,?,,es,
Wrong TLD,cimbclicks.fr,,?,,fr,
Wrong TLD,cimbclicks.it,,?,,it,
Wrong TLD,cimbclicks.jp,,?,,jp,
Wrong TLD,cimbclicks.net,37.58.107.93,NL,NETHERLANDS,mail.efty.com,net,
Wrong TLD,cimbclicks.nl,,?,,nl,
Wrong TLD,cimbclicks.no,,?,,no,
Wrong TLD,cimbclicks.org,,?,,org,
Wrong TLD,cimbclicks.ru,,?,,ru,
Wrong TLD,cimbclicks.se,,?,,se,
Wrong TLD,cimbclicks.us,,?,,us,

