Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ciizensbank.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,citiensbank.com,158.69.143.112,US,UNITED STATES,,com,
Character Omission,citizenbank.com,74.200.58.45,US,UNITED STATES,smtp1.msp.securence.com,com,
Character Omission,citizensank.com,69.172.201.153,RU,RUSSIAN FEDERATION,,com,
Character Omission,citizensbak.com,81.171.22.7,NL,NETHERLANDS,,com,
Character Omission,citizensban.com,192.64.147.163,,,com,
Character Omission,citizensbank.cm,85.25.199.30,DE,GERMANY,mx1.emailparking.com,cm,
Character Omission,citizensbnk.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,citizesbank.com,,?,,com,
Character Omission,citiznsbank.com,103.224.182.252,,mx92.mb5p.com,com,
Character Omission,citzensbank.com,158.69.143.112,US,UNITED STATES,,com,
Character Omission,ctizensbank.com,216.104.165.14,US,UNITED STATES,mx1.daemonmail.net,com,
Character Repeat,ccitizensbank.com,81.171.22.5,NL,NETHERLANDS,,com,
Character Repeat,ciitizensbank.com,,?,,com,
Character Repeat,citiizensbank.com,158.69.143.113,US,UNITED STATES,,com,
Character Repeat,citizeensbank.com,199.191.50.73,,,com,
Character Repeat,citizennsbank.com,76.74.212.106,US,UNITED STATES,,com,
Character Repeat,citizensbaank.com,208.73.210.202,US,UNITED STATES,,com,
Character Repeat,citizensbankk.com,158.69.225.39,US,UNITED STATES,,com,
Character Repeat,citizensbannk.com,185.53.178.6,,mail.h-email.net,com,
Character Repeat,citizensbbank.com,185.53.178.7,,mail.h-email.net,com,
Character Repeat,citizenssbank.com,103.224.182.245,,mx92.mb5p.com,com,
Character Repeat,citizzensbank.com,158.69.143.112,CA,CANADA,,com,
Character Repeat,cittizensbank.com,76.74.212.106,CN,CHINA,,com,
Character Swap,ciitzensbank.com,199.59.242.150,PR,PUERTO RICO,mx76.mb1p.com,com,
Character Swap,citieznsbank.com,185.53.178.6,,mail.h-email.net,com,
Character Swap,citizenbsank.com,172.107.9.31,,,com,
Character Swap,citizensabnk.com,198.50.233.228,,,com,
Character Swap,citizensbakn.com,185.53.178.9,,mail.h-email.net,com,
Character Swap,citizensbnak.com,103.224.182.252,,mx92.mb5p.com,com,
Character Swap,citizesnbank.com,103.224.182.252,,park-mx.above.com,com,
Character Swap,citiznesbank.com,198.50.233.233,,,com,
Character Swap,citziensbank.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Swap,ctiizensbank.com,158.69.225.39,US,UNITED STATES,,com,
Character Swap,ictizensbank.com,,?,,com,
Character Replacement,cirizensbank.com,158.69.143.113,US,UNITED STATES,,com,
