Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cevelandclinic.org,199.59.242.150,CN,CHINA,mx76.m2bp.com,org,
Character Omission,cleelandclinic.org,185.53.179.7,,,org,
Character Omission,cleveandclinic.org,172.107.11.10,,,org,
Character Omission,cleveladclinic.org,185.53.179.7,,,org,
Character Omission,clevelanclinic.org,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Omission,clevelandcinic.org,68.178.213.61,US,UNITED STATES,,org,
Character Omission,clevelandcliic.org,172.107.8.131,,,org,
Character Omission,clevelandclinc.org,103.224.182.221,,mx92.m1bp.com,org,
Character Omission,clevelandclini.org,185.53.178.9,,,org,
Character Omission,clevelandclnic.org,185.53.179.6,,mail.h-email.net,org,
Character Omission,clevelandlinic.org,,?,,org,
Character Omission,clevelndclinic.org,172.107.8.65,,,org,
Character Omission,clevlandclinic.org,69.172.201.153,US,UNITED STATES,,org,
Character Omission,clvelandclinic.org,68.178.213.61,US,UNITED STATES,,org,
Character Repeat,cclevelandclinic.org,185.53.178.9,,mail.h-email.net,org,
Character Repeat,cleevelandclinic.org,185.53.178.7,,mail.h-email.net,org,
Character Repeat,cleveelandclinic.org,185.53.179.7,,mail.h-email.net,org,
Character Repeat,clevelaandclinic.org,185.53.179.7,,mail.h-email.net,org,
Character Repeat,clevelandcclinic.org,185.53.179.6,,mail.h-email.net,org,
Character Repeat,clevelandcliinic.org,54.72.9.51,IN,INDIA,mail.h-email.net,org,
Character Repeat,clevelandclinicc.org,185.53.179.8,,mail.h-email.net,org,
Character Repeat,clevelandcliniic.org,185.53.179.7,,mail.h-email.net,org,
Character Repeat,clevelandclinnic.org,185.53.178.7,,mail.h-email.net,org,
Character Repeat,clevelandcllinic.org,199.191.50.73,,,org,
Character Repeat,clevelanddclinic.org,185.53.179.7,,mail.h-email.net,org,
Character Repeat,clevelanndclinic.org,185.53.179.7,,mail.h-email.net,org,
Character Repeat,clevellandclinic.org,185.53.178.7,,mail.h-email.net,org,
Character Repeat,clevvelandclinic.org,185.53.179.6,,mail.h-email.net,org,
Character Repeat,cllevelandclinic.org,185.53.179.7,,mail.h-email.net,org,
Character Swap,celvelandclinic.org,,?,,org,
Character Swap,cleevlandclinic.org,,?,,org,
Character Swap,clevealndclinic.org,,?,,org,
Character Swap,cleveladnclinic.org,,?,,org,
Character Swap,clevelancdlinic.org,,?,,org,
Character Swap,clevelandcilnic.org,,?,,org,
Character Swap,clevelandcliinc.org,,?,,org,
Character Swap,clevelandclinci.org,185.53.178.7,,mail.h-email.net,org,
Character Swap,clevelandclniic.org,,?,,org,
Character Swap,clevelandlcinic.org,185.53.179.6,,mail.h-email.net,org,
Character Swap,clevelnadclinic.org,185.53.178.6,,mail.h-email.net,org,
Character Swap,clevleandclinic.org,185.53.178.8,,mail.h-email.net,org,
Character Swap,clveelandclinic.org,,?,,org,
Character Swap,lcevelandclinic.org,,?,,org,
Character Replacement,ckevelandclinic.org,54.72.9.51,RO,ROMANIA,mail.h-email.net,org,
Character Replacement,clebelandclinic.org,185.53.178.8,,mail.h-email.net,org,
Character Replacement,clecelandclinic.org,185.53.179.7,,mail.h-email.net,org,
Character Replacement,clevekandclinic.org,185.53.179.7,,mail.h-email.net,org,
Character Replacement,clevelabdclinic.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,clevelamdclinic.org,185.53.178.6,,,org,
Character Replacement,clevelandckinic.org,185.53.178.8,,mail.h-email.net,org,
Character Replacement,clevelandclibic.org,185.53.178.7,,mail.h-email.net,org,
Character Replacement,clevelandclimic.org,185.53.178.9,,,org,
Character Replacement,clevelandcliniv.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,clevelandclinix.org,185.53.179.6,,mail.h-email.net,org,
Character Replacement,clevelandclinoc.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,clevelandclinuc.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,clevelandclonic.org,185.53.179.8,,mail.h-email.net,org,
Character Replacement,clevelandclunic.org,185.53.179.7,,,org,
Character Replacement,clevelandvlinic.org,185.53.178.9,,mail.h-email.net,org,
Character Replacement,clevelandxlinic.org,185.53.178.7,,mail.h-email.net,org,
Character Replacement,clevelanfclinic.org,185.53.178.8,,mail.h-email.net,org,
Character Replacement,clevelansclinic.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,clevelsndclinic.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,clevrlandclinic.org,185.53.179.6,,mail.h-email.net,org,
Character Replacement,clevwlandclinic.org,185.53.178.8,,mail.h-email.net,org,
Character Replacement,clrvelandclinic.org,,?,,org,
Character Replacement,clwvelandclinic.org,,?,,org,
Character Replacement,vlevelandclinic.org,,?,,org,
Character Replacement,xlevelandclinic.org,,?,,org,
Character Insertion,clervelandclinic.org,,?,,org,
Character Insertion,clevbelandclinic.org,,?,,org,
Character Insertion,clevcelandclinic.org,,?,,org,
Character Insertion,clevelanbdclinic.org,,?,,org,
Character Insertion,clevelandclinbic.org,,?,,org,
Character Insertion,clevelandclinicv.org,,?,,org,
Character Insertion,clevelandclinicx.org,,?,,org,
Character Insertion,clevelandclinioc.org,,?,,org,
Character Insertion,clevelandcliniuc.org,,?,,org,
Character Insertion,clevelandclinmic.org,,?,,org,
Character Insertion,clevelandclionic.org,,?,,org,
Character Insertion,clevelandcliunic.org,,?,,org,
Character Insertion,clevelandclkinic.org,,?,,org,
Character Insertion,clevelandcvlinic.org,,?,,org,
Character Insertion,clevelandcxlinic.org,,?,,org,
Character Insertion,clevelandfclinic.org,,?,,org,
Character Insertion,clevelandsclinic.org,,?,,org,
Character Insertion,clevelanmdclinic.org,,?,,org,
Character Insertion,clevelasndclinic.org,,?,,org,
Character Insertion,clevelkandclinic.org,,?,,org,
Character Insertion,cleverlandclinic.org,,?,,org,
Character Insertion,clevewlandclinic.org,,?,,org,
Character Insertion,clewvelandclinic.org,,?,,org,
Character Insertion,clkevelandclinic.org,,?,,org,
Character Insertion,cvlevelandclinic.org,,?,,org,
Character Insertion,cxlevelandclinic.org,,?,,org,
Missing Dot,clevelandclinicorg.com,,?,,com,
Missing Dot,wwwclevelandclinic.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Singular or Pluralise,clevelandclinics.org,,?,,org,
Vowel Swap,clavalandclinic.org,,?,,org,
Vowel Swap,clevelandclanac.org,,?,,org,
Vowel Swap,clevelandclenec.org,,?,,org,
Vowel Swap,clevelandclonoc.org,,?,,org,
Vowel Swap,clevelandclunuc.org,,?,,org,
Vowel Swap,clevelendclinic.org,,?,,org,
Vowel Swap,clevelindclinic.org,,?,,org,
Vowel Swap,clevelondclinic.org,,?,,org,
Vowel Swap,clevelundclinic.org,,?,,org,
Vowel Swap,clivilandclinic.org,,?,,org,
Vowel Swap,clovolandclinic.org,,?,,org,
Vowel Swap,cluvulandclinic.org,,?,,org,
Homophones,clevelandclayenayec.org,,?,,org,
Homophones,clevelandcleyeneyec.org,,?,,org,
Bit Flipping,alevelandclinic.org,,?,,org,
Bit Flipping,blevelandclinic.org,,?,,org,
Bit Flipping,cdevelandclinic.org,,?,,org,
Bit Flipping,chevelandclinic.org,,?,,org,
Bit Flipping,clavelandclinic.org,,?,,org,
