Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ciphunter.com,207.178.46.88,MG,MADAGASCAR,mail.wpdb.net,com,
Character Omission,clihunter.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Omission,cliphnter.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,cliphuner.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,cliphunte.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Omission,cliphunter.cm,85.25.199.30,DE,GERMANY,mx1.emailparking.com,cm,
Character Omission,cliphuntr.com,85.159.233.62,CN,CHINA,,com,
Character Omission,cliphuter.com,207.178.46.44,US,UNITED STATES,mail.wpdb.net,com,
Character Omission,clipunter.com,207.178.46.44,MA,MOROCCO,mail.wpdb.net,com,
Character Omission,clphunter.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Repeat,ccliphunter.com,103.224.212.254,,mx92.m1bp.com,com,
Character Repeat,cliiphunter.com,68.178.213.61,US,UNITED STATES,,com,
Character Repeat,cliphhunter.com,103.224.212.250,,park-mx.above.com,com,
Character Repeat,cliphunnter.com,185.53.179.15,,mail.h-email.net,com,
Character Repeat,cliphunteer.com,,?,,com,
Character Repeat,cliphunterr.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,cliphuntter.com,45.79.110.98,,,com,
Character Repeat,cliphuunter.com,208.73.210.202,US,UNITED STATES,,com,
Character Repeat,clipphunter.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Repeat,clliphunter.com,208.91.196.113,VG,VIRGIN ISLANDS (BRITISH),mail.b-io.co,com,
Character Swap,cilphunter.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,clihpunter.com,103.224.212.222,,mx92.mb5p.com,com,
Character Swap,cliphnuter.com,,?,,com,
Character Swap,cliphunetr.com,173.239.8.164,FR,FRANCE,mx7.cliphunetr.com,com,
Character Swap,cliphuntre.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Swap,cliphutner.com,95.211.219.65,NL,NETHERLANDS,,com,
Character Swap,clipuhnter.com,,?,,com,
Character Swap,clpihunter.com,52.71.185.125,US,UNITED STATES,,com,
Character Swap,lciphunter.com,,?,,com,
Character Replacement,ckiphunter.com,208.73.210.202,CA,CANADA,,com,
Character Replacement,cliohunter.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,clipgunter.com,52.73.71.92,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,cliphinter.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,cliphubter.com,216.157.88.27,_Ô,,,com,
Character Replacement,cliphumter.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,cliphunrer.com,213.247.47.190,NL,NETHERLANDS,mx7.cliphunrer.com,com,
Character Replacement,cliphuntee.com,199.59.242.150,RU,RUSSIAN FEDERATION,mx76.mb1p.com,com,
Character Replacement,cliphuntet.com,209.15.13.134,JP,JAPAN,mail.b-io.co,com,
Character Replacement,cliphuntrr.com,67.55.92.182,US,UNITED STATES,mx7.cliphuntrr.com,com,
Character Replacement,cliphuntwr.com,199.59.242.150,IN,INDIA,mx76.mb1p.com,com,
Character Replacement,cliphunyer.com,199.191.50.73,,,com,
Character Replacement,cliphynter.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,clipjunter.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,clophunter.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,cluphunter.com,68.178.213.61,US,UNITED STATES,,com,
Character Replacement,vliphunter.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,xliphunter.com,,?,,com,
Character Insertion,cliophunter.com,103.224.212.253,,park-mx.above.com,com,
Character Insertion,cliphgunter.com,,?,,com,
Character Insertion,cliphjunter.com,,?,,com,
Character Insertion,cliphuinter.com,173.239.8.164,US,UNITED STATES,mx7.cliphuinter.com,com,
Character Insertion,cliphunbter.com,,?,,com,
Character Insertion,cliphunmter.com,,?,,com,
Character Insertion,cliphuntere.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,cliphuntert.com,103.224.212.241,,mx92.m1bp.com,com,
Character Insertion,cliphuntewr.com,,?,,com,
Character Insertion,cliphuntrer.com,95.211.117.215,NL,NETHERLANDS,,com,
Character Insertion,cliphuntyer.com,,?,,com,
Character Insertion,cliphuynter.com,,?,,com,
Character Insertion,clipohunter.com,,?,,com,
Character Insertion,cliuphunter.com,103.224.212.222,,mx92.mb5p.com,com,
Character Insertion,clkiphunter.com,,?,,com,
Character Insertion,cvliphunter.com,,?,,com,
Character Insertion,cxliphunter.com,,?,,com,
Missing Dot,cliphuntercom.com,,?,,com,
Missing Dot,wwwcliphunter.com,103.224.182.246,,mx92.m1bp.com,com,
Singular or Pluralise,cliphunters.com,103.224.182.244,,mx92.mb5p.com,com,
Vowel Swap,claphunter.com,,?,,com,
Vowel Swap,clephunter.com,,?,,com,
Vowel Swap,cliphanter.com,98.124.245.24,PH,PHILIPPINES,mail.b-io.co,com,
Vowel Swap,cliphenter.com,,?,,com,
Vowel Swap,cliphonter.com,,?,,com,
Vowel Swap,cliphuntar.com,,?,,com,
Vowel Swap,cliphuntir.com,,?,,com,
Vowel Swap,cliphuntor.com,,?,,com,
Vowel Swap,cliphuntur.com,103.224.212.222,,park-mx.above.com,com,
Homophones,clayephunter.com,,?,,com,
Homophones,cleyephunter.com,,?,,com,
Bit Flipping,aliphunter.com,,?,,com,
Bit Flipping,bliphunter.com,,?,,com,
Bit Flipping,cdiphunter.com,,?,,com,
Bit Flipping,chiphunter.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,clhphunter.com,,?,,com,
Bit Flipping,cli0hunter.com,,?,,com,
Bit Flipping,cliph5nter.com,,?,,com,
Bit Flipping,cliphqnter.com,,?,,com,
Bit Flipping,cliphtnter.com,,?,,com,
Bit Flipping,cliphu.ter.com,,?,,com,
Bit Flipping,cliphufter.com,,?,,com,
Bit Flipping,cliphujter.com,,?,,com,
Bit Flipping,cliphulter.com,,?,,com,
Bit Flipping,cliphun4er.com,,?,,com,
Bit Flipping,cliphunder.com,208.91.196.102,US,UNITED STATES,,com,
Bit Flipping,cliphunper.com,,?,,com,
Bit Flipping,cliphuntdr.com,,?,,com,
Bit Flipping,cliphunte2.com,,?,,com,
Bit Flipping,cliphunteb.com,,?,,com,
Bit Flipping,cliphuntep.com,,?,,com,
Bit Flipping,cliphuntes.com,,?,,com,
Bit Flipping,cliphuntev.com,,?,,com,
Bit Flipping,cliphuntez.com,,?,,com,
Bit Flipping,cliphuntgr.com,,?,,com,
Bit Flipping,cliphuntmr.com,,?,,com,
Bit Flipping,cliphunuer.com,,?,,com,
Bit Flipping,cliphunver.com,,?,,com,
Bit Flipping,cliphuoter.com,,?,,com,
Bit Flipping,cliphwnter.com,,?,,com,
Bit Flipping,clipiunter.com,,?,,com,
Bit Flipping,cliplunter.com,,?,,com,
Bit Flipping,clipxunter.com,,?,,com,
Bit Flipping,cliqhunter.com,,?,,com,
Bit Flipping,clirhunter.com,,?,,com,
Bit Flipping,clithunter.com,81.169.141.175,DE,GERMANY,mail.clithunter.com,com,
Bit Flipping,clixhunter.com,104.27.160.144,,server1.xalvira.com,com,
Bit Flipping,clkphunter.com,,?,,com,
Bit Flipping,clmphunter.com,,?,,com,
Bit Flipping,clyphunter.com,,?,,com,
Bit Flipping,cmiphunter.com,,?,,com,
Bit Flipping,cniphunter.com,,?,,com,
Bit Flipping,gliphunter.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,kliphunter.com,185.53.178.14,,mail.h-email.net,com,
Bit Flipping,sliphunter.com,81.169.141.175,DE,GERMANY,mail.sliphunter.com,com,
Homoglyphs,c1iphunter.com,,?,,com,
Homoglyphs,cllphunter.com,,?,,com,
Homoglyphs,diphunter.com,,?,,com,
Wrong TLD,cliphunter.ca,199.59.242.150,CN,CHINA,mx76.mb1p.com,ca,
Wrong TLD,cliphunter.ch,,?,,ch,
Wrong TLD,cliphunter.de,69.16.230.42,US,UNITED STATES,mx156.hostedmxserver.com,de,
Wrong TLD,cliphunter.edu,,?,,edu,
Wrong TLD,cliphunter.es,,?,,es,
Wrong TLD,cliphunter.fr,208.73.211.177,US,UNITED STATES,,fr,
