Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cblogs.com,52.73.71.92,US,UNITED STATES,,com,
Character Omission,cnblgs.com,,?,,com,
Character Omission,cnblog.com,103.59.164.125,,cnblog.com,com,
Character Omission,cnblogs.cm,,?,,cm,
Character Omission,cnblos.com,,?,,com,
Character Omission,cnbogs.com,,?,,com,
Character Omission,cnlogs.com,45.199.102.98,,,com,
Character Repeat,ccnblogs.com,,?,,com,
Character Repeat,cnbblogs.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,cnbllogs.com,,?,,com,
Character Repeat,cnbloggs.com,,?,,com,
Character Repeat,cnblogss.com,,?,,com,
Character Repeat,cnbloogs.com,,?,,com,
Character Repeat,cnnblogs.com,123.56.224.170,CN,CHINA,mxbiz2.qq.com,com,
Character Swap,cbnlogs.com,,?,,com,
Character Swap,cnblgos.com,,?,,com,
Character Swap,cnblosg.com,,?,,com,
Character Swap,cnbolgs.com,,?,,com,
Character Swap,cnlbogs.com,45.33.9.234,,mail.mxproc.com,com,
Character Swap,ncblogs.com,153.120.43.171,JP,JAPAN,,com,
Character Replacement,cbblogs.com,192.185.167.118,,mail.cbblogs.com,com,
Character Replacement,cmblogs.com,216.104.165.14,US,UNITED STATES,mx1.daemonmail.net,com,
Character Replacement,cnbkogs.com,,?,,com,
Character Replacement,cnbligs.com,,?,,com,
Character Replacement,cnblofs.com,,?,,com,
Character Replacement,cnbloga.com,,?,,com,
Character Replacement,cnblogd.com,,?,,com,
Character Replacement,cnblohs.com,,?,,com,
Character Replacement,cnblpgs.com,,?,,com,
Character Replacement,cnnlogs.com,,?,,com,
Character Replacement,cnvlogs.com,,?,,com,
Character Replacement,vnblogs.com,208.73.211.177,US,UNITED STATES,,com,
Character Replacement,xnblogs.com,,?,,com,
Character Insertion,cnblkogs.com,,?,,com,
Character Insertion,cnblogfs.com,,?,,com,
Character Insertion,cnbloghs.com,,?,,com,
Character Insertion,cnblogsa.com,,?,,com,
Character Insertion,cnblogsd.com,,?,,com,
Character Insertion,cnbloigs.com,,?,,com,
Character Insertion,cnblopgs.com,,?,,com,
Character Insertion,cnbnlogs.com,,?,,com,
Character Insertion,cnbvlogs.com,,?,,com,
Character Insertion,cnmblogs.com,,?,,com,
Character Insertion,cvnblogs.com,,?,,com,
Character Insertion,cxnblogs.com,,?,,com,
Missing Dot,cnblogscom.com,,?,,com,
Missing Dot,wwwcnblogs.com,,?,,com,
Homophones,cnblowgs.com,,?,,com,
Bit Flipping,anblogs.com,204.11.56.48,,,com,
Bit Flipping,bnblogs.com,,?,,com,
Bit Flipping,c.blogs.com,104.16.108.123,,mail.typepad.com,com,
Bit Flipping,cfblogs.com,162.247.152.132,,cfblogs.com,com,
Bit Flipping,cjblogs.com,52.71.185.125,PL,POLAND,,com,
Bit Flipping,clblogs.com,,?,,com,
Bit Flipping,cnbdogs.com,,?,,com,
Bit Flipping,cnbhogs.com,,?,,com,
Bit Flipping,cnblggs.com,,?,,com,
Bit Flipping,cnblkgs.com,,?,,com,
Bit Flipping,cnblmgs.com,,?,,com,
Bit Flipping,cnblngs.com,,?,,com,
Bit Flipping,cnblocs.com,,?,,com,
Bit Flipping,cnbloes.com,,?,,com,
Bit Flipping,cnblog3.com,,?,,com,
Bit Flipping,cnblogc.com,,?,,com,
Bit Flipping,cnblogq.com,,?,,com,
Bit Flipping,cnblogr.com,,?,,com,
Bit Flipping,cnblogw.com,,?,,com,
Bit Flipping,cnbloos.com,,?,,com,
Bit Flipping,cnblows.com,,?,,com,
Bit Flipping,cnbmogs.com,,?,,com,
Bit Flipping,cnbnogs.com,,?,,com,
Bit Flipping,cnclogs.com,50.63.202.59,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,cnflogs.com,,?,,com,
Bit Flipping,cnjlogs.com,,?,,com,
Bit Flipping,cnrlogs.com,,?,,com,
Bit Flipping,coblogs.com,34.205.230.71,US,UNITED STATES,,com,
Bit Flipping,gnblogs.com,,?,,com,
Bit Flipping,knblogs.com,50.63.202.49,US,UNITED STATES,,com,
Bit Flipping,snblogs.com,,?,,com,
Homoglyphs,cnb1ogs.com,,?,,com,
Homoglyphs,cnbl0gs.com,,?,,com,
Wrong TLD,cnblogs.ca,,?,,ca,
Wrong TLD,cnblogs.ch,,?,,ch,
Wrong TLD,cnblogs.de,,?,,de,
Wrong TLD,cnblogs.edu,,?,,edu,
Wrong TLD,cnblogs.es,,?,,es,
Wrong TLD,cnblogs.fr,,?,,fr,
Wrong TLD,cnblogs.it,,?,,it,
Wrong TLD,cnblogs.jp,,?,,jp,
Wrong TLD,cnblogs.net,,?,,net,
Wrong TLD,cnblogs.nl,,?,,nl,
Wrong TLD,cnblogs.no,,?,,no,
Wrong TLD,cnblogs.org,,?,,org,
Wrong TLD,cnblogs.ru,,?,,ru,
Wrong TLD,cnblogs.se,52.58.78.16,US,UNITED STATES,mx224.mb1p.com,se,
Wrong TLD,cnblogs.us,,?,,us,

