Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cet.com,206.63.224.3,US,UNITED STATES,sm1.cet.com,com,
Character Omission,cne.com,173.205.126.118,US,UNITED STATES,cne.com.1.0001.arsmtp.com,com,
Character Omission,cnet.cm,,?,,cm,
Character Omission,cnt.com,,?,,com,
Character Repeat,ccnet.com,,?,,com,
Character Repeat,cneet.com,68.178.213.61,US,UNITED STATES,,com,
Character Repeat,cnett.com,66.63.171.125,US,UNITED STATES,mail.cnett.com,com,
Character Repeat,cnnet.com,69.163.217.25,US,UNITED STATES,mx1.sub4.homie.mail.dreamhost.com,com,
Character Swap,cent.com,63.83.24.245,US,UNITED STATES,cent-com.mail.protection.outlook.com,com,
Character Swap,cnte.com,72.9.105.30,US,UNITED STATES,,com,
Character Swap,ncet.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,cbet.com,50.63.202.24,US,UNITED STATES,,com,
Character Replacement,cmet.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Replacement,cner.com,149.56.196.219,US,UNITED STATES,,com,
Character Replacement,cney.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,cnrt.com,,?,,com,
Character Replacement,cnwt.com,72.9.105.30,US,UNITED STATES,,com,
Character Replacement,vnet.com,166.82.1.97,US,UNITED STATES,smtp-i.mail.ctc.net,com,
Character Replacement,xnet.com,198.147.221.66,BE,BELGIUM,mx1.xnet.com,com,
Character Insertion,cnbet.com,104.160.171.90,,,com,
Character Insertion,cnert.com,119.29.131.245,CN,CHINA,mxbiz1.qq.com,com,
Character Insertion,cnetr.com,68.178.213.61,US,UNITED STATES,,com,
Character Insertion,cnety.com,64.30.224.118,US,UNITED STATES,,com,
Character Insertion,cnewt.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,cnmet.com,,?,,com,
Character Insertion,cvnet.com,167.206.112.7,US,UNITED STATES,,com,
Character Insertion,cxnet.com,121.254.178.232,KR,KOREA REPUBLIC OF,,com,
Missing Dot,cnetcom.com,192.64.119.30,,eforward2.registrar-servers.com,com,
Missing Dot,wwwcnet.com,72.52.4.120,US,UNITED STATES,localhost,com,
Singular or Pluralise,cnets.com,208.73.211.177,US,UNITED STATES,,com,
Vowel Swap,cnat.com,72.52.4.122,US,UNITED STATES,localhost,com,
Vowel Swap,cnit.com,62.23.5.120,GB,UNITED KINGDOM,mxb-001c6c01.gslb.pphosted.com,com,
Vowel Swap,cnot.com,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,com,
Vowel Swap,cnut.com,75.119.201.81,US,UNITED STATES,vade-in2.mail.dreamhost.com,com,
Bit Flipping,anet.com,,?,backupmx1.mail.cogentco.com,com,
Bit Flipping,bnet.com,64.30.228.166,US,UNITED STATES,phx1-mx.cbsi.com,com,
Bit Flipping,c.et.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,cfet.com,144.76.160.128,DE,GERMANY,mail.cfet.com,com,
Bit Flipping,cjet.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,clet.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,cndt.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,cne4.com,122.9.38.30,CN,CHINA,,com,
Bit Flipping,cned.com,,?,,com,
Bit Flipping,cnep.com,192.64.119.183,,,com,
Bit Flipping,cneu.com,72.34.51.46,US,UNITED STATES,,com,
Bit Flipping,cnev.com,47.89.58.32,CA,CANADA,,com,
Bit Flipping,cngt.com,184.168.221.104,US,UNITED STATES,,com,
Bit Flipping,cnmt.com,,?,,com,
Bit Flipping,coet.com,72.9.105.30,US,UNITED STATES,,com,
Bit Flipping,gnet.com,74.125.95.121,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Bit Flipping,knet.com,208.39.73.0,CA,CANADA,,com,
Bit Flipping,snet.com,,?,mxb-00191d02.gslb.pphosted.com,com,
Wrong TLD,cnet.ca,,?,,ca,
Wrong TLD,cnet.ch,,?,,ch,
Wrong TLD,cnet.de,95.131.143.115,FR,FRANCE,,de,
Wrong TLD,cnet.edu,,?,,edu,
Wrong TLD,cnet.es,,?,,es,
Wrong TLD,cnet.fr,146.185.42.33,FR,FRANCE,,fr,
Wrong TLD,cnet.it,88.149.156.62,IT,ITALY,smtp.cnet.it,it,
Wrong TLD,cnet.jp,,?,po.cnet.jp,jp,
Wrong TLD,cnet.net,64.99.64.37,CA,CANADA,,net,
Wrong TLD,cnet.nl,213.239.154.30,NL,NETHERLANDS,mail.tweakers.net,nl,
Wrong TLD,cnet.no,185.53.178.7,,mail.h-email.net,no,
Wrong TLD,cnet.org,46.43.15.168,GB,UNITED KINGDOM,aspmx3.l.googlemail.com,org,
Wrong TLD,cnet.ru,62.206.46.111,DE,GERMANY,cornet.mas.de,ru,
Wrong TLD,cnet.se,212.214.80.136,SE,SWEDEN,cnet-se.mail.protection.outlook.com,se,
Wrong TLD,cnet.us,,?,,us,

