Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cn.com,204.13.84.101,US,UNITED STATES,mx-01.emailme.com,com,
Character Omission,cnn.cm,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,cm,
Character Repeat,ccnn.com,204.93.163.59,US,UNITED STATES,,com,
Character Repeat,cnnn.com,192.185.5.15,,cnnn.com,com,
Character Swap,ncn.com,,?,,com,
Character Replacement,cbn.com,159.26.226.160,US,UNITED STATES,mxa-001bb901.gslb.pphosted.com,com,
Character Replacement,cmn.com,104.24.17.48,,aspmx2.googlemail.com,com,
Character Replacement,cnb.com,107.154.104.137,,cnb-com.mail.protection.outlook.com,com,
Character Replacement,cnm.com,,?,alt2.aspmx.l.google.com,com,
Character Replacement,vnn.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,xnn.com,69.172.201.153,US,UNITED STATES,,com,
Double Character Replacement,cbb.com,216.178.69.62,US,UNITED STATES,smtp.secureserver.net,com,
Double Character Replacement,cmm.com,,?,,com,
Character Insertion,cnbn.com,37.48.65.151,NL,NETHERLANDS,,com,
Character Insertion,cnmn.com,47.89.194.64,CA,CANADA,,com,
Character Insertion,cnnb.com,103.60.164.66,,mxbiz1.qq.com,com,
Character Insertion,cnnm.com,,?,,com,
Character Insertion,cvnn.com,185.53.179.7,,mail.h-email.net,com,
Character Insertion,cxnn.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Missing Dot,cnncom.com,,?,,com,
Missing Dot,wwwcnn.com,157.166.173.157,US,UNITED STATES,atlmail0.turner.com,com,
Singular or Pluralise,cnns.com,23.234.4.153,,,com,
Bit Flipping,ann.com,98.124.199.125,US,UNITED STATES,mx.ann.com.cust.a.hostedemail.com,com,
Bit Flipping,bnn.com,,?,,com,
Bit Flipping,c.n.com,,?,,com,
Bit Flipping,cfn.com,208.16.212.53,US,UNITED STATES,,com,
Bit Flipping,cjn.com,103.47.250.46,,,com,
Bit Flipping,cln.com,69.172.201.153,ES,SPAIN,,com,
Bit Flipping,cnf.com,63.230.176.225,US,UNITED STATES,mx0b-002b6701.pphosted.com,com,
Bit Flipping,cnj.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,cnl.com,34.196.64.80,US,UNITED STATES,mxa-0019bf01.gslb.pphosted.com,com,
Bit Flipping,cno.com,141.8.224.183,CH,SWITZERLAND,,com,
Bit Flipping,con.com,185.53.177.31,,blackhole.con.com,com,
Bit Flipping,gnn.com,37.58.107.93,NL,NETHERLANDS,mail.efty.com,com,
Bit Flipping,knn.com,47.52.116.99,CA,CANADA,,com,
Bit Flipping,snn.com,69.36.185.2,US,UNITED STATES,snn.com,com,
Wrong TLD,cnn.ca,208.56.123.43,US,UNITED STATES,mail.cnn.ca,ca,
Wrong TLD,cnn.ch,157.166.226.46,US,UNITED STATES,atlmail0.turner.com,ch,
Wrong TLD,cnn.de,157.166.224.184,US,UNITED STATES,atlmail0.turner.com,de,
Wrong TLD,cnn.edu,,?,,edu,
Wrong TLD,cnn.es,157.166.226.26,US,UNITED STATES,atlmail0.turner.com,es,
Wrong TLD,cnn.fr,157.166.255.32,US,UNITED STATES,atlmail0.turner.com,fr,
Wrong TLD,cnn.it,67.199.248.13,CN,CHINA,atlmail0.turner.com,it,
Wrong TLD,cnn.jp,67.199.248.12,US,UNITED STATES,,jp,
Wrong TLD,cnn.net,157.166.226.26,US,UNITED STATES,atlmail0.turner.com,net,
Wrong TLD,cnn.nl,157.166.226.46,US,UNITED STATES,atlmail0.turner.com,nl,
Wrong TLD,cnn.no,185.53.178.8,,,no,
Wrong TLD,cnn.org,157.166.226.46,US,UNITED STATES,atlmail0.turner.com,org,
Wrong TLD,cnn.ru,91.195.240.135,DE,GERMANY,,ru,
Wrong TLD,cnn.se,109.74.4.246,SE,SWEDEN,mail.parking.se,se,
Wrong TLD,cnn.us,,?,,us,

