Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cinmarketcap.com,209.141.38.71,CA,CANADA,,com,
Character Omission,coimarketcap.com,46.166.189.98,GB,UNITED KINGDOM,,com,
Character Omission,coinarketcap.com,209.141.38.71,CA,CANADA,,com,
Character Omission,coinmaketcap.com,173.239.5.6,PK,PAKISTAN,mx7.coinmaketcap.com,com,
Character Omission,coinmaretcap.com,207.244.67.138,US,UNITED STATES,,com,
Character Omission,coinmarkecap.com,213.247.47.190,NL,NETHERLANDS,mx7.coinmarkecap.com,com,
Character Omission,coinmarketap.com,107.161.23.204,,,com,
Character Omission,coinmarketca.com,95.183.53.20,TR,TURKEY,,com,
Character Omission,coinmarketcap.cm,199.59.242.150,CN,CHINA,mx76.m2bp.com,cm,
Character Omission,coinmarketcp.com,95.183.53.20,RU,RUSSIAN FEDERATION,,com,
Character Omission,coinmarktcap.com,95.183.53.20,JP,JAPAN,,com,
Character Omission,coinmrketcap.com,95.183.53.20,DE,GERMANY,,com,
Character Omission,conmarketcap.com,69.162.80.53,RO,ROMANIA,,com,
Character Repeat,ccoinmarketcap.com,104.200.18.162,,mail.mxproc.com,com,
Character Repeat,coiinmarketcap.com,141.8.224.93,ç,,,com,
Character Repeat,coinmaarketcap.com,141.8.224.93,NL,NETHERLANDS,,com,
Character Repeat,coinmarkeetcap.com,184.168.221.54,US,UNITED STATES,,com,
Character Repeat,coinmarketcaap.com,185.53.179.6,,mail.h-email.net,com,
Character Repeat,coinmarketcapp.com,23.236.62.147,,,com,
Character Repeat,coinmarketccap.com,50.63.202.55,US,UNITED STATES,,com,
Character Repeat,coinmarkettcap.com,50.63.202.39,US,UNITED STATES,,com,
Character Repeat,coinmarkketcap.com,198.58.122.166,,mail.mxproc.com,com,
Character Repeat,coinmarrketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,coinmmarketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,coinnmarketcap.com,103.224.212.222,,mx92.mb5p.com,com,
Character Repeat,cooinmarketcap.com,104.237.142.245,,mail.mxproc.com,com,
Character Swap,cionmarketcap.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Swap,coimnarketcap.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Swap,coinamrketcap.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Swap,coinmakretcap.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Swap,coinmarektcap.com,162.210.195.123,,,com,
Character Swap,coinmarkectap.com,184.168.221.58,ç,,,com,
Character Swap,coinmarketacp.com,184.168.221.47,US,UNITED STATES,,com,
Character Swap,coinmarketcpa.com,50.63.202.47,JP,JAPAN,,com,
Character Swap,coinmarktecap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,coinmraketcap.com,,?,,com,
Character Swap,conimarketcap.com,104.200.18.162,,mail.mxproc.com,com,
Character Swap,ocinmarketcap.com,,?,,com,
Character Replacement,ciinmarketcap.com,184.168.221.33,ES,SPAIN,,com,
Character Replacement,coibmarketcap.com,198.58.122.166,,mail.mxproc.com,com,
Character Replacement,coimmarketcap.com,162.255.119.190,,eforward4.registrar-servers.com,com,
Character Replacement,coinmaeketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,coinmarjetcap.com,141.8.224.93,GE,GEORGIA,,com,
Character Replacement,coinmarkercap.com,184.168.221.104,US,UNITED STATES,,com,
Character Replacement,coinmarketcao.com,72.52.178.23,CA,CANADA,mx156.hostedmxserver.com,com,
Character Replacement,coinmarketcsp.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,coinmarketvap.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,coinmarketxap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,coinmarkeycap.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,coinmarkrtcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,coinmarkwtcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,coinmarletcap.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,coinmatketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,coinmsrketcap.com,45.56.64.26,,mail.mxproc.com,com,
Character Replacement,coinnarketcap.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,coonmarketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,counmarketcap.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,cpinmarketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,voinmarketcap.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,xoinmarketcap.com,72.52.4.120,çä,,localhost,com,
Character Insertion,coinbmarketcap.com,50.63.202.43,RU,RUSSIAN FEDERATION,,com,
Character Insertion,coinmareketcap.com,184.168.221.35,US,UNITED STATES,,com,
Character Insertion,coinmarkertcap.com,45.33.9.234,,mail.mxproc.com,com,
Character Insertion,coinmarketcapo.com,184.168.221.44,US,UNITED STATES,,com,
Character Insertion,coinmarketcasp.com,184.168.221.32,US,UNITED STATES,,com,
Character Insertion,coinmarketcvap.com,50.63.202.56,US,UNITED STATES,,com,
Character Insertion,coinmarketcxap.com,50.63.202.45,H5,,,com,
Character Insertion,coinmarketrcap.com,184.168.221.58,US,UNITED STATES,,com,
Character Insertion,coinmarketycap.com,50.63.202.61,∏©,,,com,
Character Insertion,coinmarkewtcap.com,184.168.221.40,US,UNITED STATES,,com,
Character Insertion,coinmarkjetcap.com,184.168.221.43,US,UNITED STATES,,com,
Character Insertion,coinmarkletcap.com,50.63.202.63,US,UNITED STATES,,com,
Character Insertion,coinmartketcap.com,45.33.9.234,,mail.pickelhost.com,com,
Character Insertion,coinmasrketcap.com,50.63.202.56,ç,,,com,
Character Insertion,coinmnarketcap.com,184.168.221.33,AT,AUSTRIA,,com,
Character Insertion,coionmarketcap.com,50.63.202.33,US,UNITED STATES,,com,
Character Insertion,coiunmarketcap.com,184.168.221.44,US,UNITED STATES,,com,
Character Insertion,copinmarketcap.com,,?,,com,
Character Insertion,cvoinmarketcap.com,50.63.202.36,US,UNITED STATES,,com,
Character Insertion,cxoinmarketcap.com,50.63.202.47,US,UNITED STATES,,com,
Missing Dot,coinmarketcapcom.com,184.168.221.43,US,UNITED STATES,,com,
Missing Dot,wwwcoinmarketcap.com,141.8.224.93,CH,SWITZERLAND,,com,
Singular or Pluralise,coinmarketcaps.com,50.63.202.31,US,UNITED STATES,,com,
Vowel Swap,coanmarketcap.com,,?,,com,
Vowel Swap,coenmarketcap.com,72.52.4.122,US,UNITED STATES,localhost,com,
Vowel Swap,coinmarkatcap.com,45.56.120.164,,mail.mxproc.com,com,
Vowel Swap,coinmarkitcap.com,72.52.4.122,US,UNITED STATES,localhost,com,
Vowel Swap,coinmarkotcap.com,,?,,com,
Vowel Swap,coinmarkutcap.com,50.63.202.41,CA,CANADA,,com,
Vowel Swap,coinmerketcep.com,50.63.202.32,US,UNITED STATES,,com,
Vowel Swap,coinmirketcip.com,,?,,com,
Vowel Swap,coinmorketcop.com,,?,,com,
Vowel Swap,coinmurketcup.com,,?,,com,
