Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cintelegraph.com,,?,,com,
Character Omission,coinelegraph.com,,?,,com,
Character Omission,cointeegraph.com,,?,,com,
Character Omission,cointelegaph.com,,?,,com,
Character Omission,cointelegrah.com,72.52.4.122,RU,RUSSIAN FEDERATION,localhost,com,
Character Omission,cointelegrap.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Omission,cointelegraph.cm,72.52.4.122,US,UNITED STATES,localhost,cm,
Character Omission,cointelegrph.com,,?,,com,
Character Omission,cointeleraph.com,,?,,com,
Character Omission,cointelgraph.com,45.33.9.234,,mail.mxproc.com,com,
Character Omission,cointlegraph.com,,?,,com,
Character Omission,coitelegraph.com,,?,,com,
Character Omission,contelegraph.com,,?,,com,
Character Repeat,ccointelegraph.com,,?,,com,
Character Repeat,coiintelegraph.com,,?,,com,
Character Repeat,coinntelegraph.com,,?,,com,
Character Repeat,cointeelegraph.com,,?,,com,
Character Repeat,cointeleegraph.com,,?,,com,
Character Repeat,cointeleggraph.com,,?,,com,
Character Repeat,cointelegraaph.com,,?,,com,
Character Repeat,cointelegraphh.com,,?,,com,
Character Repeat,cointelegrapph.com,,?,,com,
Character Repeat,cointelegrraph.com,,?,,com,
Character Repeat,cointellegraph.com,,?,,com,
Character Repeat,cointtelegraph.com,,?,,com,
Character Repeat,coointelegraph.com,,?,,com,
Character Swap,ciontelegraph.com,162.255.119.14,,eforward3.registrar-servers.com,com,
Character Swap,coinetlegraph.com,,?,,com,
Character Swap,cointeelgraph.com,,?,,com,
Character Swap,cointelegarph.com,,?,,com,
Character Swap,cointelegrahp.com,,?,,com,
Character Swap,cointelegrpah.com,,?,,com,
Character Swap,cointelergaph.com,,?,,com,
Character Swap,cointelgeraph.com,,?,,com,
Character Swap,cointleegraph.com,,?,,com,
Character Swap,coitnelegraph.com,,?,,com,
Character Swap,conitelegraph.com,,?,,com,
Character Swap,ocintelegraph.com,,?,,com,
Character Replacement,ciintelegraph.com,,?,,com,
Character Replacement,coibtelegraph.com,,?,,com,
Character Replacement,coimtelegraph.com,,?,,com,
Character Replacement,coinrelegraph.com,,?,,com,
Character Replacement,cointekegraph.com,,?,,com,
Character Replacement,cointelefraph.com,,?,,com,
Character Replacement,cointelegeaph.com,,?,,com,
Character Replacement,cointelegraoh.com,,?,,com,
Character Replacement,cointelegrapg.com,,?,,com,
Character Replacement,cointelegrapj.com,,?,,com,
Character Replacement,cointelegrsph.com,,?,,com,
Character Replacement,cointelegtaph.com,,?,,com,
Character Replacement,cointelehraph.com,,?,,com,
Character Replacement,cointelrgraph.com,,?,,com,
Character Replacement,cointelwgraph.com,,?,,com,
Character Replacement,cointrlegraph.com,,?,,com,
Character Replacement,cointwlegraph.com,,?,,com,
Character Replacement,coinyelegraph.com,,?,,com,
Character Replacement,coontelegraph.com,,?,,com,
Character Replacement,countelegraph.com,,?,,com,
