Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,clorado.edu,,?,,edu,
Character Omission,coloado.edu,,?,,edu,
Character Omission,colorad.edu,,?,,edu,
Character Omission,colorado.eu,72.52.10.14,RU,RUSSIAN FEDERATION,bh.markmonitor.com,eu,
Character Omission,colorao.edu,,?,,edu,
Character Omission,colordo.edu,,?,,edu,
Character Omission,colrado.edu,,?,,edu,
Character Omission,coorado.edu,,?,,edu,
Character Repeat,ccolorado.edu,,?,,edu,
Character Repeat,collorado.edu,,?,,edu,
Character Repeat,coloorado.edu,,?,,edu,
Character Repeat,coloraado.edu,,?,,edu,
Character Repeat,coloraddo.edu,,?,,edu,
Character Repeat,coloradoo.edu,,?,,edu,
Character Repeat,colorrado.edu,,?,,edu,
Character Repeat,coolorado.edu,,?,,edu,
Character Swap,cloorado.edu,,?,,edu,
Character Swap,coloardo.edu,,?,,edu,
Character Swap,coloraod.edu,,?,,edu,
Character Swap,colordao.edu,,?,,edu,
Character Swap,colroado.edu,,?,,edu,
Character Swap,coolrado.edu,,?,,edu,
Character Swap,oclorado.edu,,?,,edu,
Character Replacement,cilorado.edu,,?,,edu,
Character Replacement,cokorado.edu,,?,,edu,
Character Replacement,colirado.edu,,?,,edu,
Character Replacement,coloeado.edu,,?,,edu,
Character Replacement,coloradi.edu,,?,,edu,
Character Replacement,coloradp.edu,,?,,edu,
Character Replacement,colorafo.edu,,?,,edu,
Character Replacement,coloraso.edu,,?,,edu,
Character Replacement,colorsdo.edu,,?,,edu,
Character Replacement,colotado.edu,,?,,edu,
Character Replacement,colprado.edu,,?,,edu,
Character Replacement,cplorado.edu,,?,,edu,
Character Replacement,volorado.edu,,?,,edu,
Character Replacement,xolorado.edu,,?,,edu,
Character Insertion,coilorado.edu,,?,,edu,
Character Insertion,colkorado.edu,,?,,edu,
Character Insertion,coloirado.edu,,?,,edu,
Character Insertion,coloprado.edu,,?,,edu,
Character Insertion,coloradfo.edu,,?,,edu,
Character Insertion,coloradoi.edu,,?,,edu,
Character Insertion,coloradop.edu,,?,,edu,
Character Insertion,coloradso.edu,,?,,edu,
Character Insertion,colorasdo.edu,,?,,edu,
Character Insertion,coloreado.edu,,?,,edu,
Character Insertion,colortado.edu,,?,,edu,
Character Insertion,coplorado.edu,,?,,edu,
Character Insertion,cvolorado.edu,,?,,edu,
Character Insertion,cxolorado.edu,,?,,edu,
Missing Dot,coloradoedu.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,wwwcolorado.edu,,?,,edu,
Singular or Pluralise,colorados.edu,,?,,edu,
Vowel Swap,calarada.edu,,?,,edu,
Vowel Swap,celerade.edu,,?,,edu,
Vowel Swap,ciliradi.edu,,?,,edu,
Vowel Swap,coloredo.edu,,?,,edu,
Vowel Swap,colorido.edu,,?,,edu,
Vowel Swap,colorodo.edu,,?,,edu,
Vowel Swap,colorudo.edu,,?,,edu,
Vowel Swap,culuradu.edu,,?,,edu,
Homophones,coloarado.edu,,?,,edu,
Homophones,coloradew.edu,,?,,edu,
Homophones,coloradieu.edu,,?,,edu,
Homophones,coloradue.edu,,?,,edu,
Homophones,colowrado.edu,,?,,edu,
Bit Flipping,aolorado.edu,,?,,edu,
Bit Flipping,bolorado.edu,,?,,edu,
Bit Flipping,cglorado.edu,,?,,edu,
Bit Flipping,cklorado.edu,,?,,edu,
Bit Flipping,cmlorado.edu,,?,,edu,
Bit Flipping,cnlorado.edu,,?,,edu,
Bit Flipping,codorado.edu,,?,,edu,
Bit Flipping,cohorado.edu,,?,,edu,
Bit Flipping,colgrado.edu,,?,,edu,
Bit Flipping,colkrado.edu,,?,,edu,
Bit Flipping,colmrado.edu,,?,,edu,
Bit Flipping,colnrado.edu,,?,,edu,
Bit Flipping,colo2ado.edu,,?,,edu,
Bit Flipping,colobado.edu,,?,,edu,
Bit Flipping,colopado.edu,,?,,edu,
Bit Flipping,coloradg.edu,,?,,edu,
Bit Flipping,coloradk.edu,,?,,edu,
Bit Flipping,coloradm.edu,,?,,edu,
Bit Flipping,coloradn.edu,,?,,edu,
Bit Flipping,coloraeo.edu,,?,,edu,
Bit Flipping,coloralo.edu,,?,,edu,
Bit Flipping,colorato.edu,,?,,edu,
Bit Flipping,colorcdo.edu,,?,,edu,
Bit Flipping,colorqdo.edu,,?,,edu,
Bit Flipping,colosado.edu,,?,,edu,
Bit Flipping,colovado.edu,,?,,edu,
Bit Flipping,colozado.edu,,?,,edu,
Bit Flipping,comorado.edu,,?,,edu,
Bit Flipping,conorado.edu,,?,,edu,
Bit Flipping,golorado.edu,,?,,edu,
Bit Flipping,kolorado.edu,,?,,edu,
Bit Flipping,solorado.edu,,?,,edu,
Homoglyphs,c0l0rad0.edu,,?,,edu,
Homoglyphs,c0l0rado.edu,,?,,edu,
Homoglyphs,c0lorad0.edu,,?,,edu,
Homoglyphs,c0lorado.edu,,?,,edu,
