Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,clumbia.edu,,?,,edu,
Character Omission,colmbia.edu,,?,,edu,
Character Omission,colubia.edu,,?,,edu,
Character Omission,columba.edu,,?,,edu,
Character Omission,columbi.edu,,?,,edu,
Character Omission,columbia.eu,,?,,eu,
Character Omission,columia.edu,,?,,edu,
Character Omission,coumbia.edu,,?,,edu,
Character Repeat,ccolumbia.edu,,?,,edu,
Character Repeat,collumbia.edu,,?,,edu,
Character Repeat,columbbia.edu,,?,,edu,
Character Repeat,columbiaa.edu,,?,,edu,
Character Repeat,columbiia.edu,,?,,edu,
Character Repeat,colummbia.edu,,?,,edu,
Character Repeat,coluumbia.edu,,?,,edu,
Character Repeat,coolumbia.edu,,?,,edu,
Character Swap,cloumbia.edu,,?,,edu,
Character Swap,colmubia.edu,,?,,edu,
Character Swap,colubmia.edu,,?,,edu,
Character Swap,columbai.edu,,?,,edu,
Character Swap,columiba.edu,,?,,edu,
Character Swap,coulmbia.edu,,?,,edu,
Character Swap,oclumbia.edu,,?,,edu,
Character Replacement,cilumbia.edu,,?,,edu,
Character Replacement,cokumbia.edu,,?,,edu,
Character Replacement,colimbia.edu,,?,,edu,
Character Replacement,columbis.edu,,?,,edu,
Character Replacement,columboa.edu,,?,,edu,
Character Replacement,columbua.edu,,?,,edu,
Character Replacement,columnia.edu,,?,,edu,
Character Replacement,columvia.edu,,?,,edu,
Character Replacement,colunbia.edu,,?,,edu,
Character Replacement,colymbia.edu,,?,,edu,
Character Replacement,cplumbia.edu,,?,,edu,
Character Replacement,volumbia.edu,,?,,edu,
Character Replacement,xolumbia.edu,,?,,edu,
Character Insertion,coilumbia.edu,,?,,edu,
Character Insertion,colkumbia.edu,,?,,edu,
Character Insertion,coluimbia.edu,,?,,edu,
Character Insertion,columbias.edu,,?,,edu,
Character Insertion,columbioa.edu,,?,,edu,
Character Insertion,columbiua.edu,,?,,edu,
Character Insertion,columbnia.edu,,?,,edu,
Character Insertion,columbvia.edu,,?,,edu,
Character Insertion,columnbia.edu,,?,,edu,
Character Insertion,coluymbia.edu,,?,,edu,
Character Insertion,coplumbia.edu,,?,,edu,
Character Insertion,cvolumbia.edu,,?,,edu,
Character Insertion,cxolumbia.edu,,?,,edu,
Missing Dot,columbiaedu.com,207.244.67.139,US,UNITED STATES,,com,
Missing Dot,wwwcolumbia.edu,,?,,edu,
Singular or Pluralise,columbium.edu,,?,,edu,
Vowel Swap,calumbia.edu,,?,,edu,
Vowel Swap,celumbia.edu,,?,,edu,
Vowel Swap,columbaa.edu,,?,,edu,
Vowel Swap,columbea.edu,,?,,edu,
Vowel Swap,columbie.edu,,?,,edu,
Vowel Swap,columbii.edu,,?,,edu,
Vowel Swap,columbio.edu,,?,,edu,
Vowel Swap,columbiu.edu,,?,,edu,
Vowel Swap,culumbia.edu,,?,,edu,
Homophones,columbayea.edu,,?,,edu,
Homophones,columbeyea.edu,,?,,edu,
Bit Flipping,aolumbia.edu,,?,,edu,
Bit Flipping,bolumbia.edu,,?,,edu,
Bit Flipping,cglumbia.edu,,?,,edu,
Bit Flipping,cklumbia.edu,,?,,edu,
Bit Flipping,cmlumbia.edu,,?,,edu,
Bit Flipping,cnlumbia.edu,,?,,edu,
Bit Flipping,codumbia.edu,,?,,edu,
Bit Flipping,cohumbia.edu,,?,,edu,
Bit Flipping,col5mbia.edu,,?,,edu,
Bit Flipping,colembia.edu,,?,,edu,
Bit Flipping,colqmbia.edu,,?,,edu,
Bit Flipping,coltmbia.edu,,?,,edu,
Bit Flipping,colu-bia.edu,,?,,edu,
Bit Flipping,coluebia.edu,,?,,edu,
Bit Flipping,coluibia.edu,,?,,edu,
Bit Flipping,colulbia.edu,,?,,edu,
Bit Flipping,columbha.edu,,?,,edu,
Bit Flipping,columbic.edu,,?,,edu,
Bit Flipping,columbiq.edu,,?,,edu,
Bit Flipping,columbka.edu,,?,,edu,
Bit Flipping,columbma.edu,,?,,edu,
Bit Flipping,columbya.edu,,?,,edu,
Bit Flipping,columcia.edu,,?,,edu,
Bit Flipping,columfia.edu,,?,,edu,
Bit Flipping,columjia.edu,,?,,edu,
Bit Flipping,columria.edu,,?,,edu,
Bit Flipping,coluobia.edu,,?,,edu,
Bit Flipping,colwmbia.edu,,?,,edu,
Bit Flipping,comumbia.edu,,?,,edu,
Bit Flipping,conumbia.edu,,?,,edu,
Bit Flipping,golumbia.edu,,?,,edu,
Bit Flipping,kolumbia.edu,,?,,edu,
Bit Flipping,solumbia.edu,,?,,edu,
Homoglyphs,c0lumbia.edu,,?,,edu,
Homoglyphs,co1umbia.edu,,?,,edu,
