Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cmmbank.com.au,,?,,com.au,
Character Omission,combank.com.au,52.85.146.242,US,UNITED STATES,,com.au,
Character Omission,commank.com.au,,?,,com.au,
Character Omission,commbak.com.au,,?,,com.au,
Character Omission,commban.com.au,,?,,com.au,
Character Omission,commbnk.com.au,,?,,com.au,
Character Repeat,ccommbank.com.au,,?,,com.au,
Character Repeat,commbaank.com.au,,?,,com.au,
Character Repeat,commbankk.com.au,,?,,com.au,
Character Repeat,commbannk.com.au,,?,,com.au,
Character Repeat,commbbank.com.au,,?,,com.au,
Character Repeat,commmbank.com.au,,?,,com.au,
Character Repeat,coommbank.com.au,,?,,com.au,
Character Swap,cmombank.com.au,,?,,com.au,
Character Swap,combmank.com.au,,?,,com.au,
Character Swap,commabnk.com.au,,?,,com.au,
Character Swap,commbakn.com.au,,?,,com.au,
Character Swap,commbank.com.ua,185.83.218.108,,mail.commbank.com.ua,com.ua,
Character Swap,commbnak.com.au,,?,,com.au,
Character Swap,ocmmbank.com.au,,?,,com.au,
Character Replacement,cimmbank.com.au,,?,,com.au,
Character Replacement,commbabk.com.au,,?,,com.au,
Character Replacement,commbamk.com.au,,?,,com.au,
Character Replacement,commbanj.com.au,,?,,com.au,
Character Replacement,commbank.com.ai,,?,,ai,
Character Replacement,commbank.com.su,,?,,su,
Character Replacement,commbanl.com.au,,?,,com.au,
Character Replacement,commbsnk.com.au,185.53.178.7,,mail.h-email.net,com.au,
Character Replacement,commnank.com.au,185.53.178.6,,mail.h-email.net,com.au,
Character Replacement,commvank.com.au,,?,,com.au,
Character Replacement,comnbank.com.au,,?,,com.au,
Character Replacement,conmbank.com.au,,?,,com.au,
Character Replacement,cpmmbank.com.au,,?,,com.au,
Character Replacement,vommbank.com.au,,?,,com.au,
Character Replacement,xommbank.com.au,,?,,com.au,
Double Character Replacement,connbank.com.au,,?,,com.au,
Character Insertion,coimmbank.com.au,,?,,com.au,
Character Insertion,commbanbk.com.au,,?,,com.au,
Character Insertion,commbankj.com.au,,?,,com.au,
Character Insertion,commbankl.com.au,,?,,com.au,
Character Insertion,commbanmk.com.au,,?,,com.au,
Character Insertion,commbasnk.com.au,,?,,com.au,
Character Insertion,commbnank.com.au,,?,,com.au,
Character Insertion,commbvank.com.au,,?,,com.au,
Character Insertion,commnbank.com.au,,?,,com.au,
Character Insertion,comnmbank.com.au,,?,,com.au,
Character Insertion,copmmbank.com.au,,?,,com.au,
Character Insertion,cvommbank.com.au,,?,,com.au,
Character Insertion,cxommbank.com.au,,?,,com.au,
Missing Dot,wwwcommbank.com.au,,?,,com.au,
Singular or Pluralise,commbanks.com.au,,?,,com.au,
Vowel Swap,commbank.com.ae,,?,,ae,
Vowel Swap,commbenk.com.eu,,?,,eu,
Bit Flipping,aommbank.com.au,,?,,com.au,
Bit Flipping,bommbank.com.au,,?,,com.au,
Bit Flipping,cgmmbank.com.au,,?,,com.au,
Bit Flipping,ckmmbank.com.au,,?,,com.au,
Bit Flipping,cmmmbank.com.au,,?,,com.au,
Bit Flipping,cnmmbank.com.au,,?,,com.au,
Bit Flipping,co-mbank.com.au,,?,,com.au,
Bit Flipping,coembank.com.au,,?,,com.au,
