Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,coreios.com.br,185.53.178.6,,mail.h-email.net,br,
Character Omission,correio.com.br,177.185.10.15,BR,BRAZIL,,br,
Character Omission,correios.cm.br,,?,,br,
Character Omission,correios.co.br,,?,,br,
Character Omission,correios.om.br,,?,,br,
Character Omission,correioscom.br,,?,,br,
Character Omission,correis.com.br,185.53.178.8,,mail.h-email.net,br,
Character Omission,correos.com.br,185.53.178.9,,mail.h-email.net,br,
Character Omission,corrios.com.br,103.224.182.246,,mx92.mb5p.com,br,
Character Omission,crreios.com.br,103.224.182.251,,mx92.m1bp.com,br,
Character Repeat,ccorreios.com.br,,?,,br,
Character Repeat,coorreios.com.br,103.224.182.211,,mx92.m1bp.com,br,
Character Repeat,correeios.com.br,,?,,br,
Character Repeat,correiios.com.br,141.8.224.169,CH,SWITZERLAND,,br,
Character Repeat,correioos.com.br,,?,,br,
Character Repeat,correios.ccom.br,,?,,br,
Character Repeat,correios.comm.br,,?,,br,
Character Repeat,correios.coom.br,,?,,br,
Character Repeat,correioss.com.br,104.18.54.57,,,br,
Character Repeat,corrreios.com.br,185.53.178.6,,mail.h-email.net,br,
Character Swap,corerios.com.br,,?,,br,
Character Swap,correio.scom.br,,?,,br,
Character Swap,correios.cmo.br,,?,,br,
Character Swap,correios.ocm.br,,?,,br,
Character Swap,correiosc.om.br,,?,,br,
Character Swap,correiso.com.br,,?,,br,
Character Swap,correois.com.br,,?,,br,
Character Swap,corrieos.com.br,,?,,br,
Character Swap,croreios.com.br,,?,,br,
Character Swap,ocrreios.com.br,,?,,br,
Character Replacement,cirreios.com.br,,?,,br,
Character Replacement,coereios.com.br,,?,,br,
Character Replacement,coreeios.com.br,,?,,br,
Character Replacement,correiis.com.br,,?,,br,
Character Replacement,correioa.com.br,,?,,br,
Character Replacement,correiod.com.br,,?,,br,
Character Replacement,correios.cim.br,,?,,br,
Character Replacement,correios.com.be,95.173.170.166,TR,TURKEY,,be,
Character Replacement,correios.com.bt,,?,,bt,
Character Replacement,correios.com.nr,,?,,nr,
Character Replacement,correios.con.br,,?,,br,
Character Replacement,correios.cpm.br,,?,,br,
Character Replacement,correios.vom.br,,?,,br,
Character Replacement,correios.xom.br,,?,,br,
Character Replacement,correips.com.br,,?,,br,
Character Replacement,correoos.com.br,,?,,br,
Character Replacement,correuos.com.br,,?,,br,
Character Replacement,corrrios.com.br,,?,,br,
Character Replacement,corrwios.com.br,,?,,br,
Character Replacement,corteios.com.br,,?,,br,
Character Replacement,cotreios.com.br,,?,,br,
Character Replacement,cprreios.com.br,,?,,br,
Character Replacement,vorreios.com.br,,?,,br,
Character Replacement,xorreios.com.br,,?,,br,
Double Character Replacement,coeeeios.com.br,,?,,br,
Double Character Replacement,cotteios.com.br,,?,,br,
Character Insertion,coirreios.com.br,,?,,br,
Character Insertion,coprreios.com.br,,?,,br,
Character Insertion,corereios.com.br,,?,,br,
Character Insertion,correiois.com.br,,?,,br,
Character Insertion,correiops.com.br,,?,,br,
Character Insertion,correios.coim.br,,?,,br,
Character Insertion,correios.comn.br,,?,,br,
Character Insertion,correios.copm.br,,?,,br,
Character Insertion,correios.cvom.br,,?,,br,
Character Insertion,correios.cxom.br,,?,,br,
Character Insertion,correiosa.com.br,,?,,br,
Character Insertion,correiosd.com.br,,?,,br,
Character Insertion,correiuos.com.br,,?,,br,
Character Insertion,correrios.com.br,72.52.4.122,US,UNITED STATES,localhost,br,
Character Insertion,correwios.com.br,,?,,br,
Character Insertion,corrteios.com.br,,?,,br,
Character Insertion,cortreios.com.br,,?,,br,
Character Insertion,cvorreios.com.br,,?,,br,
Character Insertion,cxorreios.com.br,,?,,br,
Missing Dot,wwwcorreios.com.br,,?,,br,
Singular or Pluralise,com.br,,?,,br,
Singular or Pluralise,coms.br,,?,,br,
Vowel Swap,carreias.cam.br,,?,,br,
Vowel Swap,cerreies.cem.br,188.138.125.235,DE,GERMANY,,br,
Vowel Swap,cirreiis.cim.br,,?,,br,
Vowel Swap,corraios.com.br,,?,,br,
Vowel Swap,correaos.com.br,,?,,br,
Vowel Swap,correeos.com.br,,?,,br,
Vowel Swap,corriios.com.br,,?,,br,
Vowel Swap,corroios.com.br,,?,,br,
Vowel Swap,corruios.com.br,,?,,br,
Vowel Swap,curreius.cum.br,,?,,br,
Homophones,coarreios.com.br,,?,,br,
Homophones,correayeos.com.br,,?,,br,
Homophones,correeyeos.com.br,,?,,br,
Bit Flipping,aorreios.com.br,,?,,br,
Bit Flipping,borreios.com.br,,?,,br,
Bit Flipping,cgrreios.com.br,,?,,br,
Bit Flipping,ckrreios.com.br,,?,,br,
Bit Flipping,cmrreios.com.br,,?,,br,
Bit Flipping,cnrreios.com.br,,?,,br,
Bit Flipping,co2reios.com.br,,?,,br,
Bit Flipping,cobreios.com.br,,?,,br,
Bit Flipping,copreios.com.br,,?,,br,
Bit Flipping,cor2eios.com.br,,?,,br,
Bit Flipping,corbeios.com.br,,?,,br,
Bit Flipping,corpeios.com.br,,?,,br,
Bit Flipping,corrdios.com.br,,?,,br,
Bit Flipping,correhos.com.br,,?,,br,
Bit Flipping,correigs.com.br,,?,,br,
Bit Flipping,correiks.com.br,,?,,br,
Bit Flipping,correims.com.br,,?,,br,
Bit Flipping,correins.com.br,,?,,br,
Bit Flipping,correio3.com.br,,?,,br,
Bit Flipping,correioc.com.br,,?,,br,
Bit Flipping,correioq.com.br,,?,,br,
Bit Flipping,correior.com.br,,?,,br,
Bit Flipping,correios.aom.br,,?,,br,
Bit Flipping,correios.bom.br,,?,,br,
Bit Flipping,correios.cgm.br,,?,,br,
Bit Flipping,correios.ckm.br,,?,,br,
Bit Flipping,correios.cmm.br,,?,,br,
Bit Flipping,correios.cnm.br,,?,,br,
Bit Flipping,correios.co-.br,,?,,br,
Bit Flipping,correios.coe.br,,?,,br,
Bit Flipping,correios.coi.br,,?,,br,
Bit Flipping,correios.col.br,,?,,br,
Bit Flipping,correios.com.bb,,?,,bb,
Bit Flipping,correios.com.bs,,?,,bs,
Bit Flipping,correios.com.bz,,?,,bz,
Bit Flipping,correios.com.cr,,?,,cr,
Bit Flipping,correios.com.fr,,?,,fr,
Bit Flipping,correios.coo.br,,?,,br,
Bit Flipping,correios.gom.br,,?,,br,
Bit Flipping,correios.kom.br,,?,,br,
Bit Flipping,correios.som.br,,?,,br,
Bit Flipping,correiosncom.br,,?,,br,
Bit Flipping,correiow.com.br,,?,,br,
Bit Flipping,correkos.com.br,,?,,br,
Bit Flipping,corremos.com.br,96.31.35.51,US,UNITED STATES,amx.ning.com,br,
Bit Flipping,correyos.com.br,,?,,br,
Bit Flipping,corrgios.com.br,,?,,br,
Bit Flipping,corrmios.com.br,,?,,br,
Bit Flipping,corseios.com.br,,?,,br,
Bit Flipping,corveios.com.br,,?,,br,
Bit Flipping,corzeios.com.br,,?,,br,
Bit Flipping,cosreios.com.br,,?,,br,
Bit Flipping,covreios.com.br,,?,,br,
Bit Flipping,cozreios.com.br,,?,,br,
Bit Flipping,gorreios.com.br,,?,,br,
Bit Flipping,korreios.com.br,54.235.122.147,US,UNITED STATES,,br,
Bit Flipping,sorreios.com.br,,?,,br,
Homoglyphs,c0rrei0s.c0m.br,,?,,br,
Homoglyphs,c0rrei0s.com.br,,?,,br,
Homoglyphs,c0rreios.c0m.br,,?,,br,
Homoglyphs,c0rreios.com.br,141.8.224.169,_­,,,br,
Homoglyphs,correi0s.c0m.br,,?,,br,
Homoglyphs,correi0s.com.br,,?,,br,
Homoglyphs,correios.c0m.br,,?,,br,
Homoglyphs,correios.corn.br,,?,,br,
Homoglyphs,correlos.com.br,,?,,br,
Wrong TLD,com.au,,?,,com.au,
Wrong TLD,com.ca,,?,,ca,
Wrong TLD,com.ch,144.85.10.78,CH,SWITZERLAND,,ch,
Wrong TLD,com.com,52.52.44.85,US,UNITED STATES,1.mail.com.com,com,
Wrong TLD,com.de,46.137.111.78,IE,IRELAND,mx203.inbound-mx.net,de,
Wrong TLD,com.edu,70.32.103.68,DE,GERMANY,com-edu.mail.eo.outlook.com,edu,
Wrong TLD,com.es,,?,,es,
Wrong TLD,com.fr,,?,,fr,
Wrong TLD,com.it,,?,,it,
Wrong TLD,com.jp,,?,,jp,
Wrong TLD,com.net,94.74.180.1,IR,IRAN (ISLAMIC REPUBLIC OF),p.webcom.ctmail.com,net,
Wrong TLD,com.nl,83.98.157.102,NL,NETHERLANDS,s2.dancoware.nl,nl,
Wrong TLD,com.no,,?,,no,
Wrong TLD,com.org,23.23.86.44,UA,UKRAINE,0.0.0.0,org,
Wrong TLD,com.ru,178.210.74.11,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,com.se,193.13.133.90,SE,SWEDEN,mx01.glesys.se,se,
Wrong TLD,com.us,,?,,us,
Wrong SLD,com.adm.br,,?,,br,
Wrong SLD,com.adv.br,,?,,br,
Wrong SLD,com.agr.br,,?,,br,
Wrong SLD,com.am.br,,?,,br,
Wrong SLD,com.arq.br,,?,,br,
Wrong SLD,com.art.br,,?,,br,
Wrong SLD,com.ato.br,,?,,br,
Wrong SLD,com.bio.br,,?,,br,
Wrong SLD,com.blog.br,,?,,br,
Wrong SLD,com.bmd.br,,?,,br,
Wrong SLD,com.cim.br,,?,,br,
Wrong SLD,com.cng.br,,?,,br,
Wrong SLD,com.cnt.br,,?,,br,
Wrong SLD,com.com.br,,?,,br,
Wrong SLD,com.coop.br,,?,,br,
Wrong SLD,com.ecn.br,,?,,br,
Wrong SLD,com.edu.br,,?,,br,
Wrong SLD,com.eng.br,,?,,br,
Wrong SLD,com.esp.br,,?,,br,
Wrong SLD,com.etc.br,,?,,br,
Wrong SLD,com.eti.br,,?,,br,
Wrong SLD,com.far.br,,?,,br,
Wrong SLD,com.flog.br,,?,,br,
Wrong SLD,com.fm.br,,?,,br,
Wrong SLD,com.fnd.br,,?,,br,
Wrong SLD,com.fot.br,,?,,br,
Wrong SLD,com.fst.br,,?,,br,
Wrong SLD,com.g12.br,,?,,br,
Wrong SLD,com.ggf.br,,?,,br,
Wrong SLD,com.gov.br,,?,,br,
Wrong SLD,com.imb.br,,?,,br,
Wrong SLD,com.ind.br,,?,,br,
Wrong SLD,com.inf.br,,?,,br,
Wrong SLD,com.jor.br,,?,,br,
Wrong SLD,com.jus.br,,?,,br,
Wrong SLD,com.lel.br,,?,,br,
Wrong SLD,com.mat.br,,?,,br,
Wrong SLD,com.med.br,,?,,br,
Wrong SLD,com.mil.br,,?,,br,
Wrong SLD,com.mus.br,,?,,br,
Wrong SLD,com.net.br,,?,,br,
Wrong SLD,com.nom.br,,?,,br,
Wrong SLD,com.not.br,,?,,br,
Wrong SLD,com.ntr.br,,?,,br,
Wrong SLD,com.odo.br,,?,,br,
Wrong SLD,com.org.br,,?,,br,
Wrong SLD,com.ppg.br,,?,,br,
Wrong SLD,com.pro.br,,?,,br,
Wrong SLD,com.psc.br,,?,,br,
Wrong SLD,com.psi.br,,?,,br,
Wrong SLD,com.qsl.br,,?,,br,
Wrong SLD,com.rec.br,,?,,br,
Wrong SLD,com.slg.br,,?,,br,
Wrong SLD,com.srv.br,,?,,br,
Wrong SLD,com.tmp.br,,?,,br,
Wrong SLD,com.trd.br,,?,,br,
Wrong SLD,com.tur.br,,?,,br,
Wrong SLD,com.tv.br,,?,,br,
Wrong SLD,com.vet.br,,?,,br,
Wrong SLD,com.vlog.br,,?,,br,
Wrong SLD,com.wiki.br,,?,,br,
Wrong SLD,com.zlg.br,,?,,br,

