Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,contryliving.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,counryliving.com,69.162.80.54,US,UNITED STATES,,com,
Character Omission,countrliving.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Omission,countryiving.com,,?,,com,
Character Omission,countryliing.com,213.247.47.190,NL,NETHERLANDS,mx7.countryliing.com,com,
Character Omission,countrylivig.com,,?,,com,
Character Omission,countrylivin.com,209.251.244.18,US,UNITED STATES,mx01.discovertec.net,com,
Character Omission,countryliving.cm,,?,,cm,
Character Omission,countrylivng.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Omission,countrylving.com,54.72.11.253,ç,,mail.h-email.net,com,
Character Omission,countyliving.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,coutryliving.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,cuntryliving.com,,?,,com,
Character Repeat,ccountryliving.com,,?,,com,
Character Repeat,coountryliving.com,103.224.212.244,,mx92.m1bp.com,com,
Character Repeat,counntryliving.com,,?,,com,
Character Repeat,countrryliving.com,,?,,com,
Character Repeat,countryliiving.com,,?,,com,
Character Repeat,countryliviing.com,141.8.224.93,NL,NETHERLANDS,,com,
Character Repeat,countrylivingg.com,,?,,com,
Character Repeat,countrylivinng.com,,?,,com,
Character Repeat,countrylivving.com,,?,,com,
Character Repeat,countrylliving.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,countryyliving.com,,?,,com,
Character Repeat,counttryliving.com,,?,,com,
Character Repeat,couuntryliving.com,,?,,com,
Character Swap,conutryliving.com,,?,,com,
Character Swap,counrtyliving.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,countrlyiving.com,,?,,com,
Character Swap,countryilving.com,,?,,com,
Character Swap,countryliivng.com,,?,,com,
Character Swap,countrylivign.com,,?,,com,
Character Swap,countrylivnig.com,,?,,com,
Character Swap,countrylviing.com,,?,,com,
Character Swap,countyrliving.com,,?,,com,
Character Swap,coutnryliving.com,,?,,com,
Character Swap,cuontryliving.com,,?,,com,
Character Swap,ocuntryliving.com,,?,,com,
Character Replacement,ciuntryliving.com,,?,,com,
Character Replacement,cointryliving.com,,?,,com,
Character Replacement,coubtryliving.com,,?,,com,
Character Replacement,coumtryliving.com,141.8.224.93,US,UNITED STATES,,com,
Character Replacement,counrryliving.com,,?,,com,
Character Replacement,counteyliving.com,,?,,com,
Character Replacement,countrtliving.com,,?,,com,
Character Replacement,countruliving.com,,?,,com,
Character Replacement,countrykiving.com,,?,,com,
Character Replacement,countrylibing.com,,?,,com,
Character Replacement,countrylicing.com,,?,,com,
Character Replacement,countrylivibg.com,,?,,com,
Character Replacement,countrylivimg.com,,?,,com,
Character Replacement,countrylivinf.com,,?,,com,
Character Replacement,countrylivinh.com,,?,,com,
Character Replacement,countrylivong.com,,?,,com,
Character Replacement,countrylivung.com,,?,,com,
Character Replacement,countryloving.com,217.199.187.197,GB,UNITED KINGDOM,mail.countryloving.com,com,
Character Replacement,countryluving.com,,?,,com,
Character Replacement,counttyliving.com,,?,,com,
Character Replacement,counyryliving.com,,?,,com,
Character Replacement,coyntryliving.com,,?,,com,
Character Replacement,cpuntryliving.com,,?,,com,
Character Replacement,vountryliving.com,,?,,com,
Character Replacement,xountryliving.com,,?,,com,
Character Insertion,coiuntryliving.com,,?,,com,
Character Insertion,copuntryliving.com,,?,,com,
Character Insertion,couintryliving.com,,?,,com,
Character Insertion,counbtryliving.com,,?,,com,
Character Insertion,counmtryliving.com,,?,,com,
Character Insertion,countreyliving.com,,?,,com,
Character Insertion,countrtyliving.com,,?,,com,
Character Insertion,countrylioving.com,,?,,com,
Character Insertion,countryliuving.com,,?,,com,
Character Insertion,countrylivbing.com,,?,,com,
Character Insertion,countrylivcing.com,,?,,com,
Character Insertion,countrylivinbg.com,,?,,com,
Character Insertion,countrylivingf.com,,?,,com,
Character Insertion,countrylivingh.com,,?,,com,
Character Insertion,countrylivinmg.com,,?,,com,
Character Insertion,countryliviong.com,,?,,com,
Character Insertion,countryliviung.com,,?,,com,
Character Insertion,countrylkiving.com,,?,,com,
Character Insertion,countrytliving.com,,?,,com,
Character Insertion,countryuliving.com,,?,,com,
Character Insertion,countyryliving.com,,?,,com,
Character Insertion,couyntryliving.com,,?,,com,
Character Insertion,cvountryliving.com,,?,,com,
Character Insertion,cxountryliving.com,,?,,com,
Missing Dot,countrylivingcom.com,,?,,com,
Missing Dot,wwwcountryliving.com,185.53.178.6,,mail.h-email.net,com,
Singular or Pluralise,countrylivings.com,,?,,com,
Vowel Swap,coantryliving.com,,?,,com,
Vowel Swap,coentryliving.com,,?,,com,
Vowel Swap,coontryliving.com,,?,,com,
Vowel Swap,countrylavang.com,,?,,com,
Vowel Swap,countryleveng.com,,?,,com,
Vowel Swap,countrylovong.com,,?,,com,
Vowel Swap,countryluvung.com,,?,,com,
Homophones,countrylayevayeng.com,,?,,com,
Homophones,countryleyeveyeng.com,,?,,com,
Bit Flipping,aountryliving.com,,?,,com,
Bit Flipping,bountryliving.com,,?,,com,
Bit Flipping,cguntryliving.com,,?,,com,
Bit Flipping,ckuntryliving.com,,?,,com,
Bit Flipping,cmuntryliving.com,,?,,com,
Bit Flipping,cnuntryliving.com,,?,,com,
Bit Flipping,co5ntryliving.com,,?,,com,
Bit Flipping,coqntryliving.com,,?,,com,
Bit Flipping,cotntryliving.com,,?,,com,
Bit Flipping,cou.tryliving.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,couftryliving.com,,?,,com,
Bit Flipping,coujtryliving.com,,?,,com,
Bit Flipping,coultryliving.com,,?,,com,
Bit Flipping,coun4ryliving.com,,?,,com,
Bit Flipping,coundryliving.com,,?,,com,
Bit Flipping,counpryliving.com,,?,,com,
Bit Flipping,count2yliving.com,,?,,com,
Bit Flipping,countbyliving.com,,?,,com,
Bit Flipping,countpyliving.com,,?,,com,
Bit Flipping,countr9living.com,,?,,com,
Bit Flipping,countriliving.com,,?,,com,
Bit Flipping,countrqliving.com,,?,,com,
Bit Flipping,countrxliving.com,,?,,com,
Bit Flipping,countrydiving.com,,?,,com,
Bit Flipping,countryhiving.com,,?,,com,
Bit Flipping,countrylaving.com,,?,,com,
Bit Flipping,countrylhving.com,,?,,com,
Bit Flipping,countryli6ing.com,,?,,com,
Bit Flipping,countrylifing.com,,?,,com,
Bit Flipping,countryliring.com,,?,,com,
Bit Flipping,countryliting.com,,?,,com,
Bit Flipping,countrylivang.com,,?,,com,
Bit Flipping,countrylivhng.com,,?,,com,
Bit Flipping,countrylivi.g.com,,?,,com,
Bit Flipping,countrylivifg.com,,?,,com,
Bit Flipping,countrylivijg.com,,?,,com,
Bit Flipping,countrylivilg.com,,?,,com,
Bit Flipping,countrylivinc.com,,?,,com,
Bit Flipping,countrylivine.com,,?,,com,
Bit Flipping,countrylivino.com,,?,,com,
Bit Flipping,countrylivinw.com,,?,,com,
Bit Flipping,countryliviog.com,,?,,com,
Bit Flipping,countrylivkng.com,,?,,com,
Bit Flipping,countrylivmng.com,,?,,com,
Bit Flipping,countrylivyng.com,,?,,com,
Bit Flipping,countryliwing.com,,?,,com,
Bit Flipping,countrylkving.com,,?,,com,
Bit Flipping,countrylmving.com,,?,,com,
Bit Flipping,countrylyving.com,,?,,com,
Bit Flipping,countrymiving.com,,?,,com,
Bit Flipping,countryniving.com,,?,,com,
Bit Flipping,countsyliving.com,,?,,com,
Bit Flipping,countvyliving.com,,?,,com,
Bit Flipping,countzyliving.com,,?,,com,
Bit Flipping,counuryliving.com,,?,,com,
Bit Flipping,counvryliving.com,,?,,com,
Bit Flipping,couotryliving.com,,?,,com,
Bit Flipping,cowntryliving.com,,?,,com,
Bit Flipping,gountryliving.com,,?,,com,
Bit Flipping,kountryliving.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Bit Flipping,sountryliving.com,,?,,com,
Homoglyphs,c0untryliving.com,,?,,com,
Homoglyphs,country1iving.com,,?,,com,
Homoglyphs,countrylivlng.com,,?,,com,
Homoglyphs,countryllving.com,,?,,com,
Homoglyphs,countryllvlng.com,,?,,com,
Wrong TLD,countryliving.ca,209.15.37.6,US,UNITED STATES,smtp4.webnames.ca,ca,
Wrong TLD,countryliving.ch,,?,,ch,
Wrong TLD,countryliving.de,212.227.64.161,DE,GERMANY,mail.yucai-net.de,de,
Wrong TLD,countryliving.edu,,?,,edu,
Wrong TLD,countryliving.es,,?,,es,
Wrong TLD,countryliving.fr,,?,,fr,
Wrong TLD,countryliving.it,46.37.14.14,IT,ITALY,,it,
Wrong TLD,countryliving.jp,,?,,jp,
Wrong TLD,countryliving.net,69.172.201.153,US,UNITED STATES,,net,
