Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cicbuzz.com,185.53.179.6,,mail.h-email.net,com,
Character Omission,crcbuzz.com,199.191.50.73,,,com,
Character Omission,cribuzz.com,185.53.178.8,,,com,
Character Omission,cricbuz.com,185.53.177.30,,,com,
Character Omission,cricbuzz.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,cricbzz.com,207.244.67.138,US,UNITED STATES,,com,
Character Omission,cricuzz.com,103.224.182.245,,park-mx.above.com,com,
Character Repeat,ccricbuzz.com,69.162.80.56,US,UNITED STATES,,com,
Character Repeat,cricbbuzz.com,185.53.179.6,,mail.h-email.net,com,
Character Repeat,cricbuuzz.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,cricbuzzz.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,criccbuzz.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Repeat,criicbuzz.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,crricbuzz.com,69.162.80.54,US,UNITED STATES,,com,
Character Swap,circbuzz.com,69.162.80.55,DE,GERMANY,,com,
Character Swap,crcibuzz.com,199.191.50.73,,,com,
Character Swap,cribcuzz.com,103.224.212.222,,park-mx.above.com,com,
Character Swap,cricbzuz.com,,?,,com,
Character Swap,cricubzz.com,208.91.196.68,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,rcicbuzz.com,,?,,com,
Character Replacement,ceicbuzz.com,67.55.92.183,US,UNITED STATES,mx7.ceicbuzz.com,com,
Character Replacement,cricbizz.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,cricbuxz.com,81.171.22.4,RU,RUSSIAN FEDERATION,,com,
Character Replacement,cricbuzx.com,68.178.213.61,US,UNITED STATES,,com,
Character Replacement,cricbyzz.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,cricnuzz.com,72.52.179.175,CO,COLOMBIA,mx156.hostedmxserver.com,com,
Character Replacement,cricvuzz.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,crivbuzz.com,54.72.11.253,CA,CANADA,mail.h-email.net,com,
Character Replacement,crixbuzz.com,185.53.178.6,,mail.h-email.net,com,
