Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,dailkos.com,199.191.50.73,,,com,
Character Omission,dailyko.com,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,dailykos.cm,,?,,cm,
Character Omission,dailyks.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Omission,dailyos.com,104.18.36.226,,dc-6d8d78aee2fa.dailyos.com,com,
Character Omission,daiykos.com,103.224.182.251,,mx92.m1bp.com,com,
Character Omission,dalykos.com,95.211.219.65,NL,NETHERLANDS,,com,
Character Omission,dilykos.com,103.224.212.254,,mx92.mb5p.com,com,
Character Repeat,daailykos.com,,?,,com,
Character Repeat,daiilykos.com,,?,,com,
Character Repeat,daillykos.com,185.140.110.3,,,com,
Character Repeat,dailykkos.com,,?,,com,
Character Repeat,dailykoos.com,,?,,com,
Character Repeat,dailykoss.com,173.239.5.6,US,UNITED STATES,mx7.dailykoss.com,com,
Character Repeat,dailyykos.com,,?,,com,
Character Repeat,ddailykos.com,,?,,com,
Character Swap,adilykos.com,,?,,com,
Character Swap,dailkyos.com,,?,,com,
Character Swap,dailykso.com,,?,,com,
Character Swap,dailyoks.com,,?,,com,
Character Swap,daiylkos.com,,?,,com,
Character Swap,daliykos.com,209.15.13.134,MK,MACEDONIA,mail.b-io.co,com,
Character Swap,dialykos.com,72.52.179.175,VN,VIET NAM,mx156.hostedmxserver.com,com,
Character Replacement,daikykos.com,81.171.22.4,NL,NETHERLANDS,,com,
Character Replacement,dailtkos.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,dailukos.com,,?,,com,
Character Replacement,dailyjos.com,107.180.3.102,,mailstore1.secureserver.net,com,
Character Replacement,dailykis.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,dailykoa.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,dailykod.com,31.170.163.195,US,UNITED STATES,mx1.binhoster.com,com,
Character Replacement,dailykps.com,103.224.212.233,,mx92.mb5p.com,com,
Character Replacement,dailylos.com,,?,,com,
Character Replacement,daolykos.com,,?,,com,
Character Replacement,daulykos.com,,?,,com,
Character Replacement,dsilykos.com,,?,,com,
Character Replacement,failykos.com,,?,,com,
Character Replacement,sailykos.com,,?,,com,
Character Insertion,dailkykos.com,,?,,com,
Character Insertion,dailykjos.com,50.63.202.42,PH,PHILIPPINES,smtp.secureserver.net,com,
Character Insertion,dailyklos.com,,?,,com,
Character Insertion,dailykois.com,,?,,com,
Character Insertion,dailykops.com,,?,,com,
Character Insertion,dailykosa.com,,?,,com,
Character Insertion,dailykosd.com,,?,,com,
Character Insertion,dailytkos.com,,?,,com,
Character Insertion,dailyukos.com,,?,,com,
Character Insertion,daiolykos.com,,?,,com,
Character Insertion,daiulykos.com,,?,,com,
Character Insertion,dasilykos.com,,?,,com,
Character Insertion,dfailykos.com,,?,,com,
Character Insertion,dsailykos.com,,?,,com,
Missing Dot,dailykoscom.com,,?,,com,
Missing Dot,wwwdailykos.com,198.50.233.236,,,com,
Vowel Swap,daalykos.com,,?,,com,
Vowel Swap,daelykos.com,,?,,com,
Vowel Swap,deilykos.com,,?,,com,
Vowel Swap,diilykos.com,,?,,com,
Vowel Swap,doilykos.com,,?,,com,
Vowel Swap,duilykos.com,,?,,com,
Homophones,daayelykos.com,,?,,com,
Homophones,daeyelykos.com,,?,,com,
Homophones,daleykos.com,,?,,com,
Bit Flipping,dahlykos.com,,?,,com,
Bit Flipping,daidykos.com,,?,,com,
Bit Flipping,daihykos.com,,?,,com,
Bit Flipping,dail9kos.com,,?,,com,
Bit Flipping,dailikos.com,,?,,com,
Bit Flipping,dailqkos.com,,?,,com,
Bit Flipping,dailxkos.com,,?,,com,
Bit Flipping,dailycos.com,,?,,com,
Bit Flipping,dailyios.com,47.89.58.141,CA,CANADA,,com,
Bit Flipping,dailykgs.com,,?,,com,
Bit Flipping,dailykks.com,,?,,com,
Bit Flipping,dailykms.com,,?,,com,
Bit Flipping,dailykns.com,,?,,com,
Bit Flipping,dailyko3.com,,?,,com,
Bit Flipping,dailykoc.com,209.15.13.134,2@,,mail.b-io.co,com,
Bit Flipping,dailykoq.com,,?,,com,
Bit Flipping,dailykor.com,,?,,com,
Bit Flipping,dailykow.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Bit Flipping,dailyoos.com,,?,,com,
Bit Flipping,daimykos.com,,?,,com,
Bit Flipping,dainykos.com,,?,,com,
Bit Flipping,daklykos.com,,?,,com,
Bit Flipping,damlykos.com,,?,,com,
Bit Flipping,daylykos.com,,?,,com,
Bit Flipping,dcilykos.com,,?,,com,
Bit Flipping,dqilykos.com,,?,,com,
Bit Flipping,eailykos.com,,?,,com,
Bit Flipping,lailykos.com,,?,,com,
Bit Flipping,tailykos.com,,?,,com,
Homoglyphs,clailykos.com,,?,,com,
Homoglyphs,dai1ykos.com,,?,,com,
Homoglyphs,dailyk0s.com,184.168.221.96,US,UNITED STATES,10,com,
Homoglyphs,dallykos.com,,?,,com,
Wrong TLD,dailykos.ca,,?,,ca,
Wrong TLD,dailykos.ch,,?,,ch,
Wrong TLD,dailykos.de,,?,,de,
Wrong TLD,dailykos.edu,,?,,edu,
Wrong TLD,dailykos.es,,?,,es,
Wrong TLD,dailykos.fr,,?,,fr,
Wrong TLD,dailykos.it,,?,,it,
Wrong TLD,dailykos.jp,,?,,jp,
Wrong TLD,dailykos.net,50.28.14.54,US,UNITED STATES,dailykos.net,net,
Wrong TLD,dailykos.nl,,?,,nl,
Wrong TLD,dailykos.no,,?,,no,
Wrong TLD,dailykos.org,184.168.221.27,US,UNITED STATES,mailstore1.secureserver.net,org,
Wrong TLD,dailykos.ru,,?,,ru,
Wrong TLD,dailykos.se,,?,,se,
Wrong TLD,dailykos.us,204.11.58.194,,,us,

