Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,db.com,160.83.8.143,US,UNITED STATES,smtp1.db.com,com,
Character Omission,dbs.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Omission,ds.com,104.18.52.167,,smtp.secureserver.net,com,
Character Repeat,dbbs.com,184.168.221.27,US,UNITED STATES,,com,
Character Repeat,dbss.com,198.12.150.217,,,com,
Character Repeat,ddbs.com,47.90.43.141,CA,CANADA,,com,
Character Swap,bds.com,24.151.21.40,US,UNITED STATES,bds-com.mail.protection.outlook.com,com,
Character Swap,dsb.com,,?,,com,
Character Replacement,dba.com,50.63.202.3,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,dbd.com,75.126.101.254,US,UNITED STATES,,com,
Character Replacement,dns.com,43.243.131.114,,mxbiz1.qq.com,com,
Character Replacement,dvs.com,159.135.23.44,US,UNITED STATES,dvs-com.mail.protection.outlook.com,com,
Character Replacement,fbs.com,78.140.184.228,NL,NETHERLANDS,mail.fbs.com,com,
Character Replacement,sbs.com,107.20.247.107,US,UNITED STATES,,com,
Character Insertion,dbns.com,50.63.202.53,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,dbsa.com,66.175.58.11,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Character Insertion,dbsd.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,dbvs.com,141.8.230.20,CH,SWITZERLAND,,com,
Character Insertion,dfbs.com,209.61.212.73,US,UNITED STATES,smtp.getontheweb.com,com,
Character Insertion,dsbs.com,47.89.58.32,CA,CANADA,,com,
Missing Dot,dbscom.com,204.116.247.120,US,UNITED STATES,mx.zoho.com,com,
Missing Dot,wwwdbs.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,db3.com,98.129.229.28,US,UNITED STATES,mx2.emailsrvr.com,com,
Bit Flipping,dbc.com,216.23.224.51,US,UNITED STATES,,com,
Bit Flipping,dbq.com,162.218.53.140,,,com,
Bit Flipping,dbr.com,23.100.43.208,,dc1ets03.dbr.com,com,
Bit Flipping,dbw.com,118.193.140.138,CN,CHINA,,com,
Bit Flipping,dcs.com,207.200.12.18,US,UNITED STATES,exchange.dcs.com,com,
Bit Flipping,dfs.com,47.88.199.219,CA,CANADA,cluster8a.us.messagelabs.com,com,
Bit Flipping,djs.com,54.224.185.141,US,UNITED STATES,alt4.aspmx.l.google.com,com,
Bit Flipping,drs.com,191.237.27.74,,mxb-00218c01.gslb.pphosted.com,com,
Bit Flipping,ebs.com,185.26.230.129,,us-smtp-inbound-1.mimecast.com,com,
Bit Flipping,lbs.com,192.185.99.221,,lbs.com,com,
Bit Flipping,tbs.com,157.166.254.40,US,UNITED STATES,mxb-000c6b02.gslb.pphosted.com,com,
Homoglyphs,clbs.com,23.23.174.132,US,UNITED STATES,,com,
Wrong TLD,dbs.ca,174.127.119.162,GB,UNITED KINGDOM,dbs.ca,ca,
Wrong TLD,dbs.ch,195.137.172.117,CH,SWITZERLAND,mail.dbs.ch,ch,
Wrong TLD,dbs.de,34.231.219.136,US,UNITED STATES,,de,
Wrong TLD,dbs.edu,,?,alt3.aspmx.l.google.com,edu,
Wrong TLD,dbs.es,,?,alt4.aspmx.l.google.com,es,
Wrong TLD,dbs.fr,45.33.14.247,,,fr,
Wrong TLD,dbs.it,62.149.128.160,IT,ITALY,smtp.gmail.com,it,
Wrong TLD,dbs.jp,27.0.42.76,JP,JAPAN,mxi.alpha-prm.jp,jp,
Wrong TLD,dbs.net,69.46.28.43,US,UNITED STATES,mail2a.smtproutes.org,net,
Wrong TLD,dbs.nl,91.184.0.62,NL,NETHERLANDS,,nl,
Wrong TLD,dbs.no,194.63.248.52,NO,NORWAY,smtp.notes.ce.collabserv.com,no,
Wrong TLD,dbs.org,34.210.208.81,US,UNITED STATES,alt1.aspmx.l.google.com,org,
Wrong TLD,dbs.ru,195.42.176.165,RU,RUSSIAN FEDERATION,mail.dataforce.net,ru,
Wrong TLD,dbs.se,109.74.4.246,SE,SWEDEN,mail.parking.se,se,
Wrong TLD,dbs.us,162.255.119.248,,eforward2.registrar-servers.com,us,

