Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,dh.com,54.204.28.210,US,UNITED STATES,mx2.dhltd.iphmx.com,com,
Character Omission,dhl.cm,199.40.254.85,US,UNITED STATES,,cm,
Character Omission,dl.com,104.247.212.218,,mail.b-io.co,com,
Character Repeat,ddhl.com,180.149.253.156,HK,HONG KONG,ddhl-com.mail.protection.outlook.com,com,
Character Repeat,dhhl.com,209.61.212.154,US,UNITED STATES,smtp.getontheweb.com,com,
Character Repeat,dhll.com,,?,,com,
Character Swap,dlh.com,212.130.57.148,DK,DENMARK,mail.dlh.com,com,
Character Swap,hdl.com,216.51.232.170,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Character Replacement,dgl.com,216.107.145.5,,dgl.com,com,
Character Replacement,dhk.com,98.191.212.87,­Î,,dhk.com.us.emailservice.io,com,
Character Replacement,djl.com,117.18.11.145,HK,HONG KONG,,com,
Character Replacement,fhl.com,52.52.194.179,US,UNITED STATES,parkmail.dynadot.com,com,
Character Replacement,shl.com,103.204.73.141,,mxa-0016ba01.gslb.pphosted.com,com,
Character Insertion,dfhl.com,209.61.212.137,US,UNITED STATES,smtp.getontheweb.com,com,
Character Insertion,dhgl.com,209.61.212.161,US,UNITED STATES,smtp.getontheweb.com,com,
Character Insertion,dhjl.com,103.13.73.67,AU,AUSTRALIA,,com,
Character Insertion,dhlk.com,47.52.31.18,CA,CANADA,,com,
Character Insertion,dshl.com,209.61.212.154,US,UNITED STATES,smtp.getontheweb.com,com,
Missing Dot,dhlcom.com,203.78.142.12,CN,CHINA,,com,
Missing Dot,wwwdhl.com,199.41.238.47,US,UNITED STATES,,com,
Singular or Pluralise,dhls.com,64.207.98.59,US,UNITED STATES,laurel.recol.net,com,
Bit Flipping,dhd.com,45.40.164.139,,mx2-us1.ppe-hosted.com,com,
Bit Flipping,dhh.com,203.78.142.12,ËN,,,com,
Bit Flipping,dhm.com,138.68.250.128,US,UNITED STATES,dhm.com,com,
Bit Flipping,dhn.com,62.129.139.241,NL,NETHERLANDS,mailstore1.secureserver.net,com,
Bit Flipping,dil.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,dll.com,173.201.216.17,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,dxl.com,69.74.234.98,US,UNITED STATES,dxl-com.mail.protection.outlook.com,com,
Bit Flipping,ehl.com,45.33.14.247,,smtp.secureserver.net,com,
Bit Flipping,lhl.com,203.78.142.12,IN,INDIA,,com,
Bit Flipping,thl.com,50.57.5.162,US,UNITED STATES,us-smtp-inbound-2.mimecast.com,com,
Homoglyphs,clhl.com,209.61.212.154,US,UNITED STATES,smtp.getontheweb.com,com,
Homoglyphs,dh1.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Wrong TLD,dhl.ca,165.72.192.235,US,UNITED STATES,,ca,
Wrong TLD,dhl.ch,165.72.192.235,US,UNITED STATES,mx1.dhl.iphmx.com,ch,
Wrong TLD,dhl.de,160.58.148.2,DE,GERMANY,mx2.dhl.iphmx.com,de,
Wrong TLD,dhl.edu,,?,,edu,
Wrong TLD,dhl.es,199.40.254.85,FR,FRANCE,mx1.dhl.iphmx.com,es,
Wrong TLD,dhl.fr,165.72.192.235,US,UNITED STATES,smtp.jmsp.net,fr,
Wrong TLD,dhl.it,165.72.192.235,US,UNITED STATES,,it,
Wrong TLD,dhl.jp,199.40.254.85,US,UNITED STATES,,jp,
Wrong TLD,dhl.net,,?,,net,
Wrong TLD,dhl.nl,165.72.192.235,US,UNITED STATES,mx2.dhl.iphmx.com,nl,
Wrong TLD,dhl.no,165.72.192.235,US,UNITED STATES,,no,
Wrong TLD,dhl.org,,?,,org,
Wrong TLD,dhl.ru,165.72.192.235,US,UNITED STATES,mx2.dhl.iphmx.com,ru,
Wrong TLD,dhl.se,165.72.192.235,US,UNITED STATES,,se,
Wrong TLD,dhl.us,199.40.254.85,US,UNITED STATES,,us,

