Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,dct.cc,,?,,cc,
Character Omission,dic.cc,103.224.182.243,,mx92.mb5p.com,cc,
Character Omission,dit.cc,,?,,cc,
Character Repeat,ddict.cc,,?,,cc,
Character Repeat,dicct.cc,85.10.254.6,_Ô,,p.webcom.ctmail.com,cc,
Character Repeat,dictt.cc,85.10.254.6,DE,GERMANY,p.webcom.ctmail.com,cc,
Character Repeat,diict.cc,,?,,cc,
Character Swap,dcit.cc,141.8.224.25,CH,SWITZERLAND,,cc,
Character Swap,ditc.cc,,?,,cc,
Character Swap,idct.cc,,?,idct.cc,cc,
Character Replacement,dicr.cc,103.58.178.173,,,cc,
Character Replacement,dict.cv,,?,,cv,
Character Replacement,dict.cx,85.10.254.6,DE,GERMANY,p.webcom.ctmail.com,cx,
Character Replacement,dict.vc,,?,,vc,
Character Replacement,dicy.cc,47.89.250.206,CA,CANADA,,cc,
Character Replacement,divt.cc,185.53.178.6,,mail.h-email.net,cc,
Character Replacement,dixt.cc,103.58.178.138,,,cc,
Character Replacement,doct.cc,95.211.219.67,NL,NETHERLANDS,,cc,
Character Replacement,duct.cc,72.52.4.119,US,UNITED STATES,localhost,cc,
Character Replacement,fict.cc,103.58.179.145,,,cc,
Character Replacement,sict.cc,188.93.150.88,NL,NETHERLANDS,,cc,
Character Insertion,dfict.cc,,?,,cc,
Character Insertion,dictr.cc,,?,,cc,
Character Insertion,dicty.cc,,?,,cc,
Character Insertion,dicvt.cc,,?,,cc,
Character Insertion,dicxt.cc,,?,,cc,
Character Insertion,dioct.cc,,?,,cc,
Character Insertion,diuct.cc,,?,,cc,
Character Insertion,dsict.cc,,?,,cc,
Missing Dot,dictcc.com,,?,,com,
Missing Dot,wwwdict.cc,,?,,cc,
Singular or Pluralise,dicts.cc,,?,,cc,
Vowel Swap,dact.cc,,?,,cc,
Vowel Swap,dect.cc,103.58.179.167,,,cc,
Homophones,dayect.cc,,?,,cc,
Homophones,deyect.cc,,?,,cc,
Bit Flipping,dhct.cc,,?,,cc,
Bit Flipping,diat.cc,,?,,cc,
Bit Flipping,dibt.cc,47.89.250.206,CA,CANADA,,cc,
Bit Flipping,dic4.cc,,?,,cc,
Bit Flipping,dicd.cc,47.89.250.206,CA,CANADA,,cc,
Bit Flipping,dicp.cc,,?,,cc,
Bit Flipping,dict.ac,89.31.143.1,DE,GERMANY,mx01.udag.de,ac,
Bit Flipping,dict.ca,72.52.4.119,US,UNITED STATES,localhost,ca,
Bit Flipping,dict.cg,,?,,cg,
Bit Flipping,dict.sc,,?,,sc,
Bit Flipping,dicu.cc,,?,,cc,
Bit Flipping,dicv.cc,47.89.250.206,CA,CANADA,,cc,
Bit Flipping,digt.cc,47.89.250.206,CA,CANADA,,cc,
Bit Flipping,dikt.cc,185.53.179.6,,,cc,
Bit Flipping,dist.cc,68.178.213.61,IN,INDIA,,cc,
Bit Flipping,dkct.cc,,?,,cc,
Bit Flipping,dmct.cc,,?,,cc,
Bit Flipping,dyct.cc,103.13.73.67,AU,AUSTRALIA,,cc,
Bit Flipping,eict.cc,47.89.250.206,CA,CANADA,,cc,
Bit Flipping,lict.cc,47.89.250.206,CA,CANADA,,cc,
Bit Flipping,tict.cc,47.89.250.206,CA,CANADA,,cc,
Homoglyphs,clict.cc,,?,,cc,
Homoglyphs,dlct.cc,,?,,cc,
Wrong TLD,dict.ch,217.26.54.244,CH,SWITZERLAND,mx1.mail.hostpoint.ch,ch,
Wrong TLD,dict.com,217.198.114.83,CZ,CZECH REPUBLIC,15mx.zoner.com,com,
Wrong TLD,dict.de,,?,,de,
Wrong TLD,dict.edu,,?,,edu,
Wrong TLD,dict.es,217.160.0.204,DE,GERMANY,mx01.kundenserver.de,es,
Wrong TLD,dict.fr,86.66.19.100,FR,FRANCE,mx11.dict.fr,fr,
Wrong TLD,dict.it,5.9.152.28,DE,GERMANY,nomail.muo.it,it,
Wrong TLD,dict.jp,,?,,jp,
Wrong TLD,dict.net,,?,mx22.dict.fr,net,
Wrong TLD,dict.nl,85.17.95.146,NL,NETHERLANDS,mail.s4ict.nl,nl,
Wrong TLD,dict.no,,?,,no,
Wrong TLD,dict.org,216.18.20.172,CA,CANADA,mx1.alephnull.com,org,
Wrong TLD,dict.ru,72.52.4.119,US,UNITED STATES,localhost,ru,
Wrong TLD,dict.se,137.117.224.218,US,UNITED STATES,mxv1.spamora.net,se,
Wrong TLD,dict.us,104.27.145.215,,mx.yandex.net,us,

